,GSTP1 (2950)
ACH-000004,-0.03917013152266546
ACH-000005,-0.1531266477411963
ACH-000007,-0.21370833229437014
ACH-000009,-0.3448971079765641
ACH-000011,-0.02090828585542702
ACH-000012,-0.2707542834609405
ACH-000013,-0.17993486625359092
ACH-000014,-0.004873512651697271
ACH-000015,-0.15968433582092414
ACH-000017,-0.1914484714264857
ACH-000018,-0.31422245156459794
ACH-000019,-0.321062943675518
ACH-000021,-0.1990405192351012
ACH-000022,-0.15833983408269742
ACH-000025,-0.14102061118789136
ACH-000028,-0.2390737309917962
ACH-000030,-0.2881941029074304
ACH-000035,-0.14325990518481296
ACH-000036,-0.2228874188568945
ACH-000037,-0.18351472122713486
ACH-000039,-0.3509872324787616
ACH-000040,-0.2620122492448078
ACH-000041,-0.1983852742376476
ACH-000042,-0.2080751338692833
ACH-000045,-0.11562472596850434
ACH-000047,-0.12301247535816842
ACH-000052,-0.2803537359302735
ACH-000053,-0.10830738727164277
ACH-000054,0.02825064394300871
ACH-000055,-0.5157780344678219
ACH-000060,-0.16802037772091036
ACH-000067,-0.007860542112709413
ACH-000070,-0.2046916265416542
ACH-000075,-0.040433956281090935
ACH-000078,-0.12112077165486418
ACH-000082,-0.26746175517371995
ACH-000085,-0.178402115018349
ACH-000086,-0.2839610462805158
ACH-000087,-0.4386373282813992
ACH-000092,-0.11119911874465252
ACH-000095,-0.15419314727971214
ACH-000097,-0.35087421272938485
ACH-000098,-0.026262460409833443
ACH-000099,-0.18270574364554032
ACH-000108,-0.12167301530774535
ACH-000113,-0.13202917204202114
ACH-000116,-0.20678653847767955
ACH-000118,-0.24190084543988355
ACH-000120,-0.21687786315480165
ACH-000123,-0.1761943129820744
ACH-000127,-0.2326263015770605
ACH-000128,-0.10078808059819452
ACH-000132,-0.3206751497884965
ACH-000133,-0.16613547330605233
ACH-000137,-0.2451255856246017
ACH-000138,-0.1428878841187646
ACH-000142,-0.26126076883847144
ACH-000143,-0.06465797841465656
ACH-000146,-0.09603443596989857
ACH-000148,-0.16300433771126074
ACH-000150,-0.3366463083659876
ACH-000152,-0.2326997990993225
ACH-000153,-0.3513039338356381
ACH-000159,-0.18394393970766404
ACH-000160,-0.5879447209804607
ACH-000163,-0.13298114463400446
ACH-000167,-0.2983170249605685
ACH-000168,-0.07587382804312172
ACH-000169,-0.14013979398558915
ACH-000178,-0.14078966093198264
ACH-000183,-0.1099144689302906
ACH-000188,-0.3236655355971672
ACH-000189,-0.14478875388241752
ACH-000190,-0.10851012211110576
ACH-000198,-0.10700804537439328
ACH-000203,-0.1787663088042299
ACH-000204,-0.2645103664137261
ACH-000206,-0.2404631048983797
ACH-000207,-0.4520622295939955
ACH-000208,0.06690570348839958
ACH-000210,-0.1972220027477864
ACH-000211,-0.1871254017985895
ACH-000215,-0.12459297791548342
ACH-000221,-0.17582158967951753
ACH-000222,-0.12449242493697142
ACH-000223,-0.10248481290384122
ACH-000226,-0.2495577912746689
ACH-000227,-0.4201982575130848
ACH-000228,-0.21721738976521335
ACH-000231,-0.15237128688136467
ACH-000232,-0.19916709639772326
ACH-000233,-0.07884366835528178
ACH-000234,0.022592376181539142
ACH-000235,-0.13346535901364492
ACH-000237,-0.2846672045824512
ACH-000238,-0.07887228362665312
ACH-000242,-0.2072992849901672
ACH-000243,-0.18144245511096072
ACH-000244,-0.11188840161294522
ACH-000246,-0.03096919510364407
ACH-000248,-0.008482989518788625
ACH-000250,-0.10900584812086292
ACH-000251,-0.17061217141592594
ACH-000252,-0.2381021321326565
ACH-000253,-0.12374328794489538
ACH-000255,-0.2556646564065975
ACH-000256,-0.0837682077135499
ACH-000257,-0.1769065997728939
ACH-000258,-0.08957228679528673
ACH-000259,-0.18977324807937332
ACH-000260,-0.16222773220965772
ACH-000261,-0.24967462299402265
ACH-000262,-0.13103260997444907
ACH-000263,-0.10720004698932366
ACH-000264,-0.3515307905399329
ACH-000265,-0.16243440681890667
ACH-000266,-0.24902122994969275
ACH-000272,-0.14006760768761176
ACH-000274,-0.17440955767022984
ACH-000277,-0.27565145216412473
ACH-000278,-0.38583698170407305
ACH-000279,-0.12175069526314505
ACH-000280,-0.04102107117873735
ACH-000281,-0.06977334795035592
ACH-000288,-0.2765254086138688
ACH-000291,-0.2176331345809924
ACH-000293,-0.21373285224689192
ACH-000294,-0.28867132296943715
ACH-000295,-0.2280488276055903
ACH-000296,-0.16618984961723934
ACH-000302,-0.08037280929477447
ACH-000304,0.09005263160856182
ACH-000307,-0.23161129121054794
ACH-000308,-0.1998365190343656
ACH-000310,-0.01579455497687513
ACH-000311,-0.20026610683661808
ACH-000312,-0.16035400010455486
ACH-000315,-0.19452105194742145
ACH-000316,-0.116526608354363
ACH-000317,-0.11420843955390933
ACH-000318,-0.5172324744476713
ACH-000319,-0.2017186127365928
ACH-000320,0.0809318188074867
ACH-000322,-0.12095478585614874
ACH-000323,-0.08230539960334378
ACH-000324,-0.1518639611400994
ACH-000329,-0.0849992574629068
ACH-000330,-0.3047486598966493
ACH-000331,-0.17762852808331805
ACH-000332,-0.31067994250414993
ACH-000334,-0.4884227475261597
ACH-000335,-0.24935808032292525
ACH-000336,-0.1241248874572824
ACH-000337,-0.4030869189686594
ACH-000338,-0.33560917481730845
ACH-000339,-0.18068987907526105
ACH-000341,-0.18616793450310268
ACH-000348,-0.03967893437702035
ACH-000350,-0.2310327338081041
ACH-000352,-0.2575003918540316
ACH-000356,-0.3197114325057991
ACH-000361,-0.08851034745894926
ACH-000362,-0.12002748750214624
ACH-000363,-0.22330720099654575
ACH-000364,-0.1141190025793586
ACH-000365,-0.1836299062868718
ACH-000366,-0.371392980177152
ACH-000368,0.06043925436305447
ACH-000374,-0.43848282889771795
ACH-000375,-0.1842773483083498
ACH-000376,-0.18248273109984384
ACH-000381,-0.15843177195348376
ACH-000383,-0.2179706353147736
