,SYPL2 (284612)
ACH-000004,-0.2883250293974389
ACH-000005,-0.002432947861088228
ACH-000007,-0.21240246677653773
ACH-000009,-0.32318590609980524
ACH-000011,-0.2489715771613635
ACH-000012,-0.29816274733802145
ACH-000013,-0.3114952905737313
ACH-000014,-0.112373148004284
ACH-000015,-0.3265247462256397
ACH-000017,-0.0937712697480115
ACH-000018,-0.3431072566383904
ACH-000019,-0.13801752605655151
ACH-000021,-0.23640563745642526
ACH-000022,-0.24035036765960574
ACH-000025,-0.3683555759654578
ACH-000028,-0.4504173874612553
ACH-000030,-0.2988779116325879
ACH-000035,-0.41763231399726986
ACH-000036,-0.1896535371290587
ACH-000037,-0.028401837629098863
ACH-000039,-0.3560024522666082
ACH-000040,-0.17186107638892847
ACH-000041,-0.3165298457411229
ACH-000042,-0.16372688301884009
ACH-000045,-0.26452498502769833
ACH-000047,-0.2898403873195896
ACH-000052,0.029400977008035963
ACH-000053,-0.2586768219454208
ACH-000054,-0.27739826239294896
ACH-000055,-0.18668526395944748
ACH-000060,-0.26288543725009106
ACH-000067,-0.2292214407763293
ACH-000070,-0.28844138477685155
ACH-000075,-0.4289978858869158
ACH-000078,-0.3363534722096531
ACH-000082,-0.2646529804863484
ACH-000085,-0.3987306252602121
ACH-000086,-0.33059056336045084
ACH-000087,-0.2995171970457604
ACH-000092,-0.3920047987278875
ACH-000095,-0.2922118202494064
ACH-000097,-0.2017821161862736
ACH-000098,-0.21264968650879446
ACH-000099,-0.20496560733763325
ACH-000108,-0.2911689309948729
ACH-000113,-0.2415207870411609
ACH-000116,-0.2302015326369825
ACH-000118,-0.09782564585790712
ACH-000120,-0.2356150232136356
ACH-000123,-0.230756005528134
ACH-000127,-0.2813993678815548
ACH-000128,-0.3384071759576221
ACH-000132,-0.16519920288593196
ACH-000133,-0.2680363767434941
ACH-000137,-0.38733320172431895
ACH-000138,-0.07010285409747777
ACH-000142,-0.1323724404845084
ACH-000143,-0.09528076094964684
ACH-000146,-0.24671831026463525
ACH-000148,-0.15887134761050695
ACH-000150,-0.13324992061722296
ACH-000152,-0.2830993740343303
ACH-000153,-0.4170627063590775
ACH-000159,-0.4059233918163693
ACH-000160,-0.15757909950987556
ACH-000163,-0.2814852933957943
ACH-000167,-0.13957611462823188
ACH-000168,-0.12632468176584113
ACH-000169,-0.08535146671563383
ACH-000178,-0.15153618468757155
ACH-000183,-0.1666006621093276
ACH-000188,-0.3422232245211261
ACH-000189,-0.2199591081463409
ACH-000190,-0.09794187132543282
ACH-000198,-0.3118210341422618
ACH-000203,-0.2484373274615597
ACH-000204,-0.16207611428102853
ACH-000206,-0.1652990501160278
ACH-000207,-0.2985154699500769
ACH-000208,-0.21767598662985224
ACH-000210,0.0798995863502665
ACH-000211,-0.1534828084434171
ACH-000215,-0.3298190284073089
ACH-000221,-0.4898672605237308
ACH-000222,-0.0343829669400349
ACH-000223,-0.16223202179440846
ACH-000226,-0.2706003758107082
ACH-000227,-0.37099406950279135
ACH-000228,-0.2807978769456295
ACH-000231,-0.29880649539870363
ACH-000232,-0.13387201244661362
ACH-000233,-0.011896258924458673
ACH-000234,-0.11505983620002765
ACH-000235,-0.16601599711209208
ACH-000237,-0.2170369909962037
ACH-000238,-0.3622594453827901
ACH-000242,-0.4762125263385762
ACH-000243,-0.09170170552545434
ACH-000244,-0.17558095185837758
ACH-000246,-0.3314805938682098
ACH-000248,-0.17221375634769248
ACH-000250,-0.2450780646338139
ACH-000251,-0.1275511319545363
ACH-000252,-0.1874578253340038
ACH-000253,-0.2463585974200813
ACH-000255,-0.3150843470452397
ACH-000256,-0.07436813410030982
ACH-000257,-0.2510104920671639
ACH-000258,0.12600882537190564
ACH-000259,-0.26968498255868883
ACH-000260,-0.29914926614832343
ACH-000261,-0.2489847630135404
ACH-000262,-0.23789747939503605
ACH-000263,-0.0860120604497254
ACH-000264,-0.23720884157934044
ACH-000265,-0.3490010655667489
ACH-000266,-0.18042524027857434
ACH-000272,-0.235257792116732
ACH-000274,-0.13643271719143482
ACH-000277,0.016534566536898183
ACH-000278,-0.2618260016296415
ACH-000279,-0.3368687877785035
ACH-000280,-0.2303606450904709
ACH-000281,-0.037156691436840604
ACH-000288,-0.2592069756503461
ACH-000291,-0.2463753798810677
ACH-000293,-0.17175896742939475
ACH-000294,-0.1941388857429135
ACH-000295,-0.2144369479702911
ACH-000296,-0.3693356347098068
ACH-000302,-0.2819712129020541
ACH-000304,-0.4553778372851934
ACH-000307,-0.23108572675912295
ACH-000308,-0.32905023879469664
ACH-000310,-0.32833704174093353
ACH-000311,-0.19711766133407824
ACH-000312,-0.3720186283782349
ACH-000315,-0.14718551062206456
ACH-000316,-0.19496211787389314
ACH-000317,-0.5046510987661642
ACH-000318,-0.4102584331878593
ACH-000319,-0.24025081353352498
ACH-000320,-0.2509962628858669
ACH-000322,-0.1946208221166461
ACH-000323,-0.3111885281133703
ACH-000324,-0.2990812309571513
ACH-000329,-0.24295988069288235
ACH-000330,-0.4320145836242708
ACH-000331,-0.3424095055428633
ACH-000332,-0.12261943426028968
ACH-000334,-0.28787435100559505
ACH-000335,-0.4129818471140248
ACH-000336,-0.301719759368343
ACH-000337,-0.08341592271951402
ACH-000338,-0.16978005750890107
ACH-000339,-0.2392433805501749
ACH-000341,-0.023239177043881697
ACH-000348,-0.2087434059711724
ACH-000350,-0.1364989986018303
ACH-000352,-0.2573183797075576
ACH-000356,-0.2903733887921095
ACH-000361,-0.3382143951971811
ACH-000362,-0.2304419264481682
ACH-000363,-0.1223912249941035
ACH-000364,-0.3879986216040382
ACH-000365,-0.2744624946809027
ACH-000366,-0.22602513384934306
ACH-000368,-0.2998466291920108
ACH-000374,-0.3338814580413204
ACH-000375,-0.24206783721012934
ACH-000376,-0.28318514839173065
ACH-000381,-0.34593293640188943
ACH-000383,-0.26279312409613115
ACH-000387,-0.1944970319863605
ACH-000389,-0.0049357265721149905
ACH-000390,-0.18137623641202075
ACH-000393,-0.2405707822731049
ACH-000395,-0.414276511922065
ACH-000396,-0.267546124126998
ACH-000397,-0.10936302530195798
ACH-000401,-0.11684923656180013
ACH-000402,-0.24109859784170498
ACH-000403,-0.19460380748619502
ACH-000404,-0.1748361456854609
ACH-000406,-0.22140780200550567
ACH-000407,-0.34664679248877195
ACH-000408,-0.3994489122622408
ACH-000410,-0.19679541841925166
ACH-000411,-0.12498792209490744
ACH-000414,-0.19257073132539002
ACH-000415,-0.4031683900528372
ACH-000416,-0.3358612369924653
ACH-000420,-0.02768474661162385
ACH-000421,-0.14118450786926898
ACH-000424,-0.287327288663051
ACH-000425,-0.32726093931989697
ACH-000426,-0.26526339363443546
ACH-000427,-0.2057511108110732
ACH-000433,-0.4415626498325701
ACH-000435,-0.4377603153874684
ACH-000436,-0.11171022393806054
ACH-000444,-0.23133314370939634
ACH-000445,-0.24134930458024526
ACH-000448,-0.309665198578015
ACH-000450,-0.2534526490402713
ACH-000452,-0.1402279722976047
ACH-000454,-0.24448424958898046
ACH-000458,-0.32792807515550826
ACH-000459,-0.2234104786720828
ACH-000460,-0.20677148292645994
ACH-000461,-0.3811475449322259
ACH-000463,-0.23467143357362574
ACH-000464,-0.3829654926387588
ACH-000466,-0.2096039136558742
ACH-000467,-0.29238881211985945
ACH-000468,-0.4025105200328527
ACH-000469,-0.3016699417805208
ACH-000470,-0.15211673313773408
ACH-000471,-0.20781829851162628
ACH-000472,-0.199000236088613
ACH-000473,-0.1924025261072025
ACH-000475,-0.2276517695273709
ACH-000476,-0.254979630221124
ACH-000477,-0.18401240445564304
ACH-000479,-0.33924708556378497
ACH-000480,-0.36845002373437
ACH-000481,-0.2506328848799932
ACH-000483,-0.4055671836348229
ACH-000484,-0.14038392075890904
ACH-000485,-0.3332103936408578
ACH-000486,-0.415559007654872
ACH-000487,-0.187157124726253
ACH-000488,-0.1668384086013712
ACH-000490,-0.2491774418617885
ACH-000491,-0.335536498703323
ACH-000495,-0.34177349284952857
ACH-000496,-0.3720073050089823
ACH-000499,-0.4427360722171509
ACH-000500,-0.5496320442226578
ACH-000502,-0.19811232618333455
ACH-000503,-0.08634025790280693
ACH-000505,-0.2028659887178882
ACH-000507,-0.21556516320559607
ACH-000510,-0.15972689512649899
ACH-000511,-0.0848649662219038
ACH-000512,-0.2234979220741928
ACH-000516,-0.16404386725109374
ACH-000517,-0.2353279180122043
ACH-000518,-0.15607626125231416
ACH-000520,-0.3396811185099213
ACH-000521,-0.2126742891571513
ACH-000522,-0.3840687676985127
ACH-000524,-0.2323528167259564
ACH-000527,-0.1684780509841537
ACH-000528,-0.16742434238179862
ACH-000537,-0.15980506039665304
ACH-000541,-0.09365228488278957
ACH-000542,-0.22115189846320527
ACH-000544,-0.2578932500080309
ACH-000545,-0.3493288321870469
ACH-000547,-0.4224897693142666
ACH-000548,-0.1373019559659392
ACH-000549,-0.24087373985236304
ACH-000550,-0.13801061266520268
ACH-000552,-0.4336685986369237
ACH-000556,-0.2448851792995321
ACH-000557,-0.08019703572534513
ACH-000569,-0.27750958322851016
ACH-000570,-0.3552447507032888
ACH-000571,-0.23185834038393985
ACH-000573,-0.16342326117132713
ACH-000576,-0.08567323133561286
ACH-000579,-0.22399680350696086
ACH-000580,-0.14303958798813768
ACH-000584,-0.2942894306905618
ACH-000585,-0.261500266370194
ACH-000588,-0.26309416176854106
ACH-000589,-0.2515151365274439
ACH-000591,-0.2912612974754885
ACH-000593,-0.35032419064744696
ACH-000600,-0.4080903485654288
ACH-000601,-0.19151642002180733
ACH-000605,-0.6715266579160367
ACH-000606,-0.3185085525839534
ACH-000608,-0.1322702415476625
ACH-000614,-0.36089207088654296
ACH-000616,-0.21825167251167388
ACH-000618,-0.3016550952814605
ACH-000619,-0.3199138450229839
ACH-000620,-0.2591699158127462
ACH-000621,-0.3590360539376068
ACH-000622,-0.2881158308594889
ACH-000623,-0.3414142808129653
ACH-000624,-0.1818395429510716
ACH-000627,-0.2513124603795631
ACH-000630,-0.29694397489995605
ACH-000631,-0.4600817525459928
ACH-000632,-0.31790111780458524
ACH-000633,-0.25330801803734143
ACH-000637,-0.15926908672817766
ACH-000638,-0.2597667892726917
ACH-000646,-0.227858768520692
ACH-000647,-0.23433245701134126
ACH-000648,-0.27600589877288706
ACH-000649,-0.2711918835556357
ACH-000651,-0.16206817066056164
ACH-000652,-0.3356994603931092
ACH-000653,-0.1536745261392083
ACH-000657,-0.3114093421784128
ACH-000658,-0.10834839632455746
ACH-000661,-0.13117689374665045
ACH-000662,-0.16329220668155026
ACH-000663,-0.2036661629378029
ACH-000665,-0.2692577536960983
ACH-000671,-0.3927922967677791
ACH-000672,-0.5053082314579879
ACH-000673,-0.1948632796318496
ACH-000676,-0.16609344952342595
ACH-000677,-0.2991257767840488
ACH-000681,-0.17826249254600005
ACH-000683,-0.2973205315868364
ACH-000684,-0.3390034784643096
ACH-000688,-0.17099902495997596
