,SELO (83642)
ACH-000004,-0.06570742905637879
ACH-000005,-0.028118428726364518
ACH-000007,0.04593188982209683
ACH-000009,-0.11326217998333545
ACH-000011,0.016649626737350678
ACH-000012,-0.07537848540995219
ACH-000013,-0.10152276058238456
ACH-000014,-0.2114299475546604
ACH-000015,-0.08255527266729908
ACH-000017,-0.04980693521065206
ACH-000018,0.09916761071080314
ACH-000019,-0.14886686606723518
ACH-000021,-0.06534433694065704
ACH-000022,-0.09952923887368677
ACH-000025,-0.2442703952316781
ACH-000028,-0.1526080116179913
ACH-000030,-0.1864815344017217
ACH-000035,-0.058650972223204235
ACH-000036,-0.2502338383159932
ACH-000037,-0.12135672600993652
ACH-000039,-0.12591681271076027
ACH-000040,-0.07564518867097976
ACH-000041,-0.09238500923980324
ACH-000042,-0.059952819900511864
ACH-000045,-0.03658112726644417
ACH-000047,0.017055775709588904
ACH-000052,-0.09613075459228597
ACH-000053,-0.12768035793239704
ACH-000054,-0.03510935059419275
ACH-000055,-0.13384402573676846
ACH-000060,-0.1336956869956058
ACH-000067,-0.1548535200577832
ACH-000070,0.1261056492364891
ACH-000075,0.16550021228119496
ACH-000078,-0.29277043481069703
ACH-000082,-0.10041938394759242
ACH-000085,0.14728376219007366
ACH-000086,-0.02597514402182737
ACH-000087,0.041547241910067916
ACH-000092,-0.10158729208254587
ACH-000095,-0.10071163125838846
ACH-000097,-0.14312856520653272
ACH-000098,-0.002050266109386964
ACH-000099,-0.3623623603713066
ACH-000108,-0.05089845502827893
ACH-000113,-0.08361799198368784
ACH-000116,-0.08197763375342408
ACH-000118,-0.0442432800524499
ACH-000120,-0.1536858746182114
ACH-000123,-0.14737190174248654
ACH-000127,-0.04098885956764306
ACH-000128,-0.10428679087979358
ACH-000132,-0.02718904952700208
ACH-000133,-0.16582379020932891
ACH-000137,-0.055470693395478006
ACH-000138,0.0527828804712986
ACH-000142,-0.0001530912370222339
ACH-000143,-0.24571771014489896
ACH-000146,-0.12885793162375592
ACH-000148,-0.004309272178837571
ACH-000150,-0.021424100339313402
ACH-000152,-0.06777262100776682
ACH-000153,-0.014542233498082091
ACH-000159,0.07473462330899419
ACH-000160,-0.04014422343911552
ACH-000163,-0.0854273186126411
ACH-000167,-0.2972968941445057
ACH-000168,-0.040124333470730175
ACH-000169,-0.3145712171079724
ACH-000178,-0.06659918231844557
ACH-000183,-0.07717275033652038
ACH-000188,0.005586754273371931
ACH-000189,0.0020612455740929873
ACH-000190,-0.0978247759546504
ACH-000198,-0.05296291161197583
ACH-000203,-0.4284271402426528
ACH-000204,0.010072679833879756
