,KIF1C (10749)
ACH-000004,0.07279247212894054
ACH-000005,0.10012710575365097
ACH-000007,-0.03715145189632445
ACH-000009,-0.007552114887788321
ACH-000011,0.1969834832695126
ACH-000012,-0.036252960872657065
ACH-000013,0.10557636462639636
ACH-000014,0.01107250257846856
ACH-000015,0.015521840325939276
ACH-000017,0.2047506847902488
ACH-000018,0.1020091577886489
ACH-000019,-0.013847597571325688
ACH-000021,0.001026918900482065
ACH-000022,0.19611367060113788
ACH-000025,0.002624100136055837
ACH-000028,0.1673001238189329
ACH-000030,-0.019292440167943476
ACH-000035,-0.045002842161926425
ACH-000036,0.006607013726123555
ACH-000037,0.1952588054434463
ACH-000039,-0.047360902321527065
ACH-000040,-0.02956794651089052
ACH-000041,0.0025113495449916442
ACH-000042,-0.08267647852415101
ACH-000045,0.11622656323085205
ACH-000047,0.12543769284288314
ACH-000052,-0.1229603445009564
ACH-000053,-0.0312264187672916
ACH-000054,0.06065298124821596
ACH-000055,-0.019029543590668774
ACH-000060,-0.06699605789025045
ACH-000067,0.05081589618319865
ACH-000070,0.2059867677286944
ACH-000075,-0.1477762242850627
ACH-000078,-0.07956840935133838
ACH-000082,0.027177720714338837
ACH-000085,0.02407823480924645
ACH-000086,0.03178068199166708
ACH-000087,0.13641899985473216
ACH-000092,0.09016078593952273
ACH-000095,-0.050316831793658284
ACH-000097,0.02015589860233479
ACH-000098,-0.07008680521679983
ACH-000099,-0.035812230338348516
ACH-000108,0.05496161382967106
ACH-000113,0.043347059152841115
ACH-000116,0.01517422653430169
ACH-000118,0.0139813692843291
ACH-000120,0.21995813369659847
ACH-000123,-0.09953229529315684
ACH-000127,0.005270895007945847
ACH-000128,-0.013531541352737243
ACH-000132,0.07652175151889773
ACH-000133,0.026010813019727654
ACH-000137,-0.02582338366611101
ACH-000138,0.001780066574291562
ACH-000142,-0.14626269309225046
ACH-000143,-0.06325280279424915
ACH-000146,-0.03357109715572859
ACH-000148,0.030914071746659624
ACH-000150,-0.04103411781270334
ACH-000152,-0.1691144057771591
ACH-000153,0.007009370072805735
ACH-000159,-0.0035284836918983327
ACH-000160,0.1968223429408072
ACH-000163,0.09863758117589076
ACH-000167,0.008410740085486352
ACH-000168,0.14021438198996242
ACH-000169,-0.046941604729465736
ACH-000178,0.014828873936989104
ACH-000183,0.060793421638711966
ACH-000188,-0.0818407344786426
