,HNRNPK (3190)
ACH-000004,-1.3434422437580558
ACH-000005,-1.0498442252501508
ACH-000007,-1.1967218682614358
ACH-000009,-1.4347842282230348
ACH-000011,-1.2345070728930554
ACH-000012,-1.4087039714791785
ACH-000013,-1.3548966336235138
ACH-000014,-1.4658604901789751
ACH-000015,-1.3816566136432358
ACH-000017,-1.6111799270522664
ACH-000018,-1.157032044130539
ACH-000019,-1.2599569333469578
ACH-000021,-1.3727499702363948
ACH-000022,-1.4402972403277836
ACH-000025,-1.3238336395748715
ACH-000028,-1.374224308130843
ACH-000030,-1.3313719495830978
ACH-000035,-1.3326884379207289
ACH-000036,-1.3071862977465565
ACH-000037,-1.6048889441469616
ACH-000039,-1.473564433098576
ACH-000040,-1.3520863520256707
ACH-000041,-1.4725030808157722
ACH-000042,-1.3509684989871835
ACH-000045,-1.3045573822834768
ACH-000047,-1.5383492263707317
ACH-000052,-1.1771644480127146
ACH-000053,-1.1923622759925252
ACH-000054,-1.3732860873350443
ACH-000055,-1.1757230257526303
ACH-000060,-1.354091462465654
ACH-000067,-1.4157398689937848
ACH-000070,-1.4399623320897543
ACH-000075,-1.2201545702946492
ACH-000078,-1.3301721667501325
ACH-000082,-1.5363187087050574
ACH-000085,-1.3548688087766003
ACH-000086,-1.3161232722737712
ACH-000087,-1.1855014465173366
ACH-000092,-1.4349241678793918
ACH-000095,-1.385075765837574
ACH-000097,-1.5467016524575206
ACH-000098,-1.1614391240586053
ACH-000099,-1.2293214857007435
ACH-000108,-1.3546383238724988
ACH-000113,-1.5217054027831682
ACH-000116,-1.3578439439631915
ACH-000118,-1.4189706596685494
ACH-000120,-1.4079905720512111
ACH-000123,-1.333058699828945
ACH-000127,-1.458271499074126
ACH-000128,-1.130249250735512
ACH-000132,-1.39237175576967
ACH-000133,-1.2498050806634575
ACH-000137,-1.4196376517067588
ACH-000138,-1.4024956689026165
ACH-000142,-1.1794487459619452
ACH-000143,-1.1927274859754362
ACH-000146,-1.5875786267854992
ACH-000148,-1.3503726465745134
ACH-000150,-1.3495416226146009
ACH-000152,-1.1546166394454664
ACH-000153,-1.6018515426193058
ACH-000159,-1.434712148424176
ACH-000160,-1.1783736627911672
ACH-000163,-1.2535215216764206
ACH-000167,-1.0641616272792729
ACH-000168,-1.2881606548726217
ACH-000169,-1.4548964853371662
ACH-000178,-1.2139197092819352
ACH-000183,-1.367787860592526
ACH-000188,-1.1242000251186015
ACH-000189,-1.2100865624435784
ACH-000190,-1.262477897631454
ACH-000198,-1.5314692119770743
ACH-000203,-1.7534548845208036
ACH-000204,-1.2664817094331615
ACH-000206,-1.8267282701700844
ACH-000207,-1.4599493533202998
ACH-000208,-1.4603065222346574
ACH-000210,-1.3787884221530915
ACH-000211,-1.2806144063117049
ACH-000215,-1.342815507340388
ACH-000221,-1.7479140186925248
ACH-000222,-1.4584144951571627
ACH-000223,-1.3370838945098793
ACH-000226,-1.2833117886126746
ACH-000227,-1.4775487094932531
ACH-000228,-1.2565501669984378
ACH-000231,-1.2664165582588511
ACH-000232,-1.344265592326919
ACH-000233,-1.6598140990496684
ACH-000234,-1.5674868082423234
ACH-000235,-1.4289457855218846
ACH-000237,-1.395686893811376
ACH-000238,-1.4299190416909535
ACH-000242,-1.5650417615118193
ACH-000243,-1.2036465676742003
ACH-000244,-1.4049294093616491
ACH-000246,-1.3240938604671468
ACH-000248,-1.1762701451161184
ACH-000250,-1.0574034592245511
ACH-000251,-1.380572210270688
ACH-000252,-1.3374528809409327
ACH-000253,-1.4030408974294588
ACH-000255,-1.2074093586045098
ACH-000256,-1.5520084690123686
ACH-000257,-1.4417405292791217
ACH-000258,-1.4603816716469618
ACH-000259,-1.5713008065243708
ACH-000260,-1.4096137499220858
ACH-000261,-1.5105055043787194
ACH-000262,-1.250034479738125
ACH-000263,-1.4303431016256531
ACH-000264,-1.372646189286393
ACH-000265,-1.378777786595505
ACH-000266,-1.3255232004697974
ACH-000272,-1.459599851126542
ACH-000274,-1.4043219746577444
ACH-000277,-1.5509022146211755
ACH-000278,-1.233402558120866
ACH-000279,-1.354183465333748
ACH-000280,-1.476438237519441
ACH-000281,-1.1785642106506675
ACH-000288,-1.2341835064402729
ACH-000291,-1.4480428843362352
ACH-000293,-1.6013603694701335
ACH-000294,-1.061340064476061
ACH-000295,-1.5038340908023795
ACH-000296,-1.2741973407846428
ACH-000302,-1.6365490748374556
ACH-000304,-1.69008292708606
ACH-000307,-1.170348633062114
ACH-000308,-1.6191511077680154
ACH-000310,-1.2161408293900382
ACH-000311,-1.4667709772312731
ACH-000312,-1.2436511879962406
ACH-000315,-1.251229158047095
ACH-000316,-1.1470286949950577
ACH-000317,-1.5152250348633027
ACH-000318,-1.4995151992179487
ACH-000319,-1.1375868718506472
ACH-000320,-1.3586473337190677
ACH-000322,-1.5834801045303784
ACH-000323,-1.4694743045895549
ACH-000324,-1.3680516876264548
ACH-000329,-1.4154367512071888
ACH-000330,-1.3223903264927863
ACH-000331,-1.250825577874723
ACH-000332,-1.222470109716967
ACH-000334,-1.903833599907777
ACH-000335,-1.3572527936981549
ACH-000336,-1.3587862884789523
ACH-000337,-1.3067211316826348
ACH-000338,-1.3053413345907754
ACH-000339,-1.3732952030518508
ACH-000341,-1.2128222642859414
ACH-000348,-1.5445189798098138
ACH-000350,-1.3325291897796885
ACH-000352,-1.6163474320833968
ACH-000356,-1.5377170173878405
ACH-000361,-1.4437401252716762
ACH-000362,-1.4236184234695684
ACH-000363,-1.2766884762020705
ACH-000364,-1.3789572012948526
ACH-000365,-1.3292114966772919
ACH-000366,-1.3594113993635122
ACH-000368,-1.3005444985097108
ACH-000374,-1.480088237947875
ACH-000375,-1.3276555473680005
ACH-000376,-1.1562310848290491
ACH-000381,-1.4950044938791134
ACH-000383,-1.2222913848989263
ACH-000387,-1.4363318969713732
ACH-000389,-1.4409052852705475
ACH-000390,-1.348435098394812
ACH-000393,-1.557347162350905
ACH-000395,-1.5864666223823392
ACH-000396,-1.4494380822510842
ACH-000397,-1.6296949117427284
ACH-000401,-1.6970912091566692
ACH-000402,-1.5126946235608791
ACH-000403,-1.4362380921133386
ACH-000404,-1.1085759947290064
ACH-000406,-1.3289190561445259
ACH-000407,-1.3538418225170823
ACH-000408,-1.3182351435291728
ACH-000410,-1.42342818767838
ACH-000411,-1.3467723025511007
