,OR52W1 (120787)
ACH-000004,-0.1924059727044176
ACH-000005,0.059760978320194176
ACH-000007,0.016714340837263482
ACH-000009,-0.07999396674496041
ACH-000011,-0.14461293877141154
ACH-000012,-0.10615155287498436
ACH-000013,-0.1055093500130908
ACH-000014,-0.07952863376587976
ACH-000015,-0.030530771493228744
ACH-000017,-0.010752098056300992
ACH-000018,-0.00471811845223767
ACH-000019,0.038055016916943386
ACH-000021,-0.16292559366195514
ACH-000022,-0.010383419338473344
ACH-000025,-0.054396223855822816
ACH-000028,-0.0510465985538373
ACH-000030,-0.13705678406978195
ACH-000035,-0.07854893702941901
ACH-000036,-0.10434358745088744
ACH-000037,-0.16774035787577346
ACH-000039,-0.2037689466184828
ACH-000040,-0.2445666679837267
ACH-000041,-0.1949765144491459
ACH-000042,-0.2030504628062144
ACH-000045,-0.02989068197873912
ACH-000047,-0.07873948448805329
ACH-000052,-0.0011949868551968895
ACH-000053,-0.04241663243149619
ACH-000054,-0.2878818595107656
ACH-000055,-0.025969580408842813
ACH-000060,-0.032542722751544184
ACH-000067,-0.1005312411188708
ACH-000070,-0.2718464441861146
ACH-000075,-0.1340714836450279
ACH-000078,-0.12623888874892078
ACH-000082,-0.1284692948166292
ACH-000085,-0.14947183696387764
ACH-000086,-0.07170276535158487
ACH-000087,0.1427629348514991
ACH-000092,-0.09672972556606046
ACH-000095,-0.08883020967470275
ACH-000097,-0.1417282162406145
ACH-000098,-0.044282281525916366
ACH-000099,-0.12015842464904485
ACH-000108,-0.040692401508131006
ACH-000113,-0.10428006165955077
ACH-000116,-0.06442353039740649
ACH-000118,-0.10964078753338932
ACH-000120,-0.05974644223618545
ACH-000123,-0.0651074095228899
ACH-000127,-0.13994051246116124
ACH-000128,-0.03748347753019254
ACH-000132,-0.032996973723559815
ACH-000133,-0.1749106039553586
ACH-000137,-0.0859091853932316
ACH-000138,-0.04921610503752341
ACH-000142,-0.13097217964968927
ACH-000143,-0.4311532321639968
ACH-000146,-0.04441607061914906
ACH-000148,-0.09185726815377933
ACH-000150,-0.14255331762106652
ACH-000152,-0.04257228631113254
ACH-000153,-0.18705419396797854
ACH-000159,-0.04681774755174987
ACH-000160,-0.11889262856992508
ACH-000163,-0.19576599472050613
ACH-000167,-0.6497672031705161
ACH-000168,-0.13701435698042036
ACH-000169,-0.056024142990142696
ACH-000178,-0.10524497423547584
ACH-000183,-0.13155827037230705
ACH-000188,-0.04340814366914946
ACH-000189,-0.2640496903548692
ACH-000190,-0.08348611509498123
ACH-000198,-0.14871577420641974
ACH-000203,0.3157630337195802
ACH-000204,-0.05103141622677247
ACH-000206,0.045208719121663986
ACH-000207,0.022369150981739555
ACH-000208,-0.14711918816529118
ACH-000210,-0.16764297857741547
ACH-000211,-0.08340681739802
ACH-000215,-0.1305981571704467
ACH-000221,0.0343335702091868
ACH-000222,-0.2487102262999805
ACH-000223,-0.11632721833455395
ACH-000226,-0.010870200030371398
ACH-000227,-0.07922151663387916
ACH-000228,-0.06298623931522578
ACH-000231,-0.0820718903939726
ACH-000232,-0.11487714413307873
ACH-000233,-0.03083451328717025
ACH-000234,-0.006836554551633086
ACH-000235,-0.0265119015548919
ACH-000237,-0.14174371609012246
ACH-000238,-0.1366415825377144
ACH-000242,0.08607672242511602
ACH-000243,-0.05203579326155307
ACH-000244,-0.0684325052056489
ACH-000246,-0.12555867212542285
ACH-000248,0.04198611229635845
ACH-000250,-0.12268732747263028
ACH-000251,-0.13258536915327654
ACH-000252,-0.047979782429374514
ACH-000253,-0.15671616594472024
ACH-000255,-0.05514652817661249
ACH-000256,0.026921522489779696
ACH-000257,-0.001280212721703691
