,CTDSP2 (10106)
ACH-000004,-0.09856184346541608
ACH-000005,-0.2851599870879081
ACH-000007,-0.3982077234905602
ACH-000009,-0.3547105635226112
ACH-000011,-0.3777270109301633
ACH-000012,-0.2001829180224388
ACH-000013,-0.16424220045005525
ACH-000014,-0.2494946666784731
ACH-000015,-0.20868254004089515
ACH-000017,-0.18352803103186185
ACH-000018,-0.2860004486670254
ACH-000019,-0.2176426152151383
ACH-000021,-0.4196179275154668
ACH-000022,-0.3294587428400353
ACH-000025,-0.2669353557448472
ACH-000028,-0.160420867906263
ACH-000030,-0.27410882828176303
ACH-000035,-0.18475969859154828
ACH-000036,-0.3654100021374628
ACH-000037,-0.3794500648655889
ACH-000039,-0.2477483897746929
ACH-000040,-0.24431402957141496
ACH-000041,-0.16544732705735746
ACH-000042,-0.3208165135903818
ACH-000045,-0.25834635868667744
ACH-000047,-0.34991992354407103
ACH-000052,-0.17373062458722455
ACH-000053,-0.2278807857756485
ACH-000054,-0.26423775225214224
ACH-000055,-0.2169006197335892
ACH-000060,-0.07412178091545013
ACH-000067,-0.2452221925122603
ACH-000070,-0.18090476674044698
ACH-000075,-0.36624341092814505
ACH-000078,-0.20555738175073815
ACH-000082,-0.2209056041868604
ACH-000085,-0.2516782827143444
ACH-000086,-0.34073554007841284
ACH-000087,-0.15349013275453152
ACH-000092,-0.1646593771243612
ACH-000095,-0.4268909229554479
ACH-000097,-0.2103153287251348
ACH-000098,-0.22926891599962398
ACH-000099,-0.36008707234553944
ACH-000108,-0.16886649157427655
ACH-000113,-0.14711087437379552
ACH-000116,-0.17513221721213856
ACH-000118,-0.2699415274583022
ACH-000120,-0.4828295806429364
ACH-000123,-0.30569863962835514
ACH-000127,-0.3270532566951833
ACH-000128,-0.5176137688013808
ACH-000132,-0.11243371150592077
ACH-000133,-0.3310043352131096
ACH-000137,-0.1985873901558587
ACH-000138,-0.16769583972460325
ACH-000142,-0.247648624438332
ACH-000143,-0.4623868875399671
ACH-000146,-0.3838295850183867
ACH-000148,-0.24167953399746836
ACH-000150,-0.32147214310356825
ACH-000152,-0.3493244980322739
ACH-000153,-0.4884637120298421
ACH-000159,-0.3311913126081029
ACH-000160,-0.37658927723306296
ACH-000163,-0.30110333335175404
ACH-000167,-0.4567588530338084
ACH-000168,-0.27633559414503783
ACH-000169,-0.19164851666294414
ACH-000178,-0.3121714614240548
ACH-000183,-0.16487774838346644
ACH-000188,-0.0854069518458037
ACH-000189,-0.4797790714107126
ACH-000190,-0.24748893067718805
ACH-000198,-0.345458290692076
ACH-000203,-0.2937057063679158
ACH-000204,-0.13316505156259711
ACH-000206,-0.18867191687838292
ACH-000207,-0.11670304924615416
ACH-000208,-0.3795387918635122
ACH-000210,-0.2988444256321742
ACH-000211,-0.16145499662411705
ACH-000215,-0.20136157811994249
ACH-000221,-0.23844672241361425
ACH-000222,-0.2944166181334744
ACH-000223,-0.31542247958290004
ACH-000226,-0.21153705325123728
ACH-000227,-0.2807589836005087
ACH-000228,-0.2950198506671632
ACH-000231,-0.23631520468094624
ACH-000232,-0.3075263358126278
ACH-000233,-0.25271694396020783
ACH-000234,-0.5018639096667173
ACH-000235,-0.2518128585270191
ACH-000237,-0.3282089336517096
ACH-000238,-0.17195384280569492
ACH-000242,-0.4948719957401349
ACH-000243,-0.07472151606548434
ACH-000244,-0.3358502764863487
ACH-000246,-0.2839335682482449
ACH-000248,-0.32163972570407
ACH-000250,-0.20110201645109607
ACH-000251,-0.1866247897029526
ACH-000252,-0.6172852500409902
ACH-000253,-0.31924446551191266
ACH-000255,-0.1442854042084814
ACH-000256,-0.2693253744437816
ACH-000257,-0.20938572107511985
ACH-000258,-0.17099894503312404
ACH-000259,-0.198545226310032
ACH-000260,-0.2890575822780383
ACH-000261,-0.27816573379621873
ACH-000262,-0.457819549389428
ACH-000263,-0.3798776952977036
ACH-000264,-0.20155685758728906
ACH-000265,-0.2436470245272393
ACH-000266,-0.2685105388064973
ACH-000272,-0.2377756554373547
ACH-000274,-0.2636419160027178
ACH-000277,-0.18476566470798106
ACH-000278,-0.3972775773123887
ACH-000279,-0.4380825623243861
ACH-000280,-0.3092514899930445
ACH-000281,-0.2286500484903557
ACH-000288,-0.448849958412702
ACH-000291,-0.2293175399142413
ACH-000293,-0.07588639764450775
ACH-000294,-0.2320236602719648
ACH-000295,-0.038698537580197465
ACH-000296,-0.1805375999060949
ACH-000302,-0.15006977070607685
ACH-000304,-0.18951586783072347
ACH-000307,-0.2167954233793345
ACH-000308,-0.29713172752092804
ACH-000310,-0.26122575917328955
ACH-000311,-0.1703784236857694
ACH-000312,-0.17747079982410782
ACH-000315,-0.2800861068692157
ACH-000316,-0.07813049994156207
ACH-000317,-0.2553700021477352
ACH-000318,-0.2842357543611139
ACH-000319,-0.2357660590708463
ACH-000320,-0.1928438712431422
ACH-000322,-0.31993828722904405
ACH-000323,-0.128492655642603
ACH-000324,-0.29733213940584424
ACH-000329,-0.2936084043993055
ACH-000330,-0.09635739380358192
ACH-000331,-0.2625412204046724
ACH-000332,-0.30666689317156304
ACH-000334,-0.2647729402054766
ACH-000335,-0.24879376912225384
ACH-000336,-0.11666864656382535
ACH-000337,-0.04912745645473345
ACH-000338,-0.4891152133069147
ACH-000339,-0.3275902308696418
ACH-000341,-0.11978512343472797
ACH-000348,-0.2599218985055492
ACH-000350,-0.20587375881169187
ACH-000352,-0.2057575059518683
ACH-000356,-0.4119122818118353
ACH-000361,-0.2501080307670615
ACH-000362,-0.24694136237365846
ACH-000363,-0.2226953684951826
ACH-000364,-0.358877277060925
ACH-000365,-0.17730249301020254
ACH-000366,-0.2934942135095575
ACH-000368,-0.4228038584159451
ACH-000374,-0.4380999596327797
ACH-000375,-0.24662975727085004
ACH-000376,-0.2843493901912931
ACH-000381,-0.026633544561508054
ACH-000383,-0.19936166070118694
ACH-000387,-0.16093979973038022
ACH-000389,-0.1470287391103942
ACH-000390,-0.18951916317445
ACH-000393,-0.28289369373004997
ACH-000395,-0.22803449048328006
ACH-000396,-0.3051156705083852
ACH-000397,-0.3945412231121969
ACH-000401,-0.09037144579243388
ACH-000402,-0.22634544190224595
ACH-000403,-0.443118217439094
ACH-000404,-0.5876593724139484
ACH-000406,-0.2999135456356367
ACH-000407,-0.15342136458933675
ACH-000408,-0.3631501650133264
ACH-000410,-0.39627763818344697
ACH-000411,-0.3458941937302957
ACH-000414,-0.2472790809855607
ACH-000415,-0.0883669401758318
ACH-000416,-0.3087701931094332
ACH-000420,-0.33114310726034724
ACH-000421,-0.14431638567123845
ACH-000424,-0.40959347867112095
ACH-000425,-0.4543202855898316
ACH-000426,0.02746623539438666
ACH-000427,-0.4384534984725544
ACH-000433,-0.2599228185369533
ACH-000435,-0.2335183548517188
ACH-000436,-0.2308755442487111
ACH-000444,-0.19771678932024825
ACH-000445,-0.3227411071185333
ACH-000448,-0.3337956732812145
ACH-000450,-0.3922604731847567
ACH-000452,-0.3485777694097373
ACH-000454,-0.3476506203713495
ACH-000458,-0.3509508001684972
ACH-000459,-0.3254047081641149
ACH-000460,-0.26216734973688577
ACH-000461,-0.25126375078794194
ACH-000463,-0.35515456917081634
ACH-000464,-0.3119541196818273
ACH-000466,-0.3768445566634755
ACH-000467,-0.11367384045298587
ACH-000468,-0.22919217308321704
ACH-000469,-0.06715433701704845
ACH-000470,-0.1465695169207325
ACH-000471,-0.09774441361819712
ACH-000472,-0.2581408186969959
ACH-000473,-0.20200773913806316
ACH-000475,-0.2082030960542075
ACH-000476,-0.3649105129355433
ACH-000477,-0.29077743605043666
ACH-000479,-0.5411839328219056
ACH-000480,-0.2010329977483874
ACH-000481,-0.2383062618297057
ACH-000483,-0.1392371941961018
ACH-000484,-0.02537810073588396
ACH-000485,-0.3381593153815337
ACH-000486,-0.2461645430626621
ACH-000487,-0.15742123212375106
ACH-000488,-0.3820181104910984
ACH-000490,-0.19526865303265492
ACH-000491,-0.3612705598323242
ACH-000495,-0.033497483781356724
ACH-000496,-0.5409784452155603
ACH-000499,-0.08921325922774807
ACH-000500,-0.6520198368710404
ACH-000502,-0.19778925438485312
ACH-000503,-0.09825724397014596
ACH-000505,-0.1490673503378088
ACH-000507,-0.3362544310102162
ACH-000510,-0.11846914954014028
ACH-000511,-0.36034779319681215
ACH-000512,-0.2220267400454563
ACH-000516,-0.104604809777916
ACH-000517,-0.3676269689710102
ACH-000518,-0.3653217950618965
ACH-000520,-0.20413043286404106
ACH-000521,-0.02200848713691748
ACH-000522,-0.3158052725669181
ACH-000524,-0.23107864842198425
