,OR4A15 (81328)
ACH-000004,0.02860795577664165
ACH-000005,0.2901521032919695
ACH-000007,0.058158566857012865
ACH-000009,0.2236751787325857
ACH-000011,-0.02930949748982305
ACH-000012,0.004479897803659056
ACH-000013,0.021595993417661292
ACH-000014,0.1156258139032614
ACH-000015,0.048474795414601285
ACH-000017,0.01910270293974899
ACH-000018,0.15056034508377109
ACH-000019,0.2234821282257841
ACH-000021,-0.07023438563671304
ACH-000022,-0.07640647338401818
ACH-000025,0.14870818342657424
ACH-000028,0.07506642616255732
ACH-000030,0.02536917405791897
ACH-000035,0.010802045431769424
ACH-000036,0.0017431351983534878
ACH-000037,-0.033795354133894576
ACH-000039,-0.07133393419795192
ACH-000040,0.060215798020177916
ACH-000041,0.2311934588369716
ACH-000042,0.04244135765332704
ACH-000045,0.10199682076228514
ACH-000047,-0.13339563345391225
ACH-000052,-0.024863387022293373
ACH-000053,0.033691560309165404
ACH-000054,0.00548574271092699
ACH-000055,0.11839866975071478
ACH-000060,-0.0650279116932228
ACH-000067,0.11078115061553104
ACH-000070,-0.33097966427830666
ACH-000075,0.02883073945523883
ACH-000078,0.05576110745967335
ACH-000082,-0.006521120080341401
ACH-000085,0.0989586082308452
ACH-000086,0.006996259280914268
ACH-000087,0.3133307473506193
ACH-000092,0.03146145499245448
ACH-000095,-0.024908696878275467
ACH-000097,-0.11549022376722524
ACH-000098,0.04153350520073747
ACH-000099,0.056340530704064785
ACH-000108,0.04454994056051926
ACH-000113,-0.05153768701538301
ACH-000116,0.035238358246560096
ACH-000118,-0.08790945247185633
ACH-000120,0.1694180948944876
ACH-000123,0.04249390162310118
ACH-000127,-0.06575153116335561
ACH-000128,-0.14459799647533894
ACH-000132,-0.1954109961306612
ACH-000133,-0.030504102471116123
ACH-000137,0.027154932262190158
ACH-000138,-0.00945111044671058
ACH-000142,0.0502174373309314
ACH-000143,-0.07744710942126429
ACH-000146,0.015105334493051552
ACH-000148,0.07447958717559508
ACH-000150,0.012758093957831413
ACH-000152,0.01600398300955715
ACH-000153,-0.1365911545856136
ACH-000159,-0.10876246180940488
ACH-000160,-0.05934079718073738
ACH-000163,0.1579841579142782
ACH-000167,-0.020400856896208703
ACH-000168,-0.04442980261858078
ACH-000169,0.2454685334604707
ACH-000178,-0.024392680128487276
ACH-000183,-0.04586907217465688
ACH-000188,-0.0335828151227548
ACH-000189,-0.04070352255580648
ACH-000190,-0.0050523719318159
ACH-000198,-0.11614401040615535
ACH-000203,0.02806764189331401
ACH-000204,-0.05747618098359966
ACH-000206,-0.11102141169528468
ACH-000207,0.10515646792286693
ACH-000208,-0.26956774604762923
ACH-000210,-0.13185014297661354
ACH-000211,-0.037813540577645084
ACH-000215,-0.017300311837625745
ACH-000221,0.027108181116055587
ACH-000222,0.025521060014459872
ACH-000223,0.08206625478250408
ACH-000226,0.009931754269129634
ACH-000227,-0.02694868116061254
ACH-000228,-0.10313358275125012
ACH-000231,-0.05836537262944309
ACH-000232,0.08993452353815648
ACH-000233,-0.04672463462182458
ACH-000234,-0.09626702380485394
ACH-000235,-0.0708307599876582
ACH-000237,0.07029414569661838
ACH-000238,0.0499922695438446
ACH-000242,-0.06648149747025954
ACH-000243,-0.07826578320284844
ACH-000244,-0.07626609985344908
ACH-000246,0.11641825106020852
ACH-000248,0.04978056861560246
ACH-000250,0.045754917283674514
ACH-000251,0.0683253087344151
ACH-000252,-0.10819544386916397
ACH-000253,0.0076037831484521735
ACH-000255,-0.036801611040999715
ACH-000256,-0.011764932331962623
ACH-000257,-0.22750127752910254
ACH-000258,0.1486293281987149
ACH-000259,0.05225077186396367
ACH-000260,-0.007594823865743999
ACH-000261,-0.06709908096470579
ACH-000262,0.26475317361882444
ACH-000263,0.3503056845048761
ACH-000264,0.01079107295049418
ACH-000265,-0.05315529608295005
ACH-000266,-0.018191914647546645
ACH-000272,-0.001970715403409812
ACH-000274,0.08608595421628971
ACH-000277,-0.16352343973100913
