,LMLN (89782)
ACH-000004,-0.12839820745108316
ACH-000005,-0.27092792663663995
ACH-000007,0.0003206679573853409
ACH-000009,-0.26236600046146263
ACH-000011,-0.1317048510288761
ACH-000012,-0.1713794834596634
ACH-000013,-0.12807708684331218
ACH-000014,-0.008774213923591779
ACH-000015,-0.15259153157336647
ACH-000017,-0.1508148443032488
ACH-000018,-0.02871568907984982
ACH-000019,0.01142323193978846
ACH-000021,-0.1993433122025707
ACH-000022,-0.2237673751571753
ACH-000025,-0.20732071806323946
ACH-000028,-0.10890228920671806
ACH-000030,-0.17987726903065873
ACH-000035,-0.14665863367219453
ACH-000036,-0.010591744632123869
ACH-000037,-0.17669166677322284
ACH-000039,-0.3046572808384942
ACH-000040,-0.15895032977032444
ACH-000041,-0.14235914841926506
ACH-000042,-0.2571312664263001
ACH-000045,-0.16091492167379498
ACH-000047,-0.11161366122692896
ACH-000052,-0.16296652559206706
ACH-000053,-0.16734751603458572
ACH-000054,-0.1882424775050048
ACH-000055,0.012569106898482915
ACH-000060,-0.1391818846542944
ACH-000067,0.11095098190625707
ACH-000070,-0.13436183992545053
ACH-000075,-0.2799937955363668
ACH-000078,-0.22174077717072965
ACH-000082,-0.11656233384689055
ACH-000085,-0.08129370666005457
ACH-000086,-0.14868305410141106
ACH-000087,-0.13381304239961192
ACH-000092,-0.1427499573800294
ACH-000095,-0.11054203688371096
ACH-000097,-0.15004541851249606
ACH-000098,0.07661100501301532
ACH-000099,-0.11622440759077605
ACH-000108,-0.1086094257755848
ACH-000113,-0.1151570159778757
ACH-000116,-0.11656494543601033
ACH-000118,-0.11776076096532816
ACH-000120,-0.0613189537216351
ACH-000123,-0.14352192387998278
ACH-000127,-0.09423333180861863
ACH-000128,-0.15146761055834773
ACH-000132,-0.07526874320367538
ACH-000133,-0.17723548267273487
ACH-000137,-0.05580027068956956
ACH-000138,-0.18264612162531266
ACH-000142,-0.1602011557528464
ACH-000143,-0.1770623426534445
ACH-000146,-0.19534400895624224
ACH-000148,-0.12677699188636374
ACH-000150,-0.06930086010466409
ACH-000152,-0.16761433802513154
ACH-000153,-0.137413754349496
ACH-000159,-0.1428982265076335
ACH-000160,-0.1366874515301491
ACH-000163,0.09370477042875916
ACH-000167,-0.14035437422323485
ACH-000168,-0.08599259363666162
ACH-000169,-0.0711065660754743
ACH-000178,-0.1406612068798727
ACH-000183,-0.13391211447836218
ACH-000188,-0.0916126796380384
ACH-000189,-0.06756622722763159
ACH-000190,-0.2434082376247888
ACH-000198,-0.29818976690895665
ACH-000203,-0.5125694945447086
ACH-000204,-0.20486022989601704
ACH-000206,-0.33297375906358945
ACH-000207,-0.2910542891562106
ACH-000208,0.0901594168210626
ACH-000210,-0.17244392020708058
ACH-000211,-0.17053152824952428
ACH-000215,-0.12449807514415928
ACH-000221,-0.10069426993821208
ACH-000222,-0.31303774466898593
ACH-000223,-0.22244159234603547
ACH-000226,0.009583562628235074
ACH-000227,-0.1935960285933692
ACH-000228,0.05041375874760487
ACH-000231,-0.21327255379429236
ACH-000232,-0.21290954135491846
ACH-000233,-0.14191499999399165
ACH-000234,-0.24763325052594076
ACH-000235,-0.14395126688686868
ACH-000237,-0.14258461936201786
ACH-000238,-0.19750111755633684
ACH-000242,0.1643381110848349
ACH-000243,-0.04540473097619378
ACH-000244,-0.26668005475262624
ACH-000246,-0.14768681916700166
ACH-000248,-0.10704924625305882
ACH-000250,-0.16309374385336153
ACH-000251,-0.024112507520027117
ACH-000252,0.03762118634625684
ACH-000253,-0.15839711251255348
ACH-000255,-0.09246458238872016
ACH-000256,-0.22215507164515866
ACH-000257,-0.3328675869166599
ACH-000258,-0.16984767166105952
ACH-000259,-0.2314256936103232
ACH-000260,-0.0986752076443664
ACH-000261,-0.11318308249124145
ACH-000262,-0.36268356395809015
ACH-000263,-0.02155819739013549
ACH-000264,-0.04989653033651004
ACH-000265,-0.040087433533604125
ACH-000266,-0.21249313415901866
ACH-000272,-0.23051321259945684
ACH-000274,-0.19715047519347745
ACH-000277,-0.21959764044860836
ACH-000278,-0.08682382462607212
ACH-000279,-0.1113978171687191
ACH-000280,-0.19277322450014814
ACH-000281,-0.1532811398147535
ACH-000288,-0.2155247715280651
ACH-000291,-0.1559048886153007
ACH-000293,-0.06099637446405319
ACH-000294,-0.14079373177110466
ACH-000295,-0.28614770361899033
ACH-000296,-0.016060076080678762
ACH-000302,-0.12238087569061193
ACH-000304,-0.16921760823564272
ACH-000307,-0.09361623492180676
ACH-000308,-0.2541695370373649
ACH-000310,-0.24108546403612924
ACH-000311,-0.18175853418449248
ACH-000312,-0.05741366873553305
ACH-000315,-0.2328111063228559
ACH-000316,-0.13137995845249845
ACH-000317,-0.03196445611638204
ACH-000318,-0.1440267481312765
ACH-000319,-0.07034776585431891
ACH-000320,-0.2097492217660188
ACH-000322,-0.15730374525125226
ACH-000323,-0.057938418599114534
ACH-000324,-0.21382852497607013
ACH-000329,-0.10336581903297558
ACH-000330,-0.051096756281796316
ACH-000331,-0.13637403612912713
ACH-000332,-0.11220050563875003
ACH-000334,-0.04006582435465477
ACH-000335,0.09019686990790092
ACH-000336,0.0024948680266456817
ACH-000337,-0.00817815569555821
ACH-000338,-0.40834503196780736
ACH-000339,-0.1242824534825296
ACH-000341,0.0010682907994970638
ACH-000348,-0.16370473536903926
ACH-000350,-0.16483776214101545
ACH-000352,-0.08198435206428338
ACH-000356,-0.07277385241132063
ACH-000361,-0.1030836862807605
ACH-000362,-0.1330692989484072
ACH-000363,-0.14383228125307454
ACH-000364,-0.04152271214835712
ACH-000365,-0.2586779076358848
ACH-000366,-0.2124347057254485
ACH-000368,0.004933305355265085
ACH-000374,-0.11527174307974905
ACH-000375,-0.13158218363615215
ACH-000376,-0.13393639151592254
ACH-000381,-0.1559958443388635
ACH-000383,-0.11341651629828285
ACH-000387,-0.2902417978490668
ACH-000389,-0.3067569426289978
ACH-000390,-0.20761473928740995
ACH-000393,0.011988909331925354
ACH-000395,-0.0829622201025597
ACH-000396,-0.4142165799866898
ACH-000397,-0.19712942875389086
ACH-000401,-0.26883649896107953
ACH-000402,-0.2297752881706983
ACH-000403,-0.1011606832732885
ACH-000404,-0.10261502505567772
ACH-000406,-0.12861195142172807
ACH-000407,-0.062273860711537926
ACH-000408,-0.14820755082305465
ACH-000410,-0.008621912678992505
ACH-000411,-0.1553118894996766
ACH-000414,-0.14709427219391238
ACH-000415,-0.10100426903854397
ACH-000416,-0.1805232173959414
ACH-000420,-0.1760135356524468
ACH-000421,-0.14037593210141086
ACH-000424,-0.06610756020646134
ACH-000425,-0.20104419912012966
ACH-000426,-0.15412281665430835
ACH-000427,-0.19438695140504866
ACH-000433,-0.1404491534080893
ACH-000435,-0.2785935867614485
ACH-000436,-0.07389178706312402
ACH-000444,-0.08142841539429055
ACH-000445,-0.058551393237185376
ACH-000448,-0.12615215903703575
ACH-000450,-0.23983847736377065
ACH-000452,-0.12921075811201332
ACH-000454,-0.3558292153743613
ACH-000458,-0.05352242118007622
ACH-000459,-0.062073476487735674
ACH-000460,-0.1585945868643715
ACH-000461,-0.1809238582612365
ACH-000463,-0.11557989361427848
ACH-000464,-0.20292175216983327
ACH-000466,-0.17109151161348918
ACH-000467,-0.03818331105771538
ACH-000468,-0.23295435542702686
ACH-000469,-0.07663237561916883
ACH-000470,-0.266002645032047
ACH-000471,-0.1090054450291114
ACH-000472,-0.15645600941575358
ACH-000473,-0.16470108576863582
ACH-000475,-0.1567849909459836
ACH-000476,-0.13029961254692468
ACH-000477,-0.21964417102963868
ACH-000479,-0.3037726075937949
ACH-000480,-0.0909381829641228
ACH-000481,-0.11002142820211704
ACH-000483,-0.06322070590621219
ACH-000484,-0.08035779467776613
ACH-000485,-0.06788551802919178
ACH-000486,-0.21300601284267898
ACH-000487,-0.08006455164494954
ACH-000488,-0.12304486477822532
ACH-000490,-0.21051587141722045
ACH-000491,-0.17455755113230878
ACH-000495,-0.2011140306582012
ACH-000496,-0.07199623448906038
ACH-000499,0.12750772435354546
ACH-000500,-0.3261949121148581
ACH-000502,-0.15635229969958905
