,VAV2 (7410)
ACH-000004,0.008284670783203257
ACH-000005,-0.12527958450536789
ACH-000007,-0.06891366602088142
ACH-000009,-0.2839900376952162
ACH-000011,-0.05111880324692844
ACH-000012,-0.2177579191072028
ACH-000013,-0.14474251384933096
ACH-000014,-0.11017646600282756
ACH-000015,-0.2392325395553493
ACH-000017,-0.16068626352723284
ACH-000018,-0.1642242800003283
ACH-000019,-0.10233162337027024
ACH-000021,-0.13549340459842313
ACH-000022,-0.2298929126964481
ACH-000025,-0.2211973320898757
ACH-000028,-0.07168857203368678
ACH-000030,-0.21836747391279088
ACH-000035,-0.07141565896017794
ACH-000036,-0.12303677561852418
ACH-000037,-0.2821945596121169
ACH-000039,-0.11384747425511668
ACH-000040,-0.1002941655526374
ACH-000041,-0.1415426283954735
ACH-000042,-0.2400285322149339
ACH-000045,0.0006192328478209033
ACH-000047,0.04641890991454165
ACH-000052,0.08408059045419694
ACH-000053,-0.16029427387084969
ACH-000054,-0.1399809353486692
ACH-000055,-0.20639684626082253
ACH-000060,-0.08661803441913253
ACH-000067,-0.08540455849863117
ACH-000070,-0.11106759783325806
ACH-000075,-0.1607952298202704
ACH-000078,-0.24115834730592145
ACH-000082,-0.15582595817722186
ACH-000085,-0.16740940401013396
ACH-000086,-0.18724526973213798
ACH-000087,-0.4036113116261913
ACH-000092,-0.098234601163228
ACH-000095,-0.16302630431807433
ACH-000097,-0.13853799946543166
ACH-000098,-0.21919296582866915
ACH-000099,-0.15853346110955718
ACH-000108,-0.0744655489765773
ACH-000113,-0.08483939996534286
ACH-000116,-0.04930828933093175
ACH-000118,-0.12485979094173046
ACH-000120,0.0005169131859427955
ACH-000123,-0.14276648949349746
ACH-000127,-0.283184869382588
ACH-000128,-0.22136143162074012
ACH-000132,-0.15912205794275264
ACH-000133,-0.1300232131652005
ACH-000137,0.0057981287000608995
ACH-000138,-0.060532531963160635
ACH-000142,-0.20865494446944394
ACH-000143,-0.10713408459771824
ACH-000146,-0.08566205148580293
ACH-000148,-0.13242107530783834
ACH-000150,-0.05780498440426601
ACH-000152,-0.14388690903238158
ACH-000153,-0.11611638239621568
ACH-000159,-0.09947314094321212
ACH-000160,-0.12308376058301684
ACH-000163,-0.2979351817139518
ACH-000167,0.016514434906652473
ACH-000168,-0.31233284662256805
ACH-000169,-0.13016803396201776
ACH-000178,-0.2449978190816875
ACH-000183,-0.019850684883728976
ACH-000188,-0.12946813961602294
ACH-000189,-0.015349520157655918
ACH-000190,-0.03542950597506328
ACH-000198,-0.16328213274396464
ACH-000203,-0.5963778502773157
ACH-000204,-0.06186195548337577
