,ZC3H7A (29066)
ACH-000004,-0.04299197401632846
ACH-000005,-0.09095802704630836
ACH-000007,-0.14414700982970538
ACH-000009,-0.08732548530683483
ACH-000011,-0.2065261610653504
ACH-000012,-0.13908500167993568
ACH-000013,-0.14380212685696273
ACH-000014,-0.11706378509594087
ACH-000015,-0.26005578202924484
ACH-000017,0.07815318993149316
ACH-000018,-0.14685726629288753
ACH-000019,0.010399160036590091
ACH-000021,-0.429451972847038
ACH-000022,-0.1627195834100447
ACH-000025,-0.20071319683728056
ACH-000028,0.10753018462480772
ACH-000030,-0.2032773090623685
ACH-000035,-0.5288921935565467
ACH-000036,-0.1602773152838863
ACH-000037,-0.16350148124238958
ACH-000039,-0.1532452660612958
ACH-000040,-0.2623188957050864
ACH-000041,0.06102948663434533
ACH-000042,-0.15397131252254775
ACH-000045,-0.32175450973390324
ACH-000047,-0.2508444688371388
ACH-000052,0.04836037476320503
ACH-000053,-0.4966032044543401
ACH-000054,-0.19112926289578613
ACH-000055,-0.00984196001223885
ACH-000060,0.14655654832964846
ACH-000067,-0.4423132239451406
ACH-000070,-0.1193643647543582
ACH-000075,-0.21774507301284451
ACH-000078,-0.20843350189160634
ACH-000082,-0.2777464544640061
ACH-000085,-0.08685692478057694
ACH-000086,-0.07166618873938671
ACH-000087,-0.11257476380513556
ACH-000092,-0.2551024262036186
ACH-000095,-0.12268570485256095
ACH-000097,-0.09505251311841874
ACH-000098,-0.3447321981996446
ACH-000099,-0.11644635259579855
ACH-000108,-0.08162803686908167
ACH-000113,-0.16363393488868147
ACH-000116,-0.033783581702176886
ACH-000118,-0.18366175127372444
ACH-000120,-0.21258430494463293
ACH-000123,-0.23241035383516284
ACH-000127,-0.07170628522374932
ACH-000128,0.13009796922416333
ACH-000132,-0.20501178320094168
ACH-000133,-0.02363448004425052
ACH-000137,-0.08362442151854785
ACH-000138,-0.0430337568427432
ACH-000142,-0.10378837296549932
ACH-000143,-0.3259934759214427
ACH-000146,-0.3002144218335083
ACH-000148,-0.17900863161596675
ACH-000150,0.13328641829493826
ACH-000152,-0.1758620624997884
ACH-000153,-0.22268516760504095
ACH-000159,0.01623289653611331
ACH-000160,0.0016432941055357368
ACH-000163,-0.14854285201595954
ACH-000167,-0.1418933869380179
ACH-000168,-0.1818266215019368
ACH-000169,-0.045986043715617785
ACH-000178,-0.2797649593261934
ACH-000183,-0.05071935106646008
ACH-000188,-0.15318878620942245
ACH-000189,-0.37594267773055773
ACH-000190,-0.30966568548615137
ACH-000198,-0.44319993670789065
ACH-000203,0.13346946018283862
ACH-000204,-0.18461207901593485
ACH-000206,-0.2472432304248989
ACH-000207,-0.24808151495410985
ACH-000208,-0.15758567380598293
ACH-000210,0.016092698989456387
ACH-000211,0.0056918622393533095
ACH-000215,-0.07859351766000007
ACH-000221,0.0045142867422485146
ACH-000222,-0.11823353350330515
ACH-000223,-0.08057430190735174
ACH-000226,-0.07729846147847798
ACH-000227,-0.29481883590865543
ACH-000228,-0.11652791249515655
ACH-000231,-0.15975035608043206
ACH-000232,-0.19191477510364485
ACH-000233,-0.0945029118185659
ACH-000234,-0.033307102995726104
ACH-000235,-0.1684433315731986
ACH-000237,-0.15332169042905866
ACH-000238,-0.40652422164965146
ACH-000242,-0.09144616411798512
ACH-000243,-0.13661101730672706
ACH-000244,-0.1867666647964028
ACH-000246,-0.02647142534347511
ACH-000248,0.02735770327229485
ACH-000250,-0.2436626120070397
ACH-000251,-0.1290983338034533
ACH-000252,-0.3479840090756756
ACH-000253,0.1152182431035648
