,CHRAC1 (54108)
ACH-000580,-0.09863220337425443
ACH-000584,-0.02739693256739792
ACH-000585,-0.1329801094869589
ACH-000588,0.030029279302142494
ACH-000589,-0.25166888456951003
ACH-000591,-0.05945701033261529
ACH-000593,-0.02837252828808233
ACH-000600,-0.11178455293747501
ACH-000601,-0.17094104663108034
ACH-000605,0.0499951423447508
ACH-000606,-0.014211260565867844
ACH-000608,-0.10174200119893356
ACH-000614,-0.05416921827918935
ACH-000616,-0.01938446661587357
ACH-000618,-0.17146138871768438
ACH-000619,-0.14812127660988886
ACH-000620,-0.1521610745603144
ACH-000621,-0.08590447683225619
ACH-000622,0.02849030270627395
ACH-000623,-0.1496501033896376
ACH-000624,-0.1615527435601971
ACH-000627,0.005783169425969708
ACH-000630,-0.024061016715594182
ACH-000631,-0.4063839677075684
ACH-000632,-0.10090062057318368
ACH-000633,-0.12046980061524112
ACH-000637,-0.17057580587333762
ACH-000638,-0.21166003936786826
ACH-000646,-0.2963732395701185
ACH-000647,-0.10054950257288482
ACH-000648,-0.2392425951739026
ACH-000649,-0.3131077710794726
ACH-000651,-0.15930296841604266
ACH-000652,-0.2885223478545013
ACH-000653,-0.058945920547934724
ACH-000657,-0.2553466562062546
ACH-000658,-0.35726725631659395
ACH-000661,-0.001152913987239444
ACH-000662,-0.4184901705639808
ACH-000663,-0.10450756880871913
ACH-000665,-0.15179737497427198
ACH-000671,-0.017184501907009368
ACH-000672,-0.4019166754880602
ACH-000673,-0.11745285255379245
ACH-000676,-0.0816106923679249
ACH-000677,-0.08674199904858534
ACH-000681,-0.26579486608446834
ACH-000683,-0.13434824347277224
ACH-000684,-0.0956611710345056
ACH-000688,-0.056885654182980035
ACH-000693,-0.03431013835819415
ACH-000694,-0.04047492871591246
ACH-000695,-0.061237610008148764
ACH-000696,-0.08101973731016343
ACH-000697,-0.04805885436629845
ACH-000699,0.028611244053570024
ACH-000701,-0.16875879264044452
ACH-000706,-0.13933909027278776
ACH-000711,-0.1153737660894983
ACH-000713,-0.04795309626251109
ACH-000714,-0.11462695646283533
ACH-000718,-0.3180925864267275
ACH-000720,0.0157873927867423
ACH-000721,-0.13267175980249193
ACH-000724,-0.2363570110422389
ACH-000725,-0.1197993527633529
ACH-000732,-0.09093277896595482
ACH-000734,-0.032116164954118634
ACH-000735,0.04432777105567018
ACH-000736,-0.1063814896023967
ACH-000738,0.030783386732279282
ACH-000746,0.019278659847977275
ACH-000747,-0.029841452501449893
ACH-000748,-0.1946425787414916
ACH-000753,-0.07401379967559207
ACH-000756,-0.03709239950971915
ACH-000757,-0.21815054845821805
ACH-000758,-0.1332754039329559
ACH-000760,-0.14987853620547514
ACH-000762,0.07647404329422007
ACH-000763,-0.1859448612447965
ACH-000764,0.199723204189686
ACH-000765,-0.005289905085107425
ACH-000766,-0.09841637811301236
ACH-000767,-0.08777007580640903
ACH-000768,-0.0281048533102046
ACH-000769,0.05371521102118944
ACH-000770,-0.08983641411706922
ACH-000771,0.1268824448771027
ACH-000773,-0.4318598489021903
ACH-000776,-0.1980086935185639
ACH-000777,0.051233563278975686
ACH-000778,-0.04656127140999212
ACH-000781,-0.14519674576565053
ACH-000782,-0.11625193541183924
ACH-000783,-0.1819822365203482
ACH-000784,-0.03924886334217264
ACH-000785,-0.28179241584697196
ACH-000787,-0.02017418136311552
ACH-000788,-0.2070855310926256
ACH-000791,-0.10887513633487274
ACH-000792,-0.016755932061828745
ACH-000794,-0.13743133376620895
ACH-000796,-0.13209769709421704
ACH-000798,-0.22319459484674264
ACH-000799,-0.02068186684502472
ACH-000800,-0.2870215952999783
ACH-000802,-0.2176971035723095
ACH-000804,-0.055537153259489005
ACH-000805,-0.060942819807187014
ACH-000809,-0.08729077525133337
ACH-000810,-0.1426053067453278
ACH-000811,-0.11716863504614047
ACH-000817,0.15162243831800715
ACH-000819,-0.057166109070902325
ACH-000820,-0.16653507470914733
ACH-000821,-0.037269606139693615
ACH-000822,-0.3683106158592793
ACH-000823,-0.1767002577080915
ACH-000824,-0.19566875043755325
ACH-000827,-0.16040371474614462
ACH-000829,-0.27744914867380466
ACH-000831,-0.1210853653851322
ACH-000832,-0.14408739231519688
ACH-000833,-0.14559356583453692
ACH-000834,-0.11578382091778144
ACH-000835,0.056569654421632774
ACH-000836,0.08504830296882845
ACH-000837,-0.21943684325326596
ACH-000838,-0.167221037108064
ACH-000839,-0.041669454583959285
ACH-000840,-0.0162355370903796
ACH-000841,-0.301916854941416
ACH-000843,-0.09558698870551116
ACH-000846,-0.21410994342476414
ACH-000847,0.04467394487439953
ACH-000848,0.019600420054322942
ACH-000849,-0.204655245580012
ACH-000851,0.02060633883596794
ACH-000855,-0.1819214496932403
ACH-000856,-0.20777476358958655
ACH-000858,-0.012029888689322563
ACH-000859,-0.0016962660272774794
ACH-000861,-0.06277025634888916
ACH-000862,-0.105106442457098
ACH-000865,-0.14612187265180746
ACH-000866,-0.06639153904016216
ACH-000867,-0.17325223943761436
ACH-000869,-0.12737245708656908
ACH-000872,0.037573532135587936
ACH-000873,-0.13078718514298174
ACH-000876,-0.05061741164239024
ACH-000878,-0.21262704915919076
ACH-000880,-0.1787666733103903
ACH-000881,-0.12254617492347775
ACH-000882,-0.16590658701739902
ACH-000884,-0.1986998777667804
ACH-000885,0.014834374828876038
ACH-000887,-0.12636035793285474
ACH-000889,-0.03550534710759408
ACH-000896,-0.10822002165808904
ACH-000898,0.09451964370211872
ACH-000900,-0.3049144242362187
ACH-000901,-0.10395231128382024
ACH-000905,-0.12328387306115893
ACH-000906,-0.11730777486371405
ACH-000907,-0.05073351443753096
ACH-000910,-0.21163321232337026
ACH-000911,-0.16502315798717984
ACH-000912,-0.018276800108023742
ACH-000913,-0.21024638411113208
ACH-000915,-0.04003200529979816
ACH-000916,-0.19968276624284764
ACH-000917,-0.3168516754697256
ACH-000920,0.13795640390668487
ACH-000921,-0.1311609301940052
ACH-000924,-0.10239764335544548
ACH-000926,-0.3553683731758925
ACH-000928,-0.08593410328024739
ACH-000929,-0.20160710815970526
ACH-000932,-0.17100848601305849
ACH-000935,-0.005176110813773747
ACH-000936,0.0008236685914494615
ACH-000937,-0.15320273941518586
ACH-000938,-0.2412692696520484
ACH-000939,0.3204615863245925
ACH-000941,-0.11078018279399267
ACH-000943,-0.11285579980423532
ACH-000946,-0.17967972930074916
ACH-000947,-0.25582620090302594
ACH-000948,0.08515615303722641
ACH-000950,-0.3830334327758573
ACH-000953,-0.1838268352848696
ACH-000954,-0.19719951057292512
ACH-000957,0.014185236203529766
ACH-000958,-0.08835543070914009
ACH-000960,-0.04505917532334385
ACH-000963,0.0534218298894103
ACH-000968,-0.039398523303550086
ACH-000969,-0.0770689772707625
ACH-000972,-0.1407445118385489
ACH-000973,-0.14131223829528503
ACH-000974,-0.2083100718188648
ACH-000978,-0.25208430482425725
ACH-000984,-0.1953921514028865
ACH-000986,0.017576568082675534
