,ARSI (340075)
ACH-000004,-0.30588595505604954
ACH-000005,-0.18039647242156426
ACH-000007,-0.32714263190557946
ACH-000009,-0.3049834077703886
ACH-000011,-0.4149424135540196
ACH-000012,-0.2912860813220863
ACH-000013,-0.12145830407202572
ACH-000014,-0.07962215459761562
ACH-000015,-0.4307771823705404
ACH-000017,-0.3141573732049809
ACH-000018,-0.14030048460117428
ACH-000019,-0.031726778307465266
ACH-000021,-0.1986249367008184
ACH-000022,-0.2937234135944532
ACH-000025,-0.2340442864272365
ACH-000028,-0.0014540592408266194
ACH-000030,-0.21203254693831827
ACH-000035,-0.19126435422763186
ACH-000036,-0.15773788204207054
ACH-000037,-0.2930605877584648
ACH-000039,-0.2309694892737204
ACH-000040,-0.22956742578933464
ACH-000041,-0.2116866920430472
ACH-000042,-0.1479972051983577
ACH-000045,-0.32841002381994955
ACH-000047,-0.2854559221104737
ACH-000052,-0.2329340767742063
ACH-000053,-0.1967571906481689
ACH-000054,-0.14777648976067376
ACH-000055,-0.10949796259504213
ACH-000060,-0.18365682201186356
ACH-000067,-0.31166914792345823
ACH-000070,-0.27714435370550755
ACH-000075,-0.24264177554981195
ACH-000078,-0.20051756031575216
ACH-000082,-0.12943810023634592
ACH-000085,-0.2859816891671663
ACH-000086,-0.1266148710538064
ACH-000087,-0.06921568587677605
ACH-000092,-0.1179708774977868
ACH-000095,-0.26535122923939897
ACH-000097,-0.2931263133303323
ACH-000098,-0.12664549552047324
ACH-000099,-0.3094985599673078
ACH-000108,-0.17214392348043925
ACH-000113,-0.19908180073508094
ACH-000116,-0.21238008853388524
ACH-000118,-0.09925822927657174
ACH-000120,-0.1907422443118355
ACH-000123,-0.2506938685033441
ACH-000127,-0.23036053488009914
ACH-000128,-0.30034587868331164
ACH-000132,-0.21750689643304724
ACH-000133,-0.13933641430099208
ACH-000137,-0.2630711275795323
ACH-000138,-0.2560883807895357
ACH-000142,-0.11020567707182648
ACH-000143,-0.14293132017770666
ACH-000146,-0.261906548769888
ACH-000148,-0.2732775284193173
ACH-000150,-0.3741043446634664
ACH-000152,-0.1482314077945527
ACH-000153,-0.3226233854652789
ACH-000159,-0.18997904448857464
ACH-000160,-0.15789201113531864
ACH-000163,-0.1798162737713778
ACH-000167,-0.5624138279066017
ACH-000168,-0.2281057012841315
ACH-000169,-0.1643224568186313
ACH-000178,-0.3010129828393043
ACH-000183,-0.22203217627977745
ACH-000188,-0.11429475454926045
ACH-000189,-0.007818038430564027
ACH-000190,-0.13630736721322764
ACH-000198,-0.3990671802108371
ACH-000203,-0.12376058197318646
ACH-000204,-0.21743042670807536
ACH-000206,-0.3506478052040529
ACH-000207,-0.15717645837255095
ACH-000208,-0.1889207759060597
ACH-000210,-0.033276483971454045
ACH-000211,-0.227989604096101
ACH-000215,-0.1278223617909487
