,PTPRB (5787)
ACH-000004,-0.10968680700171576
ACH-000005,-0.2168730668066712
ACH-000007,0.01347245318606958
ACH-000009,-0.031163017999522494
ACH-000011,-0.19042904803912405
ACH-000012,0.038766042523383296
ACH-000013,-0.023245975369459444
ACH-000014,-0.017972548694915363
ACH-000015,-0.15399058909251728
ACH-000017,-0.11659118807244878
ACH-000018,-0.03158455196699318
ACH-000019,-0.05562813757124701
ACH-000021,-0.16579601907157185
ACH-000022,0.051193004485907134
ACH-000025,-0.2719877110718053
ACH-000028,-0.048888249853710763
ACH-000030,0.022609786565140958
ACH-000035,-0.15232457143779035
ACH-000036,0.024747599469858626
ACH-000037,-0.039632495986315366
ACH-000039,0.06117413638294077
ACH-000040,-0.1659479258432626
ACH-000041,-0.14321450013465445
ACH-000042,-0.0903791003395782
ACH-000045,0.14418360953149031
ACH-000047,0.09894557556377226
ACH-000052,-0.15743707747802405
ACH-000053,0.00013974583257876506
ACH-000054,-0.14880864469306934
ACH-000055,-0.043884933915362606
ACH-000060,0.06840444160246575
ACH-000067,-0.2167582331258404
ACH-000070,-0.020165511620438368
ACH-000075,-0.012497318200735888
ACH-000078,0.014295502503303002
ACH-000082,0.07015339117891363
ACH-000085,-0.2191294037640375
ACH-000086,-0.08380571371125181
ACH-000087,0.06662561769735591
ACH-000092,-0.027122336806928958
ACH-000095,-0.1491086766123587
ACH-000097,-0.12826618263839526
ACH-000098,-0.1019997971597964
ACH-000099,-0.1027166724822698
ACH-000108,0.046986877528322375
ACH-000113,-0.02909384271996528
ACH-000116,-0.05045766769295901
ACH-000118,-0.12208450128155968
ACH-000120,0.059878726594171684
ACH-000123,-0.007234194511420652
ACH-000127,-0.07865665128543166
ACH-000128,-0.1042176310201358
ACH-000132,0.003352494935260343
ACH-000133,-0.16976404985794072
ACH-000137,0.05990095191019766
ACH-000138,0.07387687730816385
ACH-000142,0.04562304072381339
ACH-000143,-0.039513596460180274
ACH-000146,-0.05928843159156257
ACH-000148,0.03683541252485315
ACH-000150,-0.3020930623981964
ACH-000152,-0.12978791423810607
ACH-000153,0.08104958218364677
ACH-000159,-0.1430840637678535
ACH-000160,-0.11890580277944315
ACH-000163,-0.08281217122500523
ACH-000167,-0.15276695945155505
ACH-000168,0.1739077218827179
ACH-000169,-0.17282652799144804
ACH-000178,-0.10621624381454398
ACH-000183,0.01832826247128229
ACH-000188,0.11827368589581452
ACH-000189,-0.1313412823256092
ACH-000190,0.02560162011069176
ACH-000198,-0.011138290327120244
ACH-000203,-0.14560696380832416
ACH-000204,-0.1695458716821469
ACH-000206,-0.09341919710295572
