,ATPAF2 (91647)
ACH-000004,-0.2050178083572947
ACH-000005,-0.048656544618628735
ACH-000007,-0.15223185346699586
ACH-000009,-0.3900670595499943
ACH-000011,0.09438002976326736
ACH-000012,-0.15345319161181872
ACH-000013,-0.2970834015981269
ACH-000014,-0.16897855308181833
ACH-000015,-0.3580746752750202
ACH-000017,-0.1275453825094272
ACH-000018,-0.10049435116646582
ACH-000019,-0.2536197102080935
ACH-000021,-0.2089052983762642
ACH-000022,-0.40416378172661466
ACH-000025,-0.32195502048381136
ACH-000028,-0.05606899618005215
ACH-000030,-0.1810270542221516
ACH-000035,-0.2917640292038009
ACH-000036,0.17037484371955305
ACH-000037,-0.3485535246125049
ACH-000039,-0.10104146700337108
ACH-000040,-0.1029681597946725
ACH-000041,-0.20306332694556828
ACH-000042,-0.08611224101296819
ACH-000045,-0.4396183132627292
ACH-000047,-0.4274035038164253
ACH-000052,-0.3700905390339944
ACH-000053,-0.17266453443518498
ACH-000054,-0.11832874351532507
ACH-000055,-0.15092972327373466
ACH-000060,-0.2295128452287324
ACH-000067,-0.13579564374430314
ACH-000070,-0.2538540797533071
ACH-000075,-0.1270406358463166
ACH-000078,-0.1251769199887296
ACH-000082,-0.2413153390831192
ACH-000085,-0.13127230542702373
ACH-000086,-0.2315358027776823
ACH-000087,-0.4989647373749409
ACH-000092,-0.1322963675647605
ACH-000095,-0.00778329525572749
ACH-000097,-0.040959495810601286
ACH-000098,-0.1683294933195158
ACH-000099,-0.15892359505264386
ACH-000108,-0.0379019706827276
ACH-000113,-0.4690658519139071
ACH-000116,-0.057947360154334375
ACH-000118,-0.2817075116909013
ACH-000120,-0.11407186744670117
ACH-000123,-0.15729088759851412
ACH-000127,-0.4446493243376204
ACH-000128,-0.10201840138259928
ACH-000132,-0.26344411161624537
ACH-000133,-0.07263358597968536
ACH-000137,-0.1673245809272854
ACH-000138,-0.21779439967576336
ACH-000142,-0.2921834159208473
ACH-000143,-0.04310284713943265
ACH-000146,0.029895729579425108
ACH-000148,-0.2295311395710644
ACH-000150,-0.4075205594047535
ACH-000152,-0.2030140289938984
ACH-000153,-0.5225836259447623
ACH-000159,-0.08991704181291793
ACH-000160,-0.17497548212710348
ACH-000163,-0.1963687116051518
ACH-000167,-0.07414420486506569
ACH-000168,-0.11947821943743155
ACH-000169,-0.5863433947206481
ACH-000178,-0.08796175721151102
ACH-000183,-0.2440508465780106
ACH-000188,-0.1191311771552352
ACH-000189,-0.2276663696694541
ACH-000190,-0.04769422505067072
ACH-000198,-0.4261820743377655
ACH-000203,-0.15522156344125415
ACH-000204,-0.2602275834981681
ACH-000206,-0.022202882886353158
ACH-000207,-0.3776724010297216
ACH-000208,-0.21572219062438197
ACH-000210,-0.17588544404387527
ACH-000211,-0.1025577771882579
ACH-000215,-0.12318043698399182
ACH-000221,-0.18428936193764173
ACH-000222,-0.06411978337457312
ACH-000223,-0.18066762182107932
ACH-000226,-0.12748880597186638
ACH-000227,-0.13403022783626029
ACH-000228,-0.17979845550652934
ACH-000231,-0.1404258840704226
ACH-000232,-0.275528581406944
ACH-000233,-0.33745664435877537
ACH-000234,-0.2394510617119242
ACH-000235,-0.10821544048065193
ACH-000237,-0.16098058269159676
ACH-000238,-0.4488044346225684
ACH-000242,-0.012539209107217992
ACH-000243,-0.20796158354535105
ACH-000244,-0.2362345681458872
ACH-000246,-0.3167415020514999
ACH-000248,-0.25398529358825833
ACH-000250,-0.12932092891929242
ACH-000251,-0.10041860984625714
ACH-000252,-0.07165241459297016
ACH-000253,-0.02226659473992841
ACH-000255,-0.19790462875856835
ACH-000256,-0.2317154240849833
ACH-000257,-0.3603785330696195
ACH-000258,-0.2959130480346975
ACH-000259,-0.005473633149252783
ACH-000260,-0.16996050131946738
ACH-000261,-0.1706684958603412
ACH-000262,-0.3430066384051071
ACH-000263,-0.18281334657862106
ACH-000264,-0.12852566827333786
ACH-000265,-0.5009059569019149
ACH-000266,-0.12191259281139916
ACH-000272,-0.12761465998789928
ACH-000274,-0.21572669097094505
ACH-000277,-0.22088578868074826
ACH-000278,-0.18705406138574635
ACH-000279,-0.3479006178183694
ACH-000280,-0.2363743489085076
ACH-000281,-0.2515919541729078
ACH-000288,-0.4797728216915596
ACH-000291,-0.17067105730713594
ACH-000293,-0.2316819355706227
ACH-000294,-0.029485843542418094
ACH-000295,-0.20481703262808335
ACH-000296,-0.3982609940521659
ACH-000302,-0.1858971134837852
ACH-000304,-0.11526556452543125
ACH-000307,-0.05128596353284739
ACH-000308,-0.13099254805813962
ACH-000310,-0.08251973305924644
ACH-000311,-0.09675879205453597
ACH-000312,-0.23926484605861675
ACH-000315,-0.1112255232956875
ACH-000316,-0.2153293454018259
ACH-000317,-0.02705276665834284
ACH-000318,-0.2309162240269811
ACH-000319,-0.1699603983192249
ACH-000320,-0.07812487778659148
ACH-000322,-0.3939801884353832
ACH-000323,-0.2507515950794951
ACH-000324,-0.10710347425025836
ACH-000329,-0.13029341780744194
ACH-000330,-0.0436516516125748
ACH-000331,-0.2495026567063366
ACH-000332,-0.12296205596711775
ACH-000334,-0.09970980512239323
ACH-000335,0.038410607476827306
