,DLL4 (54567)
ACH-000004,-0.06464793465421012
ACH-000005,-0.18691053085000706
ACH-000007,0.12269967540191175
ACH-000009,-0.12585319451701166
ACH-000011,0.07749911180791849
ACH-000012,-0.10423237704600047
ACH-000013,0.00036192271016841077
ACH-000014,-0.10544829363002133
ACH-000015,0.017630335929774726
ACH-000017,-0.013315598541141012
ACH-000018,0.06387571521845703
ACH-000019,0.11470856852690417
ACH-000021,0.0568536850748769
ACH-000022,-0.058514741772150325
ACH-000025,-0.0873498646489229
ACH-000028,0.04960559111508354
ACH-000030,-0.06818190421986313
ACH-000035,0.004203890562232229
ACH-000036,0.0915718928673606
ACH-000037,-0.15474049819268873
ACH-000039,0.1522176210090369
ACH-000040,0.09617853703049704
ACH-000041,0.028848840009601036
ACH-000042,0.0398016027643459
ACH-000045,0.005240880528414765
ACH-000047,-0.021607795021337164
ACH-000052,-0.08146003878774342
ACH-000053,-0.0761327787353262
ACH-000054,0.03390850863963276
ACH-000055,-0.07400371652370229
ACH-000060,-0.00018213691990729891
ACH-000067,-0.12450831662696765
ACH-000070,0.15608492398863685
ACH-000075,-0.13236553899537504
ACH-000078,0.044729587427214966
ACH-000082,0.02331746661011484
ACH-000085,0.0334407241459398
ACH-000086,-0.09433359460982113
ACH-000087,0.05646693460341992
ACH-000092,-0.055042005245615484
ACH-000095,-0.001520188189617782
ACH-000097,-0.03424795968609837
ACH-000098,0.02830143225291666
ACH-000099,-0.0029828827522606536
ACH-000108,0.08281221199436169
ACH-000113,-0.046610945231701666
ACH-000116,-0.06057145759951036
ACH-000118,-0.01883856319017603
ACH-000120,-0.036987691818112484
ACH-000123,-0.021361449163101627
ACH-000127,-0.036238921344371434
ACH-000128,-0.1312411548110669
ACH-000132,-0.2543513923294561
ACH-000133,0.0382448548173041
ACH-000137,0.035615189039898215
ACH-000138,0.07031774452604428
ACH-000142,-0.09953658571247448
ACH-000143,0.0531337213391712
ACH-000146,-0.025184835226504877
ACH-000148,-0.05914590717457493
ACH-000150,-0.02860674110382569
ACH-000152,0.08355383825136731
ACH-000153,-0.01858182988553011
ACH-000159,0.03903698061314514
ACH-000160,-0.14323187723034328
ACH-000163,0.04783048885167707
ACH-000167,-0.4176560240456048
ACH-000168,0.01761307929949389
ACH-000169,-0.0036140192007862422
ACH-000178,-0.01781336284972608
ACH-000183,0.011421034129851114
ACH-000188,-0.11467418958299096
ACH-000189,-0.15114271391763884
ACH-000190,-0.008193246185812169
ACH-000198,-0.07573723377298187
ACH-000203,0.15043181485173984
ACH-000204,-0.03908991914617964
ACH-000206,-0.14948937862276915
ACH-000207,-0.026607882946799125
ACH-000208,0.021240728563088344
ACH-000210,0.380375376520892
ACH-000211,0.033893386610428525
ACH-000215,-0.009950667146510548
ACH-000221,-0.1448079724448072
ACH-000222,0.057951164501669185
ACH-000223,-0.13418903289432893
ACH-000226,-0.06574133927518949
ACH-000227,-0.20861144284190866
ACH-000228,-0.0406513976056475
ACH-000231,-0.07928238329129624
ACH-000232,0.09023774245635832
ACH-000233,-0.11146820069753137
ACH-000234,-0.18391513172085333
ACH-000235,-0.034029244047185374
ACH-000237,0.008948008375264677
ACH-000238,0.006749508206287554
ACH-000242,-0.34708622424948354
ACH-000243,-0.03792016793248358
ACH-000244,0.08782086517214732
ACH-000246,0.008183224259447291
ACH-000248,-0.061480046360849985
ACH-000250,-0.03615772962367249
ACH-000251,-0.0968195039468892
ACH-000252,-0.13766461774096606
ACH-000253,0.08195620232365433
ACH-000255,-0.07916488890718787
ACH-000256,-0.10771857743396301
ACH-000257,-0.16795934029078902
ACH-000258,-0.060021662626381575
ACH-000259,0.028119286828288514
ACH-000260,-0.053924673603332716
ACH-000261,-0.1166334570339637
ACH-000262,0.021485916986176357
ACH-000263,-0.03366497473388231
ACH-000264,-0.08861938015544027
ACH-000265,-0.0758958350636363
ACH-000266,-0.01692505165860149
ACH-000272,-0.12516071142939691
ACH-000274,-0.0595370349238089
ACH-000277,0.046537289317733335
ACH-000278,-0.017116134133004703
ACH-000279,-0.0503650772795592
ACH-000280,0.04357778051682498
ACH-000281,0.04382948342446732
ACH-000288,0.01137979173377312
ACH-000291,0.040883320894662865
ACH-000293,-0.001305364701966265
ACH-000294,-0.17214894233471098
ACH-000295,-0.04350258984533866
ACH-000296,0.08203275096876712
ACH-000302,-0.10857776632676604
ACH-000304,-0.300940262775096
ACH-000307,-0.20663024037322605
ACH-000308,0.009772005238933174
ACH-000310,-0.016117003629101054
ACH-000311,-0.01918263270986931
ACH-000312,0.03153650144459723
ACH-000315,-0.030563366335462867
ACH-000316,-0.02982395943521058
ACH-000317,0.07077069350769008
ACH-000318,-0.09976073398065048
ACH-000319,-0.04691706036284187
ACH-000320,-0.2575935238311293
ACH-000322,-0.09069629752207732
ACH-000323,0.1290043006609645
ACH-000324,0.024760818820608915
ACH-000329,0.05924517178270845
