,ANKIB1 (54467)
ACH-000252,-0.2260077530569661
ACH-000253,-0.1101473306696532
ACH-000255,-0.06443848259618938
ACH-000256,-0.14524393547068598
ACH-000257,-0.07936085865510813
ACH-000258,-0.17318843393489902
ACH-000259,-0.09967734761711124
ACH-000260,-0.1340262002204989
ACH-000261,-0.045108515660654415
ACH-000262,-0.08323584620814066
ACH-000263,-0.0604221637317169
ACH-000264,-0.0538072061975944
ACH-000265,-0.009810633095200859
ACH-000266,-0.09409541917228507
ACH-000272,0.0287666531383212
ACH-000274,-0.033009554081479514
ACH-000277,-0.07144808093145344
ACH-000278,-0.010368909537730085
ACH-000279,0.009033815016566162
ACH-000280,0.003997326312576922
ACH-000281,-0.022389257120645684
ACH-000288,-0.04507566041451133
ACH-000291,-0.1285023170844225
ACH-000293,-0.14346967986703107
ACH-000294,0.02123435771094166
ACH-000295,-0.13157084385429393
ACH-000296,0.09413689884741036
ACH-000302,-0.1166864813727619
ACH-000304,-0.1994692436049268
ACH-000307,-0.0014523927182869454
ACH-000308,-0.06533360744012551
ACH-000310,-0.10537248621129353
ACH-000311,-0.15264669146502233
ACH-000312,0.037343214054658236
ACH-000315,-0.2294983439117069
ACH-000316,-0.0005396498350131041
ACH-000317,0.056642977560931285
ACH-000318,-0.19732928866305932
ACH-000319,-0.09258533590486936
ACH-000320,-0.02603006634118991
ACH-000322,-0.0732947764387491
ACH-000323,-0.0737494133507267
ACH-000324,-0.08513479708431793
ACH-000329,0.01194692683487384
ACH-000330,-0.06627086642074516
ACH-000331,-0.1225796371526024
ACH-000332,-0.12928213923383286
ACH-000334,-0.2587906587401108
ACH-000335,-0.0644810848126572
ACH-000336,-0.2555511657650575
ACH-000337,-0.09006472333659749
ACH-000338,-0.2748380652636164
ACH-000339,-0.15086084465487462
ACH-000341,-0.0664945091618617
ACH-000348,-0.03433874548929418
ACH-000350,0.004492253342434732
ACH-000352,0.0078015176292638155
ACH-000356,-0.3690876084440233
ACH-000361,-0.11843131917071972
ACH-000362,-0.15690961441386844
ACH-000363,-0.04730181301738234
ACH-000364,-0.2948583387518636
ACH-000365,-0.13281705951876788
ACH-000366,-0.11786350334948098
ACH-000368,-0.10219563192216104
ACH-000374,-0.14146312907479547
ACH-000375,0.09732325322319267
ACH-000376,-0.13802455173117698
ACH-000381,-0.07322458227181268
ACH-000383,-0.5333874512923524
ACH-000387,-0.030956692241126082
ACH-000389,0.13761012216714566
ACH-000390,-0.051815438752976735
ACH-000393,0.053332133509697004
ACH-000395,-0.07841886749431848
ACH-000396,0.23780070395487285
ACH-000397,-0.08369925705262009
ACH-000401,-0.02148792655311196
ACH-000402,-0.06845831465404592
ACH-000403,-0.08503652701703833
ACH-000404,0.05080683471662538
ACH-000406,-0.0560417931682914
ACH-000407,-0.09613936601727313
ACH-000408,-0.16631409190302096
ACH-000410,-0.006658427996333965
ACH-000411,-0.09163699356811868
ACH-000414,-0.06486326699514168
ACH-000415,-0.22981886616801026
ACH-000416,-0.14471238107931866
ACH-000420,-0.01614714665606185
ACH-000421,-0.037870446775291146
ACH-000424,0.09186815152351488
ACH-000425,-0.08859166733109307
ACH-000426,-0.011755039870980477
ACH-000427,-0.09068553277072317
ACH-000433,-0.11207585328597744
ACH-000435,-0.3630424495077262
ACH-000436,-0.1183682038991213
ACH-000444,-0.0264394935889764
ACH-000445,-0.1563314002625435
ACH-000448,-0.00892759386737705
ACH-000450,0.03452332145570269
ACH-000452,-0.17803199188593855
ACH-000454,0.04479950824768287
ACH-000458,0.017650197427503355
ACH-000459,0.05693826513604296
ACH-000460,-0.1288623443885248
ACH-000461,-0.15665883556203491
ACH-000463,-0.0739671625775114
ACH-000464,-0.1875983777810229
ACH-000466,-0.06997395352889098
ACH-000467,-0.04230751981221617
ACH-000468,-0.12477090074470105
ACH-000469,-0.1340635516051845
ACH-000470,0.1668293329890384
ACH-000471,-0.09630292870920262
ACH-000472,-0.14455746456613144
ACH-000473,-0.07132790198535814
ACH-000475,-0.08584962731558385
ACH-000476,-0.11706479452995162
ACH-000477,0.11538372450463592
ACH-000479,-0.182215486437978
ACH-000480,-0.012545621675948958
ACH-000481,-0.1271646968272847
ACH-000483,-0.16081506569335913
ACH-000484,-0.06619849024151556
ACH-000485,-0.06073752874330221
ACH-000486,-0.03289165313184182
ACH-000487,0.07411054939274073
ACH-000488,-0.026270165248172345
ACH-000490,-0.03524115252061191
ACH-000491,0.07051409526860655
ACH-000495,-0.17942508697786036
ACH-000496,-0.06777795019061644
ACH-000499,0.1866450515092142
ACH-000500,0.08094707846962493
ACH-000502,-0.05110205842163565
ACH-000503,-0.14149311876334114
ACH-000505,-0.06372887872784401
ACH-000507,-0.025056981542808325
ACH-000510,-0.08139181973467881
ACH-000511,-0.0822927260466391
ACH-000512,0.08055991281999894
ACH-000516,-0.023834782833418663
ACH-000517,-0.053323130647486686
ACH-000518,-0.014314643745684297
ACH-000520,0.0006002267997442875
ACH-000521,-0.13083891688642155
ACH-000522,-0.19255542181701013
ACH-000524,-0.17599953781398753
ACH-000527,-0.008070325626986
ACH-000528,-0.0033885113718133838
ACH-000537,-0.048698508166126864
ACH-000541,-0.059793259505490935
ACH-000542,-0.09313606227400216
ACH-000544,-0.12916242304917755
ACH-000545,-0.1118977158470862
ACH-000547,-0.06656455550194358
ACH-000548,-0.0949110709766697
ACH-000549,-0.1881440186914771
ACH-000550,-0.22465729075573088
ACH-000552,-0.19811980262679435
ACH-000556,0.006094667757759347
ACH-000557,-0.04057150495185044
ACH-000569,-0.07601896446672309
ACH-000570,-0.13535751357547895
ACH-000571,0.039291138686741486
ACH-000573,0.043054761004788056
ACH-000576,0.218351279565969
ACH-000579,-0.0036103557792059524
ACH-000580,-0.17442989416266752
ACH-000584,-0.03280101716041812
ACH-000585,-0.05007491532412352
ACH-000588,-0.13800587261683706
ACH-000589,-0.043007227311709036
ACH-000591,-0.021761458462828467
ACH-000593,-0.052661609196163736
ACH-000600,-0.05953492707555924
ACH-000601,0.03317486490064491
ACH-000605,-0.1239625838636547
ACH-000606,-0.11524311045610484
ACH-000608,-0.06118654359111615
ACH-000614,-0.2569420156463091
ACH-000616,-0.3512237961057183
ACH-000618,-0.014584527714660416
ACH-000619,-0.3234143936001927
ACH-000620,0.013306999210008271
ACH-000621,-0.03064149871120752
ACH-000622,-0.13372382099459765
ACH-000623,-0.08498296123837147
ACH-000624,-0.10548974992989384
ACH-000627,-0.11620350982396108
ACH-000630,-0.10926972984922018
ACH-000631,-0.033847255793080025
ACH-000632,-0.08595493532960502
ACH-000633,-0.053809197556026984
ACH-000637,0.10133580861350587
ACH-000638,0.03144481459470254
ACH-000646,-0.07859045287242808
ACH-000647,0.05581577523871069
ACH-000648,0.15835331046019258
ACH-000649,-0.07136220947952608
ACH-000651,0.010790638546871921
ACH-000652,0.03541365106500262
ACH-000653,-0.1063902287163208
ACH-000657,-0.04390664902054321
ACH-000658,-0.07394925291492514
ACH-000661,-0.033446097831186905
ACH-000662,-0.2448263421251539
ACH-000663,0.012712373878643364
ACH-000665,-0.10818490292901507
ACH-000671,-0.05159355868078765
ACH-000672,0.07565469930452012
ACH-000673,-0.19212215661882828
ACH-000676,-0.14592583644567844
ACH-000677,0.07417485159724073
ACH-000681,-0.11255466004857194
ACH-000683,-0.056136833620374665
ACH-000684,-0.23360790840650766
ACH-000688,-0.12521762903819753
ACH-000693,0.034629884836736326
ACH-000694,-0.04158142085126424
ACH-000695,0.026365691069324942
ACH-000696,-0.056802875094782226
ACH-000697,-0.08703591010068562
ACH-000699,0.007319674438336135
ACH-000701,-0.07177190969805848
ACH-000706,-0.08977956819936113
ACH-000711,-0.06410267034748313
ACH-000713,-0.18022915508750756
ACH-000714,0.00035219560451403884
ACH-000718,-0.11809184657640533
ACH-000720,-0.07380989140501157
ACH-000721,-0.03442657673286336
ACH-000724,-0.18092699031297588
ACH-000725,-0.12448811184558985
ACH-000732,-0.17162201958615456
ACH-000734,-0.11125059067408592
ACH-000735,-0.10639893698074232
ACH-000736,-0.029439114966977417
ACH-000738,0.033593083089059984
ACH-000746,0.009661702209592476
ACH-000747,0.009508219728474996
ACH-000748,-0.07633084465869676
ACH-000753,-0.051430229705195216
ACH-000756,0.038970373455881516
ACH-000757,-0.06915850090209906
ACH-000758,-0.12071892101377735
ACH-000760,0.014259954916351144
ACH-000762,-0.06188017251502088
ACH-000763,-0.11184867290783572
ACH-000764,-0.011573915127926623
ACH-000765,-0.010473585578530448
ACH-000766,-0.0322333930636669
ACH-000767,-0.049844235518077616
ACH-000768,-0.07402678545180877
ACH-000769,-0.02615110464875407
ACH-000770,-0.11511368821481875
ACH-000771,-0.03855242764713903
ACH-000773,0.03148198121680481
ACH-000776,0.006079022325222636
ACH-000777,-0.02868448479599984
ACH-000778,0.09099101814458332
ACH-000781,-0.028769964898499718
ACH-000782,-0.0478491279345986
ACH-000783,0.03284010423577892
ACH-000784,-0.09546504446302087
ACH-000785,-0.024867146772045923
ACH-000787,-0.00030852966874762763
ACH-000788,-0.11960250584213833
ACH-000791,-0.1200019000303371
ACH-000792,-0.14014630523289404
ACH-000794,-0.07327068727847542
ACH-000796,-0.03406188311937567
ACH-000798,-0.09002892821702796
ACH-000799,0.02613738942958053
ACH-000800,-0.07801655869786922
ACH-000802,-0.06940948870822737
ACH-000804,0.12202061836334142
ACH-000805,-0.12591401657557835
ACH-000809,-0.11676806282723552
ACH-000810,-0.02264777198081525
ACH-000811,-0.05626068253198757
ACH-000817,-0.12096155669677215
ACH-000819,0.06911530436198966
ACH-000820,-0.15474572977103893
ACH-000821,-0.09759801233843217
ACH-000822,-0.061456755928888024
ACH-000823,-0.11374027613606374
ACH-000824,-0.021615302646826758
ACH-000827,-0.1250850614005624
ACH-000829,-0.2524946464974795
ACH-000831,-0.03539090392540351
ACH-000832,-0.15594612258651488
ACH-000833,-0.039388713370943004
ACH-000834,-0.027645443614033774
ACH-000835,-0.18266273006386052
ACH-000836,-0.09563076338419199
ACH-000837,-0.02002856705321556
ACH-000838,-0.007017853675508811
ACH-000839,-0.04131279362202631
ACH-000840,-0.33799585845050983
ACH-000841,-0.13734666249561012
ACH-000843,0.0664286011427078
ACH-000846,-0.11723330967889532
ACH-000847,-0.18433206932314994
ACH-000848,-0.012353184030974693
ACH-000849,-0.03947713084546006
ACH-000851,-0.1113214447395224
ACH-000855,-0.08355772148523465
ACH-000856,-0.0909216348300713
ACH-000858,0.013594784382928979
ACH-000859,0.15804213386618804
ACH-000861,0.013841833590436434
ACH-000862,-0.006247398547384233
ACH-000865,-0.035868098226506384
ACH-000866,-0.026610481372313442
ACH-000867,-0.07962773471761317
ACH-000869,-0.12738787250292832
ACH-000872,-0.0029249610750999625
ACH-000873,0.01656731270989068
ACH-000876,-0.02795173069905036
ACH-000878,0.005097252904837068
ACH-000880,0.024783461294622618
ACH-000881,-0.006979654198640688
ACH-000882,-0.03312005945473846
ACH-000884,-0.04232014298268752
ACH-000885,-0.023198931445968903
ACH-000887,-0.03272480551007871
ACH-000889,-0.15707278530519142
ACH-000896,-0.10972641339414184
ACH-000898,-0.3257082507194614
ACH-000900,0.09424502109837654
ACH-000901,-0.03985022086055125
ACH-000905,-0.08857107770667959
ACH-000906,-0.07887939543441765
ACH-000907,-0.14606171301095006
ACH-000910,0.02000251965880876
ACH-000911,-0.12804824617408447
ACH-000912,-0.0419856892092375
ACH-000913,-0.04439995391565366
ACH-000915,0.012671995778356879
ACH-000916,-0.027390859451789373
ACH-000917,-0.016837962154324853
ACH-000920,-0.23869571971606404
ACH-000921,-0.1542541873361342
ACH-000924,-0.033304383082359536
ACH-000926,-0.047973346017694665
ACH-000928,0.113382711377166
ACH-000929,0.0581917865755535
ACH-000932,0.05106775389998999
ACH-000935,-0.2741229582065237
ACH-000936,-0.09783955347112824
ACH-000937,0.004761654570033973
ACH-000938,-0.023027129485725883
ACH-000939,-0.07157473795638793
ACH-000941,-0.047592301701071836
ACH-000943,-0.003148978506797648
ACH-000946,-0.12029663386864725
ACH-000947,-0.07263914419922464
ACH-000948,-0.042003499118277735
ACH-000950,-0.19587084597425564
ACH-000953,0.0244622313427133
ACH-000954,0.053241160872442586
ACH-000957,-0.057121469688202885
ACH-000958,-0.020416574247392315
ACH-000960,-0.08522584119634449
ACH-000963,0.043633930789835566
ACH-000968,-0.07036988050937029
ACH-000969,-0.07129701809652743
ACH-000972,-0.21551636089470305
ACH-000973,-0.11324654488346288
ACH-000974,-0.121799577987187
ACH-000978,-0.05924564439815797
ACH-000984,0.05235111999410107
ACH-000986,-0.08058912228056524
ACH-000988,-0.13305000708011985
ACH-000993,-0.01974018370566725
ACH-000994,-0.1258374309845508
ACH-000996,-0.040782046115978486
ACH-001001,-0.044910263965888736
ACH-001020,-0.0515604089863181
ACH-001028,-0.0348403687742516
ACH-001031,-0.0970641525440422
ACH-001038,-0.011539293580550924
ACH-001048,-0.07089973950814356
ACH-001050,-0.08541076140887631
ACH-001053,-0.038457115880631984
ACH-001054,0.012225085613819018
ACH-001061,0.019326175580699937
ACH-001067,-0.07755845163468074
ACH-001075,-0.12802397995446516
ACH-001096,-0.006922817088052381
ACH-001111,-0.12691272594809602
ACH-001119,-0.07260881556902357
ACH-001128,-0.06090731892170145
ACH-001134,-0.0019040176317980813
ACH-001151,-0.12579848378292047
ACH-001163,-0.19213461603147866
ACH-001164,-0.04881427041416077
ACH-001183,-0.112712090608344
ACH-001192,-0.2257318010178573
ACH-001193,-0.008620448013420445
ACH-001196,-0.04569720398668567
ACH-001197,0.030521793344021275
ACH-001205,-0.057236101992795226
ACH-001211,-0.10613603175525553
ACH-001212,0.19544220316114655
ACH-001228,-0.10803714566552504
ACH-001232,-0.06393600905929865
ACH-001239,-0.10003752899108186
ACH-001270,-0.10479409295067972
ACH-001274,-0.04564277769922373
ACH-001275,-0.0908193697167236
ACH-001277,0.007658834814269528
ACH-001278,-0.10960899513325316
ACH-001280,0.06296181311538011
ACH-001283,0.2019392425156732
ACH-001289,0.002747871058109993
ACH-001300,-0.056685994474519975
ACH-001301,-0.10372189757860578
ACH-001302,0.019872276215168492
ACH-001306,-0.12026723436790507
ACH-001318,0.04764971968458534
ACH-001322,-0.02827658751660065
ACH-001328,0.0397241810904962
ACH-001332,-0.1909889953842812
ACH-001336,0.011211430528544272
ACH-001346,-0.15441239901241488
ACH-001353,-0.049134824816896204
ACH-001354,-0.1296531237503167
ACH-001367,-0.13775979824659462
ACH-001368,-0.06830412412002322
ACH-001374,-0.06404191916802753
ACH-001377,-0.04392796792772657
ACH-001380,0.0017604964020862452
ACH-001391,-0.055870527179691584
ACH-001408,0.0253945920939773
ACH-001430,-0.10874066459738388
ACH-001431,0.02028853966108413
ACH-001450,-0.024159931786336474
ACH-001496,-0.15850102754076906
ACH-001500,-0.1046887138964186
ACH-001523,-0.1806108255034903
ACH-001532,-0.09790085531300388
ACH-001550,-0.10927472522509993
ACH-001552,-0.08484979719944723
ACH-001554,-0.07838405230767055
ACH-001654,-0.0557398864643411
ACH-001735,-0.12688001421886985
ACH-001736,-0.019221110723575737
ACH-001737,-0.28494461106959346
ACH-001740,-0.08429898545485384
ACH-001745,-0.04453780758732298
ACH-001765,-0.08486774760284016
