,EPS8L2 (64787)
ACH-000004,0.046130797682532566
ACH-000005,-0.05105574366427075
ACH-000007,-0.16340432997748552
ACH-000009,-0.18241266782627485
ACH-000011,-0.023624237795171952
ACH-000012,-0.09884547199680684
ACH-000013,-0.017246475832785896
ACH-000014,-0.0412972346611284
ACH-000015,-0.05220721737037025
ACH-000017,-0.1517326225554124
ACH-000018,-0.3985452280267651
ACH-000019,-0.04644443777299634
ACH-000021,-0.08719973447983467
ACH-000022,0.0227506678152058
ACH-000025,-0.09558997078123738
ACH-000028,-0.0670139493722536
ACH-000030,-0.09939364030081577
ACH-000035,-0.048362320599385465
ACH-000036,-0.20076646781596608
ACH-000037,-0.06316063713073082
ACH-000039,0.08534658150045772
ACH-000040,-0.016067754160865096
ACH-000041,-0.17133513060748462
ACH-000042,-0.09348692628716458
ACH-000045,0.012872642345925077
ACH-000047,0.02907997985081218
ACH-000052,0.094319901613899
ACH-000053,-0.05929323274381323
ACH-000054,0.0004204174026352905
ACH-000055,-0.2034186975636971
ACH-000060,-0.04902094671999704
ACH-000067,-0.19615615895537186
ACH-000070,-0.08889704997159313
ACH-000075,0.06675161204735112
ACH-000078,-0.14235950017634147
ACH-000082,-0.01497243030158995
ACH-000085,-0.04815526821710639
ACH-000086,-0.030034575286397032
ACH-000087,-0.046033885786387854
ACH-000092,-0.032407346670362616
ACH-000095,-0.02756129928793051
ACH-000097,-0.041370541956440285
ACH-000098,-0.0369718036731588
ACH-000099,-0.14000902657901926
ACH-000108,-0.16124383137977447
ACH-000113,-0.039658798663770416
ACH-000116,-0.04667671040319071
ACH-000118,-0.1261545199411412
ACH-000120,0.01807819041617535
ACH-000123,-0.013697845692584806
ACH-000127,-0.08843200512994864
ACH-000128,-0.09541345794272034
ACH-000132,-0.14715868978426724
ACH-000133,-0.08734714298667742
ACH-000137,-0.04294837469174459
ACH-000138,-0.1919194347529785
ACH-000142,-0.14237325644577614
ACH-000143,-0.2420895014921295
ACH-000146,-0.13388268997393615
ACH-000148,-0.19638782725040216
ACH-000150,-0.17913861361016722
ACH-000152,0.012540939947872351
ACH-000153,-0.11636747286782753
ACH-000159,-0.05723007857216489
ACH-000160,-0.032167197144484364
ACH-000163,-0.1778853528694026
ACH-000167,-0.38472201068798617
ACH-000168,0.01064848989113887
ACH-000169,-0.08200233745940283
ACH-000178,-0.021759154115323108
ACH-000183,-0.101078035363417
ACH-000188,-0.0033682632790156897
ACH-000189,-0.007330795178968897
ACH-000190,0.11406390912995586
ACH-000198,-0.005671039827339657
ACH-000203,-0.1633516202540049
ACH-000204,0.10839493087023984
ACH-000206,-0.3469860962529686
ACH-000207,-0.028568033995207607
ACH-000208,-0.08754848820590473
ACH-000210,-0.21936491643920636
ACH-000211,-0.05361752139686809
ACH-000215,-0.12060738899550325
ACH-000221,0.17369256981972755
ACH-000222,-0.2036327518211992
ACH-000223,-0.05809581516638687
ACH-000226,0.02102943829180646
ACH-000227,-0.07865209703112197
ACH-000228,-0.04818768445073216
ACH-000231,-0.057149767595506114
ACH-000232,-0.016522770216685127
ACH-000233,-0.046179394329244935
ACH-000234,-0.12380853445794822
ACH-000235,-0.2066450925731893
ACH-000237,-0.22498153996080628
ACH-000238,-0.10105428107315706
ACH-000242,0.04201889925517717
ACH-000243,-0.007882286350782319
ACH-000244,-0.18514466614579544
ACH-000246,-0.0843961204425623
ACH-000248,-0.007156153334540626
ACH-000250,-0.11715602846223648
ACH-000251,-0.08015470382136752
ACH-000252,-0.1627240732777017
ACH-000253,-0.12031471572188494
ACH-000255,0.04635185210530037
ACH-000256,0.004368677290834746
ACH-000257,-0.10004651183996648
ACH-000258,-0.0803656477497017
ACH-000259,-0.013084885381269402
ACH-000260,-0.10392520871980077
ACH-000261,-0.06792531382702552
ACH-000262,-0.004398670822593937
ACH-000263,0.0872634716375419
ACH-000264,-0.11633583507368693
ACH-000265,-0.0162571475659314
ACH-000266,-0.11387615544518362
ACH-000272,0.0005544372219697763
ACH-000274,-0.09769232223238862
ACH-000277,-0.166727192668069
ACH-000278,-0.06403141065505505
ACH-000279,-0.06875516596796907
ACH-000280,-0.1684561279370547
ACH-000281,-0.13701068806375205
ACH-000288,-0.07821835580404897
ACH-000291,-0.047829075344693016
ACH-000293,-0.03812991221494673
ACH-000294,-0.0344079161137471
ACH-000295,-0.06260256310375044
ACH-000296,-0.10610289273444312
ACH-000302,-0.01890881742179909
ACH-000304,-0.09825873300437396
ACH-000307,-0.13417328945500095
ACH-000308,-0.049201614775624083
ACH-000310,-0.20718859627491926
ACH-000311,-0.08017709721200195
ACH-000312,0.009726937971740995
ACH-000315,-0.18043227755097346
ACH-000316,-0.10365480630503048
ACH-000317,-0.0007906999185505817
ACH-000318,0.12034743359571196
ACH-000319,-0.10680596293473983
ACH-000320,-0.04302378971581197
ACH-000322,0.04740362775522343
ACH-000323,-0.055595090742193
ACH-000324,-0.1052347742616545
