,ARMC7 (79637)
ACH-000004,-0.9951035130614092
ACH-000005,-1.363656305716224
ACH-000007,-0.9812163922468984
ACH-000009,-0.8779451894773136
ACH-000011,-1.1020568814732528
ACH-000012,-1.217949566508474
ACH-000013,-1.2739161325015802
ACH-000014,-1.100964503823609
ACH-000015,-1.0651115429824871
ACH-000017,-0.9119144643636384
ACH-000018,-0.8421866955929601
ACH-000019,-0.9523153038404928
ACH-000021,-0.8706395052048276
ACH-000022,-0.8363448066996364
ACH-000025,-1.087865192444116
ACH-000028,-1.1502002209674855
ACH-000030,-1.1973480028992405
ACH-000035,-1.2625622395881393
ACH-000036,-1.0375359436752825
ACH-000037,-0.8177447546799045
ACH-000039,-1.0686703286047299
ACH-000040,-1.1722136245039902
ACH-000041,-1.270967411975341
ACH-000042,-1.2511007508346899
ACH-000045,-0.9390130458490776
ACH-000047,-1.3337885794687332
ACH-000052,-1.202961463803693
ACH-000053,-0.9986846218812182
ACH-000054,-0.8411443919021401
ACH-000055,-0.9852501789006884
ACH-000060,-1.255632650699631
ACH-000067,-1.36217166554314
ACH-000070,-1.1162414382114298
ACH-000075,-1.0080912118199756
ACH-000078,-0.7036508765757238
ACH-000082,-1.2641397721535308
ACH-000085,-1.348532173117412
ACH-000086,-0.8484875306211487
ACH-000087,-1.5096425380894822
ACH-000092,-0.8965825569292024
ACH-000095,-0.9060240837015614
ACH-000097,-0.9878788095435921
ACH-000098,-1.11664217154307
ACH-000099,-0.7463822936982678
ACH-000108,-1.1609317316866286
ACH-000113,-0.937559033394794
ACH-000116,-1.2897348025156825
ACH-000118,-1.2681229915018621
ACH-000120,-0.8664676288978933
ACH-000123,-1.1929827096117909
ACH-000127,-0.9040581935020592
ACH-000128,-1.0407099082820428
ACH-000132,-0.7298557001489624
ACH-000133,-1.1404950410340011
ACH-000137,-1.3197049403970371
ACH-000138,-0.9279027756320803
ACH-000142,-1.152680534216268
ACH-000143,-1.0804280322517357
ACH-000146,-1.0870950583467518
ACH-000148,-1.5010293083153334
ACH-000150,-1.2287160457512338
ACH-000152,-0.8846085375488517
ACH-000153,-1.6167024890578747
ACH-000159,-1.0103209718808874
ACH-000160,-1.3280197263417093
ACH-000163,-1.1140608940546357
ACH-000167,-1.2327616259889664
ACH-000168,-1.0488671134473004
ACH-000169,-1.1345547728085472
ACH-000178,-1.0926240432284562
ACH-000183,-1.1369393657563245
ACH-000188,-1.1795811730652
ACH-000189,-1.1949924706659454
ACH-000190,-1.207648026153426
ACH-000198,-0.9037752886938862
ACH-000203,-0.8726726033823393
ACH-000204,-0.8959331910931686
ACH-000206,-1.0357514837273942
ACH-000207,-0.7391283445686581
ACH-000208,-1.2362392626524208
ACH-000210,-1.12430689980979
ACH-000211,-1.3131168271014495
ACH-000215,-1.042460116408621
ACH-000221,-1.160179223029441
ACH-000222,-1.0275927172506274
ACH-000223,-0.7411587893272749
ACH-000226,-0.980019446298026
ACH-000227,-0.9126024126214094
ACH-000228,-1.0360375607725458
ACH-000231,-1.1440762957900945
ACH-000232,-1.0745124446462453
ACH-000233,-1.1195575662329151
ACH-000234,-1.1370609743075477
ACH-000235,-0.7672216557245293
ACH-000237,-1.3074849308279766
ACH-000238,-0.9979402872036662
ACH-000242,-0.6879224015602892
ACH-000243,-1.2712255545502014
ACH-000244,-1.142026476407922
ACH-000246,-1.1029576676855837
ACH-000248,-0.9622381294345156
ACH-000250,-1.1295221189303706
ACH-000251,-1.3251691454017085
ACH-000252,-1.4499690250465895
ACH-000253,-0.9313266483471062
ACH-000255,-1.2494151567787428
ACH-000256,-0.7775692676232325
ACH-000257,-0.8117916919486003
ACH-000258,-0.43977731630409744
ACH-000259,-0.986435883747662
ACH-000260,-1.040047701481175
ACH-000261,-1.2090377402148595
