,PI4K2A (55361)
ACH-000004,-0.12324591755936665
ACH-000005,-0.2760945395088455
ACH-000007,-0.1254969889323109
ACH-000009,-0.0694546601606998
ACH-000011,-0.07712322854456229
ACH-000012,-0.10723516744201772
ACH-000013,-0.194547947866088
ACH-000014,-0.08844666296794393
ACH-000015,-0.08106087082594456
ACH-000017,-0.037921193084380585
ACH-000018,-0.0812560604594033
ACH-000019,-0.2197012784859853
ACH-000021,-0.05201468678966182
ACH-000022,-0.019943605183086657
ACH-000025,-0.12350057647511385
ACH-000028,-0.1652005698576691
ACH-000030,-0.1350714870529168
ACH-000035,-0.10853532248550972
ACH-000036,-0.06665708869171387
ACH-000037,-0.210025124605673
ACH-000039,-0.08615543286142427
ACH-000040,-0.056679354337662996
ACH-000041,-0.17583398256966865
ACH-000042,-0.19225668266069765
ACH-000045,-0.1410799337290722
ACH-000047,-0.06016119425584214
ACH-000052,-0.28297378545662605
ACH-000053,-0.07919554260054072
ACH-000054,-0.11643302950786695
ACH-000055,-0.2805221323771185
ACH-000060,-0.10162137678411136
ACH-000067,-0.2999617869903116
ACH-000070,0.014702444187467254
ACH-000075,-0.058274145645917326
ACH-000078,-0.055145479478547726
ACH-000082,-0.08134811002462106
ACH-000085,-0.2648333259874711
ACH-000086,-0.22381514295052385
ACH-000087,0.02357591551356881
ACH-000092,-0.15149805837312602
ACH-000095,-0.1550405212713675
ACH-000097,-0.05611361053470572
ACH-000098,-0.1391767386481825
ACH-000099,-0.1009024482006848
ACH-000108,-0.08648934428631673
ACH-000113,-0.14507100654675106
ACH-000116,-0.1098017315245229
ACH-000118,-0.14852382193852715
ACH-000120,-0.03661524817594238
ACH-000123,-0.0884908324876542
ACH-000127,-0.3192497764377241
ACH-000128,-0.022960404410454598
ACH-000132,-0.17703557625599528
ACH-000133,-0.18631695856043215
ACH-000137,-0.12181130541157095
ACH-000138,-0.05368765956244628
ACH-000142,-0.0065009366202851675
ACH-000143,-0.058198971972601175
ACH-000146,-0.13204553598855642
ACH-000148,-0.2399707408785129
ACH-000150,-0.1266503251444596
ACH-000152,-0.11554211581528764
ACH-000153,0.0501713370952698
ACH-000159,-0.16877044234930194
ACH-000160,-0.11482836575329455
ACH-000163,-0.09793262101550088
ACH-000167,-0.15026577831574012
ACH-000168,-0.1994391889237652
ACH-000169,-0.14018548268711253
ACH-000178,-0.17002510733484366
ACH-000183,-0.1462259954080559
ACH-000188,-0.22640585318290515
ACH-000189,-0.15524245473070492
ACH-000190,-0.20112947703115835
ACH-000198,-0.05847094013697592
ACH-000203,0.2949608827764266
ACH-000204,-0.1035657007425102
ACH-000206,-0.1921333500442415
