,KRAS (3845)
ACH-000004,-0.2472901828194848
ACH-000005,-0.602083980634083
ACH-000007,-1.0651079582758691
ACH-000009,-0.7890355377507828
ACH-000011,-0.021947096582723303
ACH-000012,-0.06389510052828347
ACH-000013,-0.1996011411642737
ACH-000014,-0.2945863906527711
ACH-000015,-0.28490657403913355
ACH-000017,-0.4312784981784785
ACH-000018,-0.4818571755241282
ACH-000019,-0.21673341106626945
ACH-000021,-0.18099877686194546
ACH-000022,-1.2337676264870483
ACH-000025,-0.3726635820566624
ACH-000028,-0.12896545074640836
ACH-000030,0.01352510492398598
ACH-000035,-0.3427287710637418
ACH-000036,-0.4806444594689443
ACH-000037,-0.3544123542959326
ACH-000039,-0.12928955880092588
ACH-000040,-0.2700800392802579
ACH-000041,-0.3413154477505475
ACH-000042,-1.2345618295377097
ACH-000045,-0.4346154752804688
ACH-000047,-0.2130903342043597
ACH-000052,-0.3695242534432616
ACH-000053,-0.14543889448624006
ACH-000054,-0.35624349157405816
ACH-000055,-0.2746991912466146
ACH-000060,-1.1292959823939333
ACH-000067,-0.37351181241317866
ACH-000070,-0.36469644706740345
ACH-000075,-0.4442723530212077
ACH-000078,-0.1943483432183338
ACH-000082,-0.3295599331585668
ACH-000085,-0.6423871472069762
ACH-000086,-0.2649555882325081
ACH-000087,-0.30873370414567797
ACH-000092,-0.2507398843983892
ACH-000095,-0.24563692362867096
ACH-000097,-0.748739494452405
ACH-000098,-0.212098410039491
ACH-000099,-0.5067271507204922
ACH-000108,-0.5933004458181588
ACH-000113,-0.21971484421988216
ACH-000116,-0.3979259494811521
ACH-000118,-0.09894222135865063
ACH-000120,-0.24581619152808665
ACH-000123,-0.07912923297978773
ACH-000127,-0.28197810843409143
ACH-000128,-0.3245469736665633
ACH-000132,-0.493666870680227
ACH-000133,-0.5543548971514364
ACH-000137,-0.3679021951032531
ACH-000138,-0.9157572386788616
ACH-000142,-0.3903322182675304
ACH-000143,-0.4529436263170045
ACH-000146,-0.2784124020218697
ACH-000148,-0.3314037750466095
ACH-000150,-0.13994347366854645
ACH-000152,-0.2506106930289249
ACH-000153,-0.5702926834826103
ACH-000159,-0.13598855787544842
ACH-000160,-0.4205903827484634
ACH-000163,-1.055213702140041
ACH-000167,-0.5450078508531687
ACH-000168,-0.8598926596678813
ACH-000169,-0.22064000476395007
ACH-000178,-0.9368142477622812
ACH-000183,-0.2360582531312955
ACH-000188,-0.08699591365397172
ACH-000189,-0.15336731732897071
ACH-000190,-0.3211749172868865
ACH-000198,-0.6008014676647443
ACH-000203,-1.1618275940429954
ACH-000204,-0.06033783755233271
ACH-000206,-0.30991363304980235
ACH-000207,-0.5607679883929921
ACH-000208,-0.0999311910335802
ACH-000210,-0.4350180383231196
ACH-000211,-0.2111832478944149
ACH-000215,-0.261887846660592
ACH-000221,-0.7854819525874185
ACH-000222,-0.7066544913136418
ACH-000223,-0.18487484185591535
ACH-000226,-0.19089690981186386
ACH-000227,-0.1175182538499006
ACH-000228,-0.3437545913256764
ACH-000231,-0.4329181870138312
ACH-000232,-0.3130269919987633
ACH-000233,-0.1805477588160881
ACH-000234,-0.3567000121002203
ACH-000235,-1.1661767422844604
ACH-000237,-0.27510667976243713
ACH-000238,-0.5004706726713488
ACH-000242,-0.7738962578540103
ACH-000243,-0.7922813442714679
ACH-000244,-0.4844407291081526
ACH-000246,-0.257820334850405
ACH-000248,-0.06662015172224421
ACH-000250,-0.30809201276234643
ACH-000251,-0.9362823674141052
ACH-000252,-0.6877237842129867
ACH-000253,-0.43141845372255794
ACH-000255,-0.27921621045672684
ACH-000256,-0.239429031617312
ACH-000257,-0.5812314022934814
ACH-000258,-0.33840780586073915
ACH-000259,-0.12399608338946724
