,MECR (51102)
ACH-000004,-0.23475741393127306
ACH-000005,0.0173167160017887
ACH-000007,0.08035299711317385
ACH-000009,-0.20035558947366705
ACH-000011,-0.12852621246168866
ACH-000012,-0.4341013092639216
ACH-000013,-0.27090571937451635
ACH-000014,-0.2942640390191218
ACH-000015,-0.13531527360245307
ACH-000017,-0.1297796291227774
ACH-000018,-0.3070788141064752
ACH-000019,-0.05312230459639699
ACH-000021,-0.0913743740496048
ACH-000022,-0.07302111704313825
ACH-000025,-0.6304211965264656
ACH-000028,-0.2624302727787846
ACH-000030,-0.04103835536399767
ACH-000035,-0.3156095281393275
ACH-000036,-0.219703027129536
ACH-000037,-0.2692388662483633
ACH-000039,-0.0017773403960479985
ACH-000040,-0.18832511626094955
ACH-000041,-0.11960724852147266
ACH-000042,-0.09706234305593092
ACH-000045,0.06399966795829552
ACH-000047,-0.019728951630255412
ACH-000052,-0.21712626363789148
ACH-000053,-0.08835274271916499
ACH-000054,-0.10560124997853293
ACH-000055,-0.15849504398110095
ACH-000060,-0.11015933496807093
ACH-000067,-0.0479555694260812
ACH-000070,-0.6385366741830744
ACH-000075,-0.2316100494579914
ACH-000078,-0.07059957847025969
ACH-000082,-0.17469421117184686
ACH-000085,-0.3078710301176857
ACH-000086,-0.24795075137348835
ACH-000087,-0.3624570901518481
ACH-000092,-0.33013135865640664
ACH-000095,0.04822439397037001
ACH-000097,-0.11704372053864533
ACH-000098,-0.2998778086002403
ACH-000099,-0.25250420183700395
ACH-000108,-0.06744306734880585
ACH-000113,-0.11498607841537885
ACH-000116,-0.0931030129892547
ACH-000118,-0.2741522529111154
ACH-000120,-0.1286822949592633
ACH-000123,-0.06851216232470597
ACH-000127,-0.2411664330622768
ACH-000128,-0.2257389182557906
ACH-000132,-0.1644048490455308
ACH-000133,-0.2696382513573848
ACH-000137,-0.2546752092287273
ACH-000138,-0.2652456487625757
ACH-000142,-0.2934957903574326
ACH-000143,-0.10575332056982736
ACH-000146,-0.07126954838393597
ACH-000148,-0.32316906817266106
ACH-000150,-0.3098787190789675
ACH-000152,-0.2012225061450504
ACH-000153,-0.2568862924869247
ACH-000159,-0.14925052980663595
ACH-000160,-0.0477266977692364
ACH-000163,-0.3661367013744332
ACH-000167,-0.2789069295910973
ACH-000168,-0.18959000021109249
ACH-000169,-0.2356612600954636
ACH-000178,-0.03335309232034051
ACH-000183,0.003773043950103497
ACH-000188,-0.3635281534584609
ACH-000189,-0.3156920139169771
ACH-000190,-0.40288507068168855
ACH-000198,-0.14945889018046601
ACH-000203,0.16510900363091335
ACH-000204,-0.16214452222258804
ACH-000206,0.07549260627456147
ACH-000207,-0.3272913494396791
ACH-000208,-0.2777510307117556
ACH-000210,-0.4456071299946476
ACH-000211,-0.0582430263153849
ACH-000215,-0.31341487122430545
ACH-000221,-0.5704961032672554
ACH-000222,-0.03839828899871616
ACH-000223,-0.1650763494730883
ACH-000226,0.13926119066128834
ACH-000227,-0.2804388554696076
ACH-000228,0.007539727869782695
ACH-000231,-0.2464023330166496
ACH-000232,-0.22750601925580474
ACH-000233,-0.007029363467002253
ACH-000234,-0.1780087004278911
ACH-000235,-0.11419252094517678
ACH-000237,-0.2869665407849553
ACH-000238,-0.3012654462410051
ACH-000242,0.0038187438197092665
ACH-000243,-0.07894103378568178
ACH-000244,-0.2790074858951471
ACH-000246,-0.1791019565409726
ACH-000248,-0.2130568548807508
ACH-000250,0.0018199969137723442
