,PSG8 (440533)
ACH-000004,-0.16879653907489522
ACH-000005,-0.24614920037364246
ACH-000007,-0.4955951917680967
ACH-000009,-0.21562836269772692
ACH-000011,-0.25583038328575386
ACH-000012,-0.11467037853904262
ACH-000013,-0.25112962543353284
ACH-000014,-0.18691848511204004
ACH-000015,-0.3911944326370693
ACH-000017,-0.2928793043135696
ACH-000018,-0.21896658849418466
ACH-000019,-0.377990710423872
ACH-000021,-0.4343912306089184
ACH-000022,-0.18293601081540986
ACH-000025,-0.1322212458363551
ACH-000028,-0.2437682216556167
ACH-000030,-0.2526104362124286
ACH-000035,-0.05781303246540771
ACH-000036,-0.3070380958711757
ACH-000037,-0.13642489765023924
ACH-000039,-0.2345641091326268
ACH-000040,-0.09274345920444406
ACH-000041,-0.16903248303943658
ACH-000042,-0.27147491635782506
ACH-000045,-0.1680714496132944
ACH-000047,-0.14688946006142867
ACH-000052,-0.18943505993243007
ACH-000053,-0.4066536305888196
ACH-000054,-0.3793913579401735
ACH-000055,-0.10313201854715916
ACH-000060,-0.022571869631060143
ACH-000067,-0.177889561357544
ACH-000070,-0.2567288739650002
ACH-000075,-0.12868161864809086
ACH-000078,-0.4339081572227309
ACH-000082,-0.13805802229537553
ACH-000085,-0.27271035619645595
ACH-000086,-0.23810696134019055
ACH-000087,-0.2568055402580957
ACH-000092,-0.14598127383380965
ACH-000095,-0.3762227222367944
ACH-000097,-0.3823178471796333
ACH-000098,-0.25081313119123955
ACH-000099,-0.324406360772834
ACH-000108,-0.1377247854966817
ACH-000113,-0.35143203608340823
ACH-000116,-0.1744914997069943
ACH-000118,-0.044521887659613686
ACH-000120,-0.2400937324492044
ACH-000123,-0.2402633596436861
ACH-000127,-0.26085630150747185
ACH-000128,-0.0891138990571863
ACH-000132,-0.07155769597906167
ACH-000133,-0.21800177205500446
ACH-000137,-0.3428454698233338
ACH-000138,-0.3636075019234832
ACH-000142,-0.38979288371999216
ACH-000143,-0.3152281261097805
ACH-000146,-0.41056722497064535
ACH-000148,-0.21847538783407586
ACH-000150,-0.22579771733808165
