,MT2A (4502)
ACH-000004,-0.6891749895790571
ACH-000005,-0.4918781804658212
ACH-000007,-0.3431739896552805
ACH-000009,-0.23245768672855666
ACH-000011,-0.4292402481516119
ACH-000012,-0.5791285590745442
ACH-000013,-0.2852271620968193
ACH-000014,-0.1926146915035304
ACH-000015,-0.15636489526485478
ACH-000017,-0.5024889271300157
ACH-000018,-0.26511872047681123
ACH-000019,-0.3600515278208764
ACH-000021,-0.3698102323474272
ACH-000022,-0.4225780467120145
ACH-000025,-0.4152613826905585
ACH-000028,-0.24759099108474056
ACH-000030,-0.3915556168699581
ACH-000035,-0.28070261210488306
ACH-000036,-0.4081116136588414
ACH-000037,-0.3990733274733053
ACH-000039,-0.5574862721496314
ACH-000040,-0.3297261702793816
ACH-000041,-0.44431297413099424
ACH-000042,-0.4035644053129136
ACH-000045,-0.5269332295570922
ACH-000047,-0.3198276725732142
ACH-000052,-0.2406349436900916
ACH-000053,-0.34808241062385603
ACH-000054,-0.5360317460721198
ACH-000055,-0.3752340416036885
ACH-000060,-0.4014817184328669
ACH-000067,-0.3818690264040197
ACH-000070,-0.4942893223371729
ACH-000075,-0.3071382476180895
ACH-000078,-0.4805263540744044
ACH-000082,-0.510462997197002
ACH-000085,-0.4492982721182453
ACH-000086,-0.30247636198059225
ACH-000087,-0.4189611025793008
ACH-000092,-0.4985865332764746
ACH-000095,-0.3944313894286737
ACH-000097,-0.6009794184592471
ACH-000098,-0.459387275536094
ACH-000099,-0.3872938865317673
ACH-000108,-0.2341276889773682
ACH-000113,-0.21198487908324049
ACH-000116,-0.451277421820533
ACH-000118,-0.37691207314589226
ACH-000120,-0.4083242879193377
ACH-000123,-0.17770661940854832
ACH-000127,-0.4061139624082743
ACH-000128,-0.33701097435643
ACH-000132,-0.5585825503301814
ACH-000133,-0.449836539864201
ACH-000137,-0.2706194119062738
ACH-000138,-0.2080364998835894
ACH-000142,-0.4375860216027727
ACH-000143,-0.4448154509581389
ACH-000146,-0.3591082595743376
ACH-000148,-0.34652176963253856
ACH-000150,-0.6981582049783304
ACH-000152,-0.5334408115225636
ACH-000153,-0.6107052477418573
ACH-000159,-0.4906442147660106
ACH-000160,-0.3383703216021558
ACH-000163,-0.3138092410414373
ACH-000167,-0.005251326675378238
ACH-000168,-0.3947875896074692
ACH-000169,-0.4240391097387287
ACH-000178,-0.3335217707312641
ACH-000183,-0.3589248396125012
ACH-000188,-0.2869886549077416
ACH-000189,-0.35009003916273085
ACH-000190,-0.24653256167342616
ACH-000198,-0.4163603064747985
ACH-000203,0.2738623984265363
ACH-000204,-0.6504067991586624
ACH-000206,-0.3725193407605599
ACH-000207,-0.4620506685432248
