,FMO1 (2326)
ACH-000004,0.01851428640772812
ACH-000005,-0.2960017930855865
ACH-000007,-0.13749818658744842
ACH-000009,-0.4575699774258606
ACH-000011,-0.3107867897042768
ACH-000012,-0.23444678432780625
ACH-000013,-0.3609539690602913
ACH-000014,-0.22193424482609125
ACH-000015,-0.2958778695236893
ACH-000017,-0.2720132340876982
ACH-000018,-0.3276130314072417
ACH-000019,-0.15008146996716445
ACH-000021,-0.25417481886540944
ACH-000022,-0.20757240011022646
ACH-000025,-0.29806184479695697
ACH-000028,-0.39760777558313376
ACH-000030,-0.19021122915530733
ACH-000035,-0.36917229057805706
ACH-000036,-0.3354282162913895
ACH-000037,-0.2673527810764074
ACH-000039,0.010688398393262171
ACH-000040,-0.30487587950234313
ACH-000041,-0.4613712402258031
ACH-000042,-0.3125918583812108
ACH-000045,-0.1022248627732604
ACH-000047,-0.3780813198512532
ACH-000052,-0.260631070868064
ACH-000053,-0.19231766605548065
ACH-000054,-0.3673424960282447
ACH-000055,-0.2850026566627412
ACH-000060,-0.20658803600374875
ACH-000067,-0.2840114823042352
ACH-000070,-0.3602983981067908
ACH-000075,-0.13285087895371392
ACH-000078,-0.17221775333990325
ACH-000082,-0.30016063457367625
ACH-000085,-0.20573057360975675
ACH-000086,-0.2762675223268399
ACH-000087,-0.2812417150349845
ACH-000092,-0.19781682240012505
ACH-000095,-0.25097695225773553
ACH-000097,-0.34505597274565786
ACH-000098,-0.2383765502025659
ACH-000099,-0.29309143024521417
ACH-000108,-0.09640539818342272
ACH-000113,-0.27538421210041264
ACH-000116,-0.4043261917669453
ACH-000118,-0.2509496065446288
ACH-000120,-0.3005093639315351
ACH-000123,-0.2386677784223005
ACH-000127,-0.2416838893693657
ACH-000128,-0.24791213820916386
ACH-000132,-0.5244288348713122
ACH-000133,-0.2524138542391604
ACH-000137,-0.3329207446110751
ACH-000138,-0.19479899635671905
ACH-000142,-0.07485483901258512
ACH-000143,-0.5037278194627739
ACH-000146,-0.08317888068830111
ACH-000148,-0.3609299289944636
ACH-000150,-0.34806845792460944
ACH-000152,-0.06846476092672306
ACH-000153,-0.21602790104859415
ACH-000159,-0.3055524765069997
ACH-000160,-0.20026200297117314
ACH-000163,-0.2501882237878005
ACH-000167,0.19293437275699998
ACH-000168,-0.2793289488790888
ACH-000169,-0.26208431939742005
ACH-000178,-0.2610092673368954
ACH-000183,-0.14880558115269052
ACH-000188,-0.07429265581218954
ACH-000189,-0.09095448420624312
ACH-000190,-0.26456246382037285
ACH-000198,-0.30558409390319485
ACH-000203,-0.3402127735099231
ACH-000204,-0.2680070824144936
ACH-000206,-0.2377282429805605
ACH-000207,-0.18325357323163055
ACH-000208,-0.5137571711183633
ACH-000210,-0.1295668915940839
ACH-000211,-0.4072539577252621
ACH-000215,-0.2533094645985258
ACH-000221,-0.2487844953657697
ACH-000222,-0.3183303737488434
ACH-000223,-0.4167815014164117
ACH-000226,-0.2105678730452526
ACH-000227,-0.3695276366926202
ACH-000228,-0.28967559888626904
ACH-000231,-0.22136082347514627
ACH-000232,-0.29289897222896843
ACH-000233,-0.29640151182552066
