,PDPK1 (5170)
ACH-000004,-0.22498251192217786
ACH-000005,-0.4555103928363252
ACH-000007,-0.6897516443273507
ACH-000009,-0.1553687794788705
ACH-000011,-0.4122801663088196
ACH-000012,-0.42371541330848655
ACH-000013,-0.6811805231304308
ACH-000014,-0.4429644045605064
ACH-000015,-0.4025991763769396
ACH-000017,-0.5442639007172463
ACH-000018,-0.6784796123774665
ACH-000019,-0.525759005835686
ACH-000021,-0.5517116017277299
ACH-000022,-0.4572419279163685
ACH-000025,-0.3798657467851824
ACH-000028,-0.2698600995682659
ACH-000030,-0.5680096030399759
ACH-000035,-0.3760206783172028
ACH-000036,-0.5604864601423711
ACH-000037,-0.3789160150108333
ACH-000039,-0.5321517946018745
ACH-000040,-0.41489735292237256
ACH-000041,-0.5698395972181821
ACH-000042,-0.25374156751287785
ACH-000045,-0.3379181534263458
ACH-000047,-0.5038300116037553
ACH-000052,-0.3917063705225182
ACH-000053,-0.7272175799114083
ACH-000054,-0.3539257244314549
ACH-000055,-0.27640916223423273
ACH-000060,-0.6322616578822926
ACH-000067,-0.5926209748274517
ACH-000070,-0.5209116836803301
ACH-000075,-0.5683534465758324
ACH-000078,-0.3360833212993123
ACH-000082,-0.4568975072015781
ACH-000085,-0.6636352996069544
ACH-000086,-0.3790052600912946
ACH-000087,-0.6865764360950194
ACH-000092,-0.49080996736620003
ACH-000095,-0.5135222141935859
ACH-000097,-0.7544920204872221
ACH-000098,-0.8158950828235159
ACH-000099,-0.4457566091137626
ACH-000108,-0.5733236419369767
ACH-000113,-0.42720658904859016
ACH-000116,-0.2852322776220179
ACH-000118,-0.5388949587311138
ACH-000120,-0.5340331890363601
ACH-000123,-0.3640884880645801
ACH-000127,-0.41069022076068185
ACH-000128,-0.5305613295002268
ACH-000132,-0.4892629646537068
ACH-000133,-0.5702084329806212
ACH-000137,-0.3076290264760513
ACH-000138,-0.5778569654288506
ACH-000142,-0.6887370069624645
ACH-000143,-0.5310149674878049
ACH-000146,-0.6024133188912906
ACH-000148,-0.5587424935109098
ACH-000150,-0.5746183493992255
ACH-000152,-0.5296479203493558
ACH-000153,-0.5573895882085058
ACH-000159,-0.4678850434794721
ACH-000160,-0.3352375132985516
ACH-000163,-0.49745735580583295
ACH-000167,-0.6111671146566535
ACH-000168,-0.431232812666599
ACH-000169,-0.5223763692056356
ACH-000178,-0.5188478555546879
ACH-000183,-0.6404854075438142
ACH-000188,-0.28270673519013184
ACH-000189,-0.4780612905651953
ACH-000190,-0.3537891460058729
ACH-000198,-0.486199638274585
ACH-000203,-0.5020226845568435
ACH-000204,-0.19351441322791152
ACH-000206,-0.2747220270040461
ACH-000207,-0.5615629718283209
ACH-000208,-0.4895792618446429
