,NUDT16L1 (84309)
ACH-000004,-0.0034572528067826924
ACH-000005,-0.25531109212842146
ACH-000007,-0.21332021503378087
ACH-000009,-0.18195612970230945
ACH-000011,-0.43771345916336457
ACH-000012,-0.2592980629601792
ACH-000013,-0.16789523647706867
ACH-000014,-0.13408867621958062
ACH-000015,-0.4273672324482451
ACH-000017,-0.12596733846398325
ACH-000018,-0.1741191502604319
ACH-000019,-0.22077704965213726
ACH-000021,-0.3168706316698437
ACH-000022,-0.2707396939567769
ACH-000025,-0.19923205757142
ACH-000028,-0.4763982560921984
ACH-000030,-0.11598078717233835
ACH-000035,-0.10772212840479677
ACH-000036,-0.425596606843234
ACH-000037,-0.2886947341459174
ACH-000039,-0.4440137287980805
ACH-000040,-0.3637329499476519
ACH-000041,-0.019457401691819424
ACH-000042,-0.3606805287575183
ACH-000045,-0.3897665886958424
ACH-000047,-0.25606919767179115
ACH-000052,-0.3322146060013532
ACH-000053,-0.1668600841514988
ACH-000054,-0.16553018182550358
ACH-000055,-0.45045304796220104
ACH-000060,-0.0735025595561431
ACH-000067,-0.2387727552929563
ACH-000070,-0.11629623214538863
ACH-000075,-0.09319091695569737
ACH-000078,-0.2072188254872522
ACH-000082,-0.3240179410840233
ACH-000085,-0.32544147410126384
ACH-000086,-0.2352422297328444
ACH-000087,-0.1524253677810899
ACH-000092,-0.25378558214732805
ACH-000095,-0.29861408096510395
ACH-000097,-0.5100518502094639
ACH-000098,-0.21023815275126
ACH-000099,-0.1548191740353357
ACH-000108,-0.32790403615328306
ACH-000113,-0.14535148890084226
ACH-000116,-0.3695166607642734
ACH-000118,-0.2131677624962543
ACH-000120,-0.3693461410039277
ACH-000123,-0.34792702721030605
ACH-000127,-0.1852834540848612
ACH-000128,-0.1003628867377114
ACH-000132,-0.2687519279272386
ACH-000133,-0.16748774127468513
ACH-000137,-0.2421427249127836
ACH-000138,-0.2062690062813446
ACH-000142,-0.3626981979753835
ACH-000143,0.12228177677692385
ACH-000146,-0.16823387974802154
ACH-000148,-0.31926052145841
ACH-000150,-0.5122717731459158
ACH-000152,-0.04698870220131683
ACH-000153,-0.36724799601176733
ACH-000159,-0.2379601938037588
ACH-000160,-0.02488832749813017
ACH-000163,-0.2540030669202642
ACH-000167,-0.21944677060286
ACH-000168,-0.3944835000821457
ACH-000169,-0.22739743422378114
ACH-000178,-0.2543555870388077
ACH-000183,-0.19890965538897976
ACH-000188,-0.19444367290778708
ACH-000189,-0.5856368025802028
ACH-000190,-0.13575198845489084
ACH-000198,-0.12638779602927336
ACH-000203,-0.6303504105824076
ACH-000204,0.1768216697738583
ACH-000206,-0.1882582786723813
ACH-000207,-0.13727989629048265
ACH-000208,0.2854616628351632
ACH-000210,-0.16875546482405254
ACH-000211,-0.0988820227520132
ACH-000215,-0.26112079549564104
ACH-000221,-0.13475823860864675
ACH-000222,-0.285337735986209
ACH-000223,-0.1982327542215937
ACH-000226,-0.25137663170757485
ACH-000227,-0.08086204526417701
ACH-000228,-0.1101237497159543
ACH-000231,-0.3546005980845351
ACH-000232,-0.29627000927544034
ACH-000233,-0.04410278634415074
ACH-000234,-0.1976889288302382
ACH-000235,-0.2979089832440099
ACH-000237,-0.0981840225049634
ACH-000238,-0.2668896753797885
ACH-000242,-0.364171750307111
ACH-000243,-0.3588139518585929
ACH-000244,-0.22378049928340427
ACH-000246,-0.1941334037433388
ACH-000248,-0.023467467545146985
ACH-000250,-0.19551283166001648
ACH-000251,-0.07727702382488692
ACH-000252,-0.07288353709558047
ACH-000253,-0.34429721641430033
ACH-000255,-0.2043167020448893
ACH-000256,-0.12027840332898575
ACH-000257,-0.2325236797720537
ACH-000258,-0.13237716141147365
ACH-000259,-0.08899119934288505
ACH-000260,-0.3271260330379718
ACH-000261,-0.2017704858546833
ACH-000262,-0.18522359629348645
ACH-000263,-0.009865921150744751
ACH-000264,-0.2906432916812633
ACH-000265,-0.3462270601606793
ACH-000266,-0.24315406681027354
ACH-000272,-0.23150143043727536
ACH-000274,-0.16546445872848867
ACH-000277,-0.223730686034639
ACH-000278,-0.2531946903460781
ACH-000279,-0.1841194790787028
ACH-000280,-0.21406963961171302
ACH-000281,-0.15950559717157156
ACH-000288,-0.2546193813949683
ACH-000291,-0.1818931345817571
ACH-000293,-0.23240979095631584
ACH-000294,-0.08317554809599388
ACH-000295,-0.08898818444375431
ACH-000296,-0.3970936521962293
ACH-000302,-0.13446937486824204
ACH-000304,-0.22719155210388126
ACH-000307,-0.14164232067289004
ACH-000308,-0.3195516190643459
ACH-000310,-0.2765650743203613
ACH-000311,-0.18700162770035272
ACH-000312,-0.2430267941254584
ACH-000315,-0.113018057736064
ACH-000316,-0.3859345428705916
ACH-000317,-0.29115727037473005
ACH-000318,-0.0429250107209388
ACH-000319,-0.2626354767471961
ACH-000320,-0.021042506278042033
ACH-000322,-0.4282389885221694
ACH-000323,-0.2803645150904353
ACH-000324,-0.31137631864189363
ACH-000329,-0.3261992362984344
ACH-000330,-0.2365993047132306
ACH-000331,-0.19175692636496508
ACH-000332,-0.269976258749898
ACH-000334,-0.10745920093741017
ACH-000335,-0.32044310972703904
ACH-000336,-0.27962762707743793
ACH-000337,0.004601432109084342
ACH-000338,-0.8889014207302991
ACH-000339,-0.24153679727179844
ACH-000341,0.001121388770640289
ACH-000348,-0.21143005132841852
ACH-000350,-0.4714032878092042
ACH-000352,-0.14750602267300636
ACH-000356,-0.3232959457427304
ACH-000361,-0.2821181004535657
ACH-000362,-0.4087468182155856
ACH-000363,-0.07174102642839085
ACH-000364,-0.3763335456404562
ACH-000365,-0.10726407747995406
ACH-000366,-0.17458764282887002
ACH-000368,-0.451733047652035
ACH-000374,-0.2851257093225313
ACH-000375,-0.32466939226932445
ACH-000376,-0.14552242770422974
ACH-000381,-0.11460833661103124
ACH-000383,-0.18790123158490932
ACH-000387,-0.3233610966792446
ACH-000389,-0.4190348594750939
ACH-000390,-0.2348999369421257
ACH-000393,-0.2811713261377302
ACH-000395,-0.2876301861993901
ACH-000396,-0.5892375359373611
ACH-000397,-0.2261808453832236
ACH-000401,-0.2997758936581894
ACH-000402,-0.3976052404495927
ACH-000403,-0.2291050572484063
ACH-000404,-0.2470887284710592
ACH-000406,-0.2162849054519176
ACH-000407,-0.2230307960092936
ACH-000408,-0.2559766004110624
ACH-000410,-0.15561031414226068
ACH-000411,-0.43927916663143396
ACH-000414,-0.12411444660352992
ACH-000415,-0.26366567216834946
ACH-000416,-0.22092651570096566
ACH-000420,-0.26046024733310297
ACH-000421,-0.30376336564563305
ACH-000424,-0.5414299686016494
ACH-000425,-0.3672006431190876
ACH-000426,-0.32569536322180737
ACH-000427,-0.34787017140642523
