,NFS1 (9054)
ACH-000004,-1.2804041076991084
ACH-000005,-1.5220061428316702
ACH-000007,-0.8420501016973224
ACH-000009,-1.05188134741507
ACH-000011,-0.9541692593367336
ACH-000012,-1.1715870380397495
ACH-000013,-1.2759977360666621
ACH-000014,-1.105466545733235
ACH-000015,-1.0991717122063047
ACH-000017,-1.186017055136921
ACH-000018,-1.0477590568663566
ACH-000019,-1.1054858815614077
ACH-000021,-1.2251554872706645
ACH-000022,-1.217181371105297
ACH-000025,-1.1761756101666336
ACH-000028,-1.2108189017915487
ACH-000030,-0.9986484657155144
ACH-000035,-1.0269028071996231
ACH-000036,-0.9523058501204488
ACH-000037,-0.5923848689436118
ACH-000039,-1.2647653904614635
ACH-000040,-1.1380601472242695
ACH-000041,-1.1020758907692412
ACH-000042,-1.1470354529052023
ACH-000045,-1.0877178303977748
ACH-000047,-1.056907629517653
ACH-000052,-1.139979827706009
ACH-000053,-1.1531849216163903
ACH-000054,-1.1860556326712353
ACH-000055,-1.191236443481021
ACH-000060,-1.1363302082434623
ACH-000067,-1.2575496273521445
ACH-000070,-1.0965543052500335
ACH-000075,-1.01936911703859
ACH-000078,-1.02854437408677
ACH-000082,-1.4800731269970426
ACH-000085,-1.0834821420407954
ACH-000086,-1.2058930628120097
ACH-000087,-1.400955612972976
ACH-000092,-1.1667459110960523
ACH-000095,-1.0673399049418195
ACH-000097,-1.18274212044257
ACH-000098,-1.15658078570032
ACH-000099,-1.1168866134359272
ACH-000108,-0.9958414993656698
ACH-000113,-1.1484892820647303
ACH-000116,-1.1298907471480248
ACH-000118,-0.9759734439585018
ACH-000120,-0.9393272235128302
ACH-000123,-1.1952018776623214
ACH-000127,-1.1236492891448826
ACH-000128,-1.1187232626054784
ACH-000132,-1.213569304010052
ACH-000133,-1.1727842050021309
ACH-000137,-1.1507506914611645
ACH-000138,-1.2314856860371222
ACH-000142,-1.0002557216247134
ACH-000143,-1.1708808364297176
ACH-000146,-1.0252971397596375
ACH-000148,-1.2709322013016782
ACH-000150,-1.0414793651136134
ACH-000152,-1.0857321776648097
ACH-000153,-1.088718552308371
ACH-000159,-1.0618577578275428
ACH-000160,-1.0328724216250058
ACH-000163,-1.1548133674220966
ACH-000167,-1.4713610558522898
ACH-000168,-1.1107699216181817
ACH-000169,-1.1800881587241543
ACH-000178,-0.9542922423612046
ACH-000183,-1.0332810978904103
ACH-000188,-1.110685085172039
ACH-000189,-1.1910776317467209
ACH-000190,-1.254000396667595
ACH-000198,-1.2379728732864914
ACH-000203,-0.7956699867353881
ACH-000204,-0.7264283753381364
ACH-000206,-1.2251860018039369
ACH-000207,-1.0506889289373145
ACH-000208,-1.1596093279533406
ACH-000210,-0.8417672502345269
ACH-000211,-1.1238313606486363
ACH-000215,-1.1386245286776842
ACH-000221,-1.3536423874595618
ACH-000222,-1.0665703247344918
ACH-000223,-1.263011395663302
ACH-000226,-1.3593527445917133
ACH-000227,-1.7404447668560148
ACH-000228,-1.1094575817498686
ACH-000231,-1.1357818862006053
ACH-000232,-1.130638620121551
ACH-000233,-1.2380311016591063
ACH-000234,-1.0809463717297199
ACH-000235,-1.0133428836131793
ACH-000237,-1.1810295633617756
ACH-000238,-1.054002136959166
ACH-000242,-0.8951467186420144
ACH-000243,-1.1363709244433562
ACH-000244,-1.2914151087463508
ACH-000246,-1.271034983978446
ACH-000248,-1.2445547968401889
ACH-000250,-1.1967530396338175
ACH-000251,-1.2386327618592663
ACH-000252,-1.0174160719636425
ACH-000253,-0.8191835114172198
ACH-000255,-0.9778016135046332
ACH-000256,-1.0585183904487196
ACH-000257,-1.092135660337758
ACH-000258,-0.9022543906003516
ACH-000259,-1.4174553056452257
ACH-000260,-1.2419498389641968
ACH-000261,-1.2469833821365683
ACH-000262,-0.9604252936829633
ACH-000263,-0.7527735611094764
ACH-000264,-1.1250960507601109
ACH-000265,-1.0818200222200058
ACH-000266,-1.145621783320634
ACH-000272,-1.0320820466072778
ACH-000274,-1.1231754308518418
ACH-000277,-1.0226708987258442
ACH-000278,-1.1998413086577129
ACH-000279,-1.148756171571814
ACH-000280,-1.2931330479321548
ACH-000281,-0.95880589714978
ACH-000288,-1.2587645278890434
ACH-000291,-1.0714784362884715
ACH-000293,-1.1611752179207704
ACH-000294,-1.4073925213485647
ACH-000295,-1.3090853415913346
ACH-000296,-1.2067820408608618
ACH-000302,-1.3086763591841688
ACH-000304,-1.3552523797393434
ACH-000307,-0.9891659433615068
ACH-000308,-1.1463175051719428
ACH-000310,-1.1825572185590694
ACH-000311,-0.8628452130968078
ACH-000312,-1.16728360152785
ACH-000315,-1.148851235100381
ACH-000316,-1.3351079140321622
ACH-000317,-1.1856451087898283
ACH-000318,-1.0599063798528523
ACH-000319,-1.292800648879686
ACH-000320,-1.0768424011968518
ACH-000322,-1.0239092031152564
ACH-000323,-1.217001538468193
ACH-000324,-1.1434903250374238
ACH-000329,-1.1956770571952444
ACH-000330,-1.2388869427127076
ACH-000331,-1.1502843860283165
ACH-000332,-1.1708814619186232
ACH-000334,-1.0107465131161533
ACH-000335,-1.0951043993973486
ACH-000336,-1.2875662278029352
ACH-000337,-0.8239252171496104
ACH-000338,-1.3579935586003735
ACH-000339,-0.9846050890786384
ACH-000341,-1.324754071708498
ACH-000348,-1.3557399964656922
ACH-000350,-0.8853711450039278
ACH-000352,-1.3139642921633206
ACH-000356,-1.1598696336652323
ACH-000361,-1.235366791300888
ACH-000362,-1.1513915331156437
