,SVOPL (136306)
ACH-000004,-0.08716917232328653
ACH-000005,-0.07354840796514434
ACH-000007,0.09995975576302472
ACH-000009,0.01831918660452904
ACH-000011,-0.05336926239658883
ACH-000012,0.14386145512657322
ACH-000013,0.028582089680742818
ACH-000014,-0.18520739940567274
ACH-000015,-0.010773362754900102
ACH-000017,-0.023322796181609352
ACH-000018,0.0786441494613346
ACH-000019,-0.031942550168291464
ACH-000021,-0.19544012916304465
ACH-000022,-0.05003429681379308
ACH-000025,-0.08475908869397948
ACH-000028,-0.04279593759229098
ACH-000030,-0.025548653286562296
ACH-000035,-0.053193842716838066
ACH-000036,-0.05472394983083245
ACH-000037,0.09339036037471576
ACH-000039,-0.06055970991183564
ACH-000040,-0.02853272855300847
ACH-000041,-0.07328423759845261
ACH-000042,-0.06799940220636816
ACH-000045,0.2456041954186373
ACH-000047,-0.00768911250754847
ACH-000052,0.036618965878137816
ACH-000053,0.05033594861569175
ACH-000054,0.07101684047218086
ACH-000055,0.002514481834276837
ACH-000060,0.012949377168298346
ACH-000067,-0.014192239066395782
ACH-000070,0.20588568341498326
ACH-000075,-0.16162014961367333
ACH-000078,-0.1561428100110263
ACH-000082,-0.012465860654907844
ACH-000085,0.15646971300672238
ACH-000086,0.05501229384743733
ACH-000087,0.13032389978788436
ACH-000092,-0.022391449637929123
ACH-000095,0.026624816511255825
ACH-000097,0.07062999096495066
ACH-000098,0.0351021828429067
ACH-000099,-0.001834676123959437
ACH-000108,0.011509569676329406
ACH-000113,0.06364935784595835
ACH-000116,-0.15566234888843014
ACH-000118,0.004526738580958064
ACH-000120,0.03158145110483779
ACH-000123,0.0017229050399695015
ACH-000127,-0.03517214004792222
ACH-000128,-0.11234979158508004
ACH-000132,0.07620898978910262
ACH-000133,-0.180924546484332
ACH-000137,0.00793732808848271
ACH-000138,-0.06698323015670757
ACH-000142,-0.051599375854311125
ACH-000143,0.11691874128694606
ACH-000146,0.0745182394085387
ACH-000148,0.01025252563209805
ACH-000150,0.028434096604711214
ACH-000152,-0.06164389070734973
ACH-000153,-0.21720523555851434
ACH-000159,0.05598074660792381
ACH-000160,0.09629691539006408
ACH-000163,0.1541246034180123
ACH-000167,0.10963048382107506
ACH-000168,-0.0655635978687514
ACH-000169,0.26403570402669435
ACH-000178,-0.04829167035142678
ACH-000183,-0.09083365005050686
ACH-000188,0.01570664503220014
ACH-000189,0.10699061289749903
ACH-000190,0.2643226343990439
ACH-000198,-0.011589688977217022
ACH-000203,-0.2221016924007456
