,ARRDC1 (92714)
ACH-000004,-0.0650268184611271
ACH-000005,-0.2290001705128478
ACH-000007,-0.17165749242898645
ACH-000009,-0.3505762484687631
ACH-000011,-0.28552674975152104
ACH-000012,-0.2360352155776824
ACH-000013,-0.1793980532339566
ACH-000014,-0.14083349353337152
ACH-000015,-0.20727045561004215
ACH-000017,-0.09192699416123044
ACH-000018,-0.1088811898273826
ACH-000019,-0.12028699210995608
ACH-000021,-0.10706768105114188
ACH-000022,-0.16376434835267434
ACH-000025,-0.2312507561540973
ACH-000028,-0.24579266105008865
ACH-000030,-0.1788901116956662
ACH-000035,0.0603027068543418
ACH-000036,-0.2247187605771044
ACH-000037,-0.007522227490409656
ACH-000039,-0.3565425266605713
ACH-000040,-0.1971634554276568
ACH-000041,-0.0981311796901731
ACH-000042,-0.21540762375420605
ACH-000045,-0.09698336020189438
ACH-000047,-0.09923776709127473
ACH-000052,0.052935496575425324
ACH-000053,-0.22919370675489675
ACH-000054,-0.26774832906738405
ACH-000055,-0.16509631114808396
ACH-000060,-0.13268132540892216
ACH-000067,-0.14105424811847025
ACH-000070,-0.002257667147420711
ACH-000075,-0.12281156334726613
ACH-000078,-0.3295837209648921
ACH-000082,-0.2177962208964464
ACH-000085,-0.11517528920416545
ACH-000086,-0.16033979109911475
ACH-000087,-0.42088807263526795
ACH-000092,-0.1086364850823264
ACH-000095,-0.2071640828345656
ACH-000097,-0.09357215338301507
ACH-000098,-0.07739121123356403
ACH-000099,-0.3082464256850236
ACH-000108,-0.1163336735028032
ACH-000113,-0.09529099635520054
ACH-000116,-0.237866889228427
ACH-000118,-0.16492389041108155
ACH-000120,-0.1685188968042315
ACH-000123,0.0015523598588150036
ACH-000127,-0.06770237598176013
ACH-000128,-0.2463182810406873
ACH-000132,-0.3402611073894136
ACH-000133,0.06206681265112059
ACH-000137,-0.2208007846232326
ACH-000138,-0.2823631274290183
ACH-000142,-0.12430760448860162
ACH-000143,-0.1653816615754646
ACH-000146,-0.09679424435764132
ACH-000148,-0.21904845656678507
ACH-000150,-0.2274759519957384
ACH-000152,-0.2219742253164601
ACH-000153,-0.1534409999312441
ACH-000159,-0.2423380611334976
ACH-000160,-0.1354897197069552
ACH-000163,-0.132643769762388
ACH-000167,0.008135937300911235
ACH-000168,-0.37545565394435104
ACH-000169,-0.3597416861675319
ACH-000178,-0.16864202816366772
ACH-000183,-0.26773612508015954
ACH-000188,-0.13035807934870214
ACH-000189,-0.32097381482434795
ACH-000190,0.1099701638773082
ACH-000198,-0.3256557273982573
ACH-000203,-0.1688341325292765
ACH-000204,-0.27153098152764976
ACH-000206,-0.2588124340754753
ACH-000207,-0.1266466439710289
ACH-000208,0.06459041834845458
ACH-000210,-0.18034948513996926
ACH-000211,-0.2119634342999409
ACH-000215,-0.08446011208836396
ACH-000221,-0.028930226222954162
ACH-000222,-0.07695019542965649
ACH-000223,-0.13624175810467087
ACH-000226,-0.10191745667584336
ACH-000227,-0.15239275586289305
ACH-000228,-0.033451246282572816
ACH-000231,-0.16542714344692666
ACH-000232,-0.09926962811266946
ACH-000233,-0.1122189841647543
ACH-000234,-0.27514643856974874
ACH-000235,-0.2265994144081072
ACH-000237,-0.2246871042536611
ACH-000238,-0.2831652372739968
ACH-000242,0.06687764705865623
ACH-000243,-0.11202661756520392
ACH-000244,-0.20926176706720506
ACH-000246,-0.2548092755602045
ACH-000248,0.03074672438550998
ACH-000250,-0.25706858920435344
ACH-000251,-0.2689291725748985
ACH-000252,-0.4566172244128918
ACH-000253,-0.0874535856371899
ACH-000255,-0.1969226577204132
ACH-000256,-0.09442104905992678
ACH-000257,-0.31587810770448826
ACH-000258,-0.010623295290965505
ACH-000259,-0.2716093680324796
ACH-000260,-0.20854845086873924
ACH-000261,-0.11670124504819825
ACH-000262,-0.3417855373047674
ACH-000263,-0.14280990478785596
ACH-000264,-0.23857257143144694
ACH-000265,-0.04800649501156263
ACH-000266,-0.23416560566177475
ACH-000272,-0.21009264023017812
ACH-000274,-0.2815167663968078
ACH-000277,-0.2484386309969808
ACH-000278,-0.1833593378686574
ACH-000279,-0.06254122814878449
ACH-000280,-0.3092011061238969
ACH-000281,-0.15542593006748645
ACH-000288,-0.034992251866783924
ACH-000291,-0.16221246734513814
ACH-000293,0.03048317966584893
ACH-000294,-0.21853042815279253
ACH-000295,-0.16839671469325349
ACH-000296,-0.023905609120861062
ACH-000302,-0.11721180083986793
ACH-000304,-0.3725719839502109
ACH-000307,-0.230297178870162
ACH-000308,-0.21076941311171726
ACH-000310,-0.2136143422094557
ACH-000311,-0.10139565768643333
ACH-000312,-0.26438469070205906
ACH-000315,0.06041066928202675
ACH-000316,-0.3509146268355923
ACH-000317,0.031155888310971488
ACH-000318,-0.10254590577959642
ACH-000319,-0.19232278760850285
ACH-000320,0.03536764741983665
ACH-000322,-0.23397934958010175
ACH-000323,-0.14511127651650602
ACH-000324,-0.12525327187147026
ACH-000329,-0.09066737180842677
ACH-000330,0.09077792069834696
ACH-000331,-0.1655972443197279
ACH-000332,-0.21647395206111664
ACH-000334,-0.2233156334079407
ACH-000335,-0.21640475816716948
ACH-000336,-0.2129578285025865
ACH-000337,-0.12551339691396982
ACH-000338,-0.4436851308813174
ACH-000339,-0.13607526192221428
