,TAP1 (6890)
ACH-000004,-0.1998785835928901
ACH-000005,-0.17826549883994605
ACH-000007,-0.41888725109902025
ACH-000009,-0.10911944915457852
ACH-000011,-0.20583809225587935
ACH-000012,-0.11767115182365115
ACH-000013,-0.17918090761448818
ACH-000014,-0.2921414150457126
ACH-000015,-0.16628266860777158
ACH-000017,-0.2933748206830907
ACH-000018,-0.18571316947405445
ACH-000019,-0.2453802750862986
ACH-000021,-0.13242775238081333
ACH-000022,0.0800630796360578
ACH-000025,-0.16925773743886294
ACH-000028,-0.23251291154286505
ACH-000030,-0.12512441403052948
ACH-000035,-0.056333157040079275
ACH-000036,-0.2600728074236282
ACH-000037,-0.08643224845152024
ACH-000039,-0.16696523742512914
ACH-000040,-0.05185070579888287
ACH-000041,-0.35754116136106023
ACH-000042,-0.13439158974696366
ACH-000045,0.10678686761224956
ACH-000047,-0.12751514389697755
ACH-000052,-0.1804086482612846
ACH-000053,-0.2060762562829652
ACH-000054,-0.16056955631498165
ACH-000055,-0.07540605244597587
ACH-000060,-0.2628835029959289
ACH-000067,-0.08446016546819657
ACH-000070,0.183716316120542
ACH-000075,-0.08420280820289859
ACH-000078,-0.09892256230907867
ACH-000082,-0.18442883066782664
ACH-000085,-0.12797157179803545
ACH-000086,-0.10277720003199882
ACH-000087,-0.2272996194610929
ACH-000092,-0.1431658584051565
ACH-000095,-0.1663076187721294
ACH-000097,-0.1467779439068658
ACH-000098,-0.14422088735048474
ACH-000099,-0.0014468532948874815
ACH-000108,-0.16800446163321675
ACH-000113,-0.16147311254136482
ACH-000116,-0.028153555742503118
ACH-000118,-0.10951154132237832
ACH-000120,-0.20546954024343286
ACH-000123,-0.12715143749710345
ACH-000127,-0.21842796785581106
ACH-000128,-0.11259109725977515
ACH-000132,-0.24963474142790756
ACH-000133,-0.171750370145951
ACH-000137,-0.14616393685839926
ACH-000138,-0.1876143350540836
ACH-000142,-0.1838909802041513
ACH-000143,-0.1454630842223951
ACH-000146,-0.11526796112360672
ACH-000148,-0.07002974615295347
ACH-000150,-0.10942622502295617
ACH-000152,-0.21569155804988974
ACH-000153,-0.10130972648378687
ACH-000159,-0.13882266985307404
ACH-000160,-0.049754889144024116
ACH-000163,-0.13090674676417838
ACH-000167,-0.4666924063036697
ACH-000168,-0.1612610975975808
ACH-000169,-0.1292109193527288
ACH-000178,-0.111025917465778
ACH-000183,-0.4064694905789088
ACH-000188,-0.208438867377996
ACH-000189,-0.0413641031597268
ACH-000190,-0.20565145862974815
ACH-000198,-0.2627330291210529
ACH-000203,-0.7297896677618653
ACH-000204,-0.09344320485204036
ACH-000206,-0.4980717046822668
ACH-000207,-0.3656177667493908
ACH-000208,-0.2106504718151119
ACH-000210,-0.18340241003893992
ACH-000211,-0.21508478376109785
ACH-000215,-0.1484200595024943
ACH-000221,-0.12858889874930812
ACH-000222,0.056016642243769774
ACH-000223,-0.17756515948317453
ACH-000226,-0.2381890277644445
ACH-000227,-0.0684614052231893
ACH-000228,-0.14161433191934822
ACH-000231,-0.21905785942303105
ACH-000232,-0.09137977693154904
ACH-000233,-0.10820214931502127
ACH-000234,-0.1714500517648246
ACH-000235,-0.19169161186663689
ACH-000237,-0.12070158287122115
ACH-000238,-0.2610024376655203
ACH-000242,0.2325015194482553
ACH-000243,-0.1293213446300352
ACH-000244,-0.11948276162114913
ACH-000246,-0.192978733147852
ACH-000248,-0.17160794713483696
ACH-000250,-0.14607782239167325
ACH-000251,-0.09834427584166697
ACH-000252,-0.14300603995262784
ACH-000253,-0.2001547118709156
ACH-000255,-0.24722421930293445
ACH-000256,-0.08888097195696465
ACH-000257,-0.07848603536887627
ACH-000258,-0.008208763231793014
ACH-000259,-0.034448803688856146
ACH-000260,-0.16400054564726185
ACH-000261,-0.20038723630476685
ACH-000262,-0.09466584728968687
ACH-000263,-0.06654156829906954
ACH-000264,-0.15243569496240902
ACH-000265,-0.1133343111857228
ACH-000266,-0.2334165488061988
ACH-000272,-0.27005992667150364
ACH-000274,-0.15213389371511565
ACH-000277,-0.14872567089946406
ACH-000278,-0.20892931122092206
ACH-000279,-0.15080066468242087
ACH-000280,-0.20572988931560413
ACH-000281,-0.053054564317699705
ACH-000288,-0.11704942063783365
ACH-000291,-0.19082941924822625
ACH-000293,-0.2606730292724572
ACH-000294,-0.034261019646868084
ACH-000295,-0.2841936524405377
ACH-000296,-0.27592525282563524
ACH-000302,-0.2446429756581457
ACH-000304,-0.4517173764376818
ACH-000307,-0.16673259905454504
ACH-000308,-0.19107527727254886
ACH-000310,-0.08399264608697324
ACH-000311,-0.3934707394502233
ACH-000312,-0.0691764463822721
ACH-000315,-0.2990385797892205
ACH-000316,-0.2194373149637433
ACH-000317,-0.1499440462129449
ACH-000318,-0.059569277189044735
ACH-000319,-0.09796308652474828
ACH-000320,-0.24638603731314224
ACH-000322,0.03150792663283551
ACH-000323,-0.16075766747346096
ACH-000324,-0.10630658665388894
ACH-000329,-0.18128521812125725
ACH-000330,-0.18574731708873066
ACH-000331,-0.17535107026268826
ACH-000332,-0.2179303145774916
ACH-000334,-0.17349871853829882
ACH-000335,-0.24751222379717855
ACH-000336,-0.08399315700880365
ACH-000337,-0.2433852764140987
ACH-000338,-0.3156206009034952
ACH-000339,-0.1983916800138968
ACH-000341,-0.07964811962095984
ACH-000348,-0.35271830303439144
ACH-000350,-0.0398604556433039
ACH-000352,-0.15652956079095007
ACH-000356,-0.16536094769497575
ACH-000361,-0.05176976003035117
ACH-000362,-0.1041779823168897
ACH-000363,-0.16112181110320656
ACH-000364,-0.13162453065250454
ACH-000365,-0.17902242795706205
