,MIDN (90007)
ACH-000004,-0.07938516499302084
ACH-000005,-0.14983556513536408
ACH-000007,0.08255420052050269
ACH-000009,0.057789169156388535
ACH-000011,0.09343699435636556
ACH-000012,-0.2732156897785334
ACH-000013,-0.20403583574667014
ACH-000014,-0.10785028983043546
ACH-000015,-0.1334108039466534
ACH-000017,-0.4410676320392685
ACH-000018,-0.32394420239588145
ACH-000019,-0.7805488226838087
ACH-000021,-0.2065752004912564
ACH-000022,-0.19128553792807854
ACH-000025,-0.3536809499317309
ACH-000028,-0.5388235374338756
ACH-000030,-0.2895166776371026
ACH-000035,-0.18431624501905972
ACH-000036,-0.15941549256601575
ACH-000037,-0.15609630684803588
ACH-000039,-0.3822290860385127
ACH-000040,-0.4258148247259014
ACH-000041,-0.17169048495167258
ACH-000042,-0.12341460563803958
ACH-000045,-0.4232610465709319
ACH-000047,-0.25614744753544777
ACH-000052,-0.1570815061068062
ACH-000053,0.09802465043413146
ACH-000054,-0.17670793161405812
ACH-000055,-0.17174433639374678
ACH-000060,-0.04199117314155236
ACH-000067,-0.2259471566883379
ACH-000070,-0.35407173659125835
ACH-000075,-0.291425153797964
ACH-000078,-0.3736057498005043
ACH-000082,-0.27020844014236217
ACH-000085,-0.4275629972108778
ACH-000086,-0.1291255384172742
ACH-000087,-0.3504250293212708
ACH-000092,-0.13534987517835853
ACH-000095,-0.23407521658735625
ACH-000097,-0.3808302727340522
ACH-000098,-0.2791965177802414
ACH-000099,-0.4292569828079785
ACH-000108,-0.2915319549323551
ACH-000113,-0.44312084788372597
ACH-000116,-0.19346315390664265
ACH-000118,-0.13263986713773707
ACH-000120,-0.4600438453701632
ACH-000123,-0.14945801633268024
ACH-000127,-0.20716350541512854
ACH-000128,-0.19013205252074308
ACH-000132,-0.1562301646615215
ACH-000133,-0.35111256490210146
ACH-000137,-0.2951969985191812
ACH-000138,-0.269101842589022
ACH-000142,-0.11437722758674568
ACH-000143,-0.12423147058861987
ACH-000146,-0.12848051847391398
ACH-000148,-0.031050541700529864
ACH-000150,-0.2281005608730086
ACH-000152,-0.19097854754348972
ACH-000153,-0.064296885937054
ACH-000159,-0.231177490591238
ACH-000160,-0.2369741244697508
ACH-000163,-0.17394317653592764
ACH-000167,-0.18196574849209265
ACH-000168,-0.2829291868126906
ACH-000169,-0.4773741858470261
ACH-000178,-0.1345027745445161
ACH-000183,-0.0373640378435722
ACH-000188,-0.15995625015636147
ACH-000189,-0.3129053217006739
