,TRANK1 (9881)
ACH-000004,-0.09759590425895802
ACH-000005,0.21903354806427391
ACH-000007,-0.14041214607139774
ACH-000009,-0.1288406617776778
ACH-000011,-0.07237242826235912
ACH-000012,-0.22898851652630384
ACH-000013,-0.11267443197936634
ACH-000014,-0.2340092350595453
ACH-000015,-0.2543880462424193
ACH-000017,-0.19577168731553354
ACH-000018,-0.16437407905446205
ACH-000019,-0.11929704643827402
ACH-000021,-0.10925341325342068
ACH-000022,-0.20599414471713376
ACH-000025,-0.25531057983940497
ACH-000028,0.02806912516997626
ACH-000030,-0.1506816898088214
ACH-000035,-0.13246631717833232
ACH-000036,0.031122156510865338
ACH-000037,-0.12096167405345147
ACH-000039,-0.1286082372312458
ACH-000040,-0.041387987514283714
ACH-000041,-0.05116583723877395
ACH-000042,-0.28394135065747683
ACH-000045,-0.2732929168299971
ACH-000047,-0.20213881748784554
ACH-000052,-0.3219830073294445
ACH-000053,-0.1439028211574845
ACH-000054,-0.1300973819770847
ACH-000055,-0.07275117079381152
ACH-000060,-0.2541729117521406
ACH-000067,-0.23270730556447786
ACH-000070,-0.15631360059124969
ACH-000075,-0.2662675606722967
ACH-000078,-0.1847856747751355
ACH-000082,-0.024186093718204425
ACH-000085,-0.1273853247145262
ACH-000086,-0.15017949009556456
ACH-000087,-0.15643536892369886
ACH-000092,-0.14551657863981
ACH-000095,-0.1071825405461871
ACH-000097,-0.09084510451805056
ACH-000098,-0.2313993356659341
ACH-000099,-0.13562693449937632
ACH-000108,-0.2567610812155308
ACH-000113,-0.19306181414565565
ACH-000116,-0.17388674671192475
ACH-000118,-0.06955482900484809
ACH-000120,-0.20468179513298315
ACH-000123,-0.13879102035040464
ACH-000127,-0.2817486843742603
ACH-000128,-0.055158707719766865
ACH-000132,-0.06732582720369151
ACH-000133,-0.07030609733167484
ACH-000137,-0.09785959243980448
ACH-000138,-0.1421971443421867
ACH-000142,-0.19512773244913295
ACH-000143,0.009669323191568486
ACH-000146,-0.1108562712804829
ACH-000148,-0.14112209598906847
ACH-000150,-0.216809029215022
ACH-000152,-0.12706852711620853
ACH-000153,0.18650611461229785
ACH-000159,-0.16740433071040994
ACH-000160,-0.19594216548509533
ACH-000163,-0.0659387290250647
ACH-000167,0.10135800257036803
ACH-000168,-0.233503786790254
ACH-000169,-0.12109926407217855
ACH-000178,-0.09568234970451496
ACH-000183,-0.018525980673726603
ACH-000188,-0.2040920427973191
ACH-000189,0.04665357691074056
ACH-000190,0.035260010828335096
ACH-000198,-0.17015795819917312
ACH-000203,-0.4212653136969468
ACH-000204,-0.2824397798134164
ACH-000206,-0.14921319698857669
ACH-000207,-0.1987940206909927
ACH-000208,-0.3621180860189309
ACH-000210,-0.2191399847065092
ACH-000211,-0.10971251170186436
ACH-000215,-0.03389866567892813
ACH-000221,-0.17809134698556633
ACH-000222,-0.034713983899316736
ACH-000223,-0.11531843966880145
ACH-000226,-0.08890327170084689
ACH-000227,-0.2464637286775509
ACH-000228,-0.17726005902690276
ACH-000231,-0.1598800407524554
ACH-000232,-0.14206117345991698
ACH-000233,-0.08102540479482684
ACH-000234,-0.21389903822143455
ACH-000235,-0.15618545463626834
ACH-000237,-0.2705647802148177
ACH-000238,-0.18142056978452314
ACH-000242,-0.15598263092551126
ACH-000243,-0.08573277964000146
ACH-000244,-0.11146971617161636
ACH-000246,-0.17254133131878266
ACH-000248,-0.14834085388820706
ACH-000250,-0.15747561393891096
ACH-000251,-0.19178033845371809
ACH-000252,-0.19672739183235266
ACH-000253,-0.1212088898414529
ACH-000255,-0.12475936443693132
ACH-000256,-0.07539904369998254
ACH-000257,-0.0996001939982242
ACH-000258,-0.2512911046786479
ACH-000259,-0.19229959959804355
ACH-000260,-0.1208472021419949
ACH-000261,-0.2041610549921124
ACH-000262,-0.09138567455846998
ACH-000263,-0.2518776451722333
ACH-000264,-0.09643814440699038
ACH-000265,-0.16055615201162235
ACH-000266,-0.14891781934311638
ACH-000272,-0.1837278247686817
ACH-000274,-0.21879884828305549
ACH-000277,-0.12700705816060046
ACH-000278,-0.14933496188068746
ACH-000279,-0.18540691146366745
ACH-000280,-0.2778299562726777
ACH-000281,-0.304239358670973
ACH-000288,-0.12038611008613692
ACH-000291,-0.19781699894702248
ACH-000293,-0.03868873727495109
ACH-000294,-0.22215332046312533
ACH-000295,-0.1262050885698477
ACH-000296,-0.28161703676580824
ACH-000302,-0.08030828082392227
ACH-000304,0.16589551974608016
ACH-000307,-0.21798624553005394
ACH-000308,-0.1545098031162915
ACH-000310,-0.20657208115768916
ACH-000311,-0.06720062040004188
ACH-000312,-0.08185388191795713
ACH-000315,-0.03724417508377915
ACH-000316,-0.15317284073144388
ACH-000317,-0.19432403230667356
ACH-000318,-0.10585912283764952
ACH-000319,-0.09627033800045996
ACH-000320,-0.25273670429819783
ACH-000322,-0.1325200914136221
ACH-000323,-0.22370798026262548
ACH-000324,-0.06521300692737839
ACH-000329,-0.19405230840364365
ACH-000330,-0.2136804315635337
ACH-000331,-0.13802564875358897
ACH-000332,-0.15036597089614964
ACH-000334,-0.06027915981317969
ACH-000335,-0.061880084815750885
ACH-000336,-0.13094764577705062
ACH-000337,-0.07875210830270757
ACH-000338,-0.1899835966995104
ACH-000339,-0.1694036760942949
ACH-000341,0.002406209283770411
ACH-000348,-0.1418411900912143
ACH-000350,-0.20495668106612194
ACH-000352,-0.13220338410292393
ACH-000356,0.04593728824196655
ACH-000361,-0.004054841345430442
ACH-000362,-0.16166800793803435
ACH-000363,-0.1551398104655117
ACH-000364,-0.0328261715850935
ACH-000365,-0.20683261505605094
ACH-000366,-0.15777184940001154
ACH-000368,-0.04577564794146628
ACH-000374,-0.2903524686720043
ACH-000375,-0.10820912498682206
ACH-000376,-0.13038081590881265
ACH-000381,-0.35120254592523514
ACH-000383,-0.13840898297521528
ACH-000387,-0.279482421132552
ACH-000389,-0.11044559665693447
ACH-000390,-0.22271863206834575
ACH-000393,-0.2745842966242577
ACH-000395,-0.1035295350709744
ACH-000396,0.09389685538486484
ACH-000397,-0.07133668549123565
ACH-000401,-0.1974324135668534
ACH-000402,-0.08552338146857243
ACH-000403,-0.0935969542573436
ACH-000404,-0.15232567422031865
ACH-000406,-0.2257721113326828
ACH-000407,-0.24260049910392556
ACH-000408,-0.05188503915829347
ACH-000410,-0.08212642823125765
ACH-000411,-0.16685125936025175
ACH-000414,-0.15741880936845476
ACH-000415,-0.20492979828153046
ACH-000416,-0.1196257859917796
ACH-000420,-0.2445082749139285
ACH-000421,-0.1364139904304304
ACH-000424,-0.10779344052274632
ACH-000425,-0.07248420417565464
ACH-000426,-0.2517731095370855
ACH-000427,-0.1450249872051068
ACH-000433,-0.3279617144557972
ACH-000435,-0.2696080585039575
ACH-000436,-0.2413585650470169
ACH-000444,-0.2534889907029654
ACH-000445,-0.10179566963524456
ACH-000448,-0.18847027666737773
ACH-000450,-0.13435063718023646
ACH-000452,-0.1614933275616735
ACH-000454,-0.3111272779058512
ACH-000458,-0.12103150179080288
ACH-000459,0.011711625653252084
ACH-000460,-0.12822198715755848
ACH-000461,-0.05570549885273062
ACH-000463,-0.18079617556921215
ACH-000464,-0.076691419083453
ACH-000466,-0.20080312006078746
ACH-000467,-0.124076574681697
ACH-000468,-0.1609246313238011
ACH-000469,-0.09241949871790288
ACH-000470,-0.11956638517744303
ACH-000471,-0.1728574674817475
ACH-000472,-0.1401552004583994
ACH-000473,-0.09497156532170142
ACH-000475,-0.1742228801419048
ACH-000476,-0.13924599253154868
ACH-000477,-0.2091509668696021
ACH-000479,-0.3674401520672158
ACH-000480,-0.10521732543251083
ACH-000481,-0.13848844092913826
ACH-000483,-0.033940958407651836
ACH-000484,-0.051887067346137926
ACH-000485,-0.14057212916636674
ACH-000486,-0.10679418180237077
ACH-000487,-0.11608099784955228
ACH-000488,-0.205852974868678
ACH-000490,-0.030761704802204505
ACH-000491,-0.13249685130635006
ACH-000495,-0.1061793210079157
ACH-000496,-0.18638944056815554
ACH-000499,-0.025940943117980533
ACH-000500,-0.24094540968806435
ACH-000502,-0.10652129180999458
ACH-000503,0.17310864120636724
ACH-000505,-0.10514206145624952
ACH-000507,-0.15711581326892815
ACH-000510,-0.15402900827077715
ACH-000511,-0.017622429198085883
ACH-000512,0.002857474939910036
ACH-000516,-0.056573700538232276
ACH-000517,-0.2101847173876069
ACH-000518,-0.06691313277936245
ACH-000520,-0.09426387295765304
ACH-000521,0.004976074792903436
ACH-000522,-0.11184589975990193
ACH-000524,-0.13159567928962712
ACH-000527,-0.12296685806753815
ACH-000528,-0.16837037724379714
ACH-000537,-0.21780286274983568
ACH-000541,-0.028800843870533683
ACH-000542,-0.15599722450605846
ACH-000544,-0.15447513551365766
ACH-000545,-0.14402381228831412
ACH-000547,-0.3231692708875437
ACH-000548,-0.08175849635717239
ACH-000549,-0.19071342315648845
ACH-000550,-0.33409319152130434
ACH-000552,-0.10592449253306653
ACH-000556,-0.09061131732855134
ACH-000557,-0.14959288745830154
ACH-000569,0.011265926214642423
ACH-000570,-0.16859196160761625
ACH-000571,-0.030298038167769367
ACH-000573,-0.14690293353292516
ACH-000576,-0.12833547992494548
ACH-000579,-0.04255269858566267
ACH-000580,-0.15759064647427848
ACH-000584,-0.22818228087643805
ACH-000585,-0.113549112951887
ACH-000588,-0.15119062778579434
ACH-000589,-0.1679736050305607
ACH-000591,-0.0237124410936963
ACH-000593,-0.2187257562522327
ACH-000600,-0.15652530649222848
ACH-000601,-0.14519143263276627
ACH-000605,-0.19434085646734056
ACH-000606,-0.06743431979853777
ACH-000608,-0.1026484927965373
ACH-000614,-0.16516247984151666
ACH-000616,-0.08144881822745087
ACH-000618,-0.11024706976840462
ACH-000619,-0.2449696969646389
ACH-000620,-0.217407111876534
ACH-000621,-0.14356834265368634
ACH-000622,-0.1287274006378017
ACH-000623,-0.039980428437167016
ACH-000624,-0.20435785290805172
ACH-000627,-0.1930299580334753
ACH-000630,-0.17534788162309664
ACH-000631,-0.2012781483007646
ACH-000632,-0.08408286550323955
ACH-000633,-0.1174998520180952
ACH-000637,-0.07334952810674855
ACH-000638,-0.08577122850335815
ACH-000646,-0.0932597902105718
ACH-000647,-0.08692524920666796
ACH-000648,-0.1633033370508309
ACH-000649,-0.18705604898607128
ACH-000651,-0.2233304214448088
ACH-000652,-0.4290552300063291
ACH-000653,-0.0920928391896164
ACH-000657,-0.1457663548918342
ACH-000658,-0.1323677930649476
ACH-000661,-0.2793741499759264
ACH-000662,0.03506984799070083
ACH-000663,-0.21240520448008965
ACH-000665,-0.14766771035121454
ACH-000671,-0.1988641821067536
ACH-000672,-0.12965656749174415
ACH-000673,-0.1412958147084529
ACH-000676,-0.12592801131366604
ACH-000677,-0.21841361386832997
ACH-000681,-0.16405787396861995
ACH-000683,-0.13954716083893234
ACH-000684,-0.11076825710339444
ACH-000688,-0.08339556245293954
ACH-000693,-0.21792687672565625
ACH-000694,-0.16998022782316424
ACH-000695,-0.13808507424584454
ACH-000696,-0.1522553425279529
ACH-000697,-0.17903143536229882
ACH-000699,-0.1067682620476476
ACH-000701,-0.013438996008184184
ACH-000706,-0.12289421871220366
ACH-000711,-0.12987433531223985
ACH-000713,-0.09911788318347968
ACH-000714,-0.06904311508416865
ACH-000718,-0.20786393340250145
ACH-000720,-0.08906780083502454
ACH-000721,-0.2311078490690603
ACH-000724,-0.03984305602801743
ACH-000725,0.022538907774024213
ACH-000732,-0.13818078557419666
ACH-000734,-0.16284772673624384
ACH-000735,-0.22112923996300035
ACH-000736,-0.20907542358100994
ACH-000738,-0.14689949493579652
ACH-000746,-0.23431916012775064
ACH-000747,-0.1473835069915086
