,GTF2H2C (728340)
ACH-000004,-0.6033244725051059
ACH-000005,-0.4292542429964025
ACH-000007,-0.4868537901542
ACH-000009,-0.5772206061514158
ACH-000011,-0.5574200633232856
ACH-000012,-0.5423562071591962
ACH-000013,-0.6206343871112375
ACH-000014,-0.6001464978174259
ACH-000015,-0.6823008335509251
ACH-000017,-0.4683510319064739
ACH-000018,-0.4712608417534396
ACH-000019,-0.4387538465687171
ACH-000021,-0.5706742856135032
ACH-000022,-0.45033990999489537
ACH-000025,-0.549804674916595
ACH-000028,-0.5496179893090968
ACH-000030,-0.5968283345407461
ACH-000035,-0.8433972606464469
ACH-000036,-0.5368016770481833
ACH-000037,-0.5281527077603373
ACH-000039,-0.6063420171572993
ACH-000040,-0.5897660811894535
ACH-000041,-0.6614286012838271
ACH-000042,-0.5261066313084072
ACH-000045,-0.4299079306762553
ACH-000047,-0.587027820404713
ACH-000052,-0.6409287336773588
ACH-000053,-0.4207883096305429
ACH-000054,-0.5144408786171116
ACH-000055,-0.4630743415674353
ACH-000060,-0.5215590500174092
ACH-000067,-0.4486991631151616
ACH-000070,-0.5778388223905639
ACH-000075,-0.5019000769976595
ACH-000078,-0.5435667684612534
ACH-000082,-0.4821690396614854
ACH-000085,-0.4658739714498581
ACH-000086,-0.5184451665255524
ACH-000087,-0.5896410552833263
ACH-000092,-0.4104305128814161
ACH-000095,-0.4969357273503279
ACH-000097,-0.5442462345695988
ACH-000098,-0.7275631400268111
ACH-000099,-0.5712023200664699
ACH-000108,-0.7051413162988277
ACH-000113,-0.3907850226340774
ACH-000116,-0.6837501691354531
ACH-000118,-0.5727118421861171
ACH-000120,-0.403983303245826
ACH-000123,-0.4366800594704393
ACH-000127,-0.6518052647433267
ACH-000128,-0.6442386165715529
ACH-000132,-0.4965894233662195
ACH-000133,-0.5111711638499769
ACH-000137,-0.6487436143263663
ACH-000138,-0.6170734651168714
ACH-000142,-0.5032696378937952
ACH-000143,-0.44939759632347737
ACH-000146,-0.5001315736314004
ACH-000148,-0.5663741399351785
ACH-000150,-0.6018003656015626
ACH-000152,-0.5646683428901466
ACH-000153,-0.5527932052520906
ACH-000159,-0.4694970591838691
ACH-000160,-0.4167700131040222
ACH-000163,-0.6232260302663414
ACH-000167,-0.5963977480166667
ACH-000168,-0.5554856824917251
ACH-000169,-0.551043935481155
ACH-000178,-0.5458016650324639
ACH-000183,-0.6876684981942373
ACH-000188,-0.6600523937331925
ACH-000189,-0.4565839539828864
ACH-000190,-0.6857839363738348
ACH-000198,-0.4657121191425085
ACH-000203,-0.6975435758525399
ACH-000204,-0.6620205054422952
ACH-000206,-0.4726849757930613
ACH-000207,-0.3895000459522199
ACH-000208,-0.6218418837778206
ACH-000210,-0.5156248655018831
ACH-000211,-0.5216838404878015
ACH-000215,-0.5909900157690587
ACH-000221,-0.5731670247672641
ACH-000222,-0.6160176208589542
ACH-000223,-0.5332789333437168
ACH-000226,-0.5234722836460627
ACH-000227,-0.4575125157519859
ACH-000228,-0.6437432915607197
ACH-000231,-0.7397229974683142
ACH-000232,-0.5509563796446192
ACH-000233,-0.4868661815780238
ACH-000234,-0.3971365031690008
ACH-000235,-0.57891363380216
ACH-000237,-0.6914639245055754
ACH-000238,-0.6029826116359164
ACH-000242,-0.4161533920514191
ACH-000243,-0.606535362141977
ACH-000244,-0.5018368654216686
ACH-000246,-0.5212527287606026
ACH-000248,-0.5533695461599051
ACH-000250,-0.5626050039805257
ACH-000251,-0.5460858300453825
ACH-000252,-0.7368334688498821
ACH-000253,-0.5237329538060058
ACH-000255,-0.8652960455095879
ACH-000256,-0.6088447441250403
ACH-000257,-0.6456179615266747
ACH-000258,-0.6856671449341188
ACH-000259,-0.480781727818289
ACH-000260,-0.5232168712367309
ACH-000261,-0.5596552725227188
ACH-000262,-0.4872608591811448
ACH-000263,-0.3726224255076042
ACH-000264,-0.4521025580477301
ACH-000265,-0.4581987347404428
ACH-000266,-0.5677303449096229
ACH-000272,-0.5556390647375455
ACH-000274,-0.481246557644625
ACH-000277,-0.28454285972029714
ACH-000278,-0.9165170845160224
ACH-000279,-0.610907951550078
ACH-000280,-0.5923958182309895
ACH-000281,-0.5500797144388526
ACH-000288,-0.5963948364711107
ACH-000291,-0.5916186905255658
ACH-000293,-0.5197414232623726
ACH-000294,-0.5954982446702075
ACH-000295,-0.5467108608047572
ACH-000296,-0.4606303410390757
ACH-000302,-0.6380278115202321
ACH-000304,-0.5409571316997629
ACH-000307,-0.512204504977421
ACH-000308,-0.5558061230442696
ACH-000310,-0.3436959433734953
ACH-000311,-0.4929155875225496
ACH-000312,-0.6004184451980261
ACH-000315,-0.4704029799254145
ACH-000316,-0.6503365546430699
ACH-000317,-0.5805557467459477
ACH-000318,-0.6043642055222358
ACH-000319,-0.6929240748574383
ACH-000320,-0.5211933226065176
ACH-000322,-0.3934204610735679
ACH-000323,-0.7345060336178532
ACH-000324,-0.5681689785310053
ACH-000329,-0.4922021428755124
ACH-000330,-0.6178636067376208
ACH-000331,-0.5642929629215494
ACH-000332,-0.5190809345239698
ACH-000334,-0.5480822654833163
ACH-000335,-0.4864373703954423
ACH-000336,-0.6991673926741688
ACH-000337,-0.5337347085919568
ACH-000338,-0.6696895763683964
ACH-000339,-0.5499457866996798
ACH-000341,-0.4999135078991938
ACH-000348,-0.4602362021397037
ACH-000350,-0.2845024138819642
ACH-000352,-0.411975938543064
ACH-000356,-0.7188867538753742
ACH-000361,-0.6807832328812388
ACH-000362,-0.4139131663103327
ACH-000363,-0.4576217342527178
ACH-000364,-0.6108538887529719
ACH-000365,-0.4655843858095801
ACH-000366,-0.5893824557567617
ACH-000368,-0.5241240922930697
ACH-000374,-0.6888710665669922
ACH-000375,-0.4917754259185725
ACH-000376,-0.552391524963301
ACH-000381,-0.5581084609751095
ACH-000383,-0.4664753233448952
ACH-000387,-0.4682346416151738
ACH-000389,-0.6929702799716263
ACH-000390,-0.4944723071886893
ACH-000393,-0.7118288000410179
ACH-000395,-0.7052717818161873
ACH-000396,-0.6765993382961969
ACH-000397,-0.6520909771998721
ACH-000401,-0.7188096622583863
ACH-000402,-0.5803547202471467
ACH-000403,-0.35221313443331603
ACH-000404,-0.5693317616079777
ACH-000406,-0.5248240328400385
ACH-000407,-0.6935916315446631
ACH-000408,-0.5451264333560317
ACH-000410,-0.5504636715889624
ACH-000411,-0.4826648389588318
ACH-000414,-0.4457299099606674
ACH-000415,-0.6729240891673788
ACH-000416,-0.6633319004207104
ACH-000420,-0.5078657925426466
ACH-000421,-0.5576695712854219
ACH-000424,-0.5949260499041219
ACH-000425,-0.4669240097277599
ACH-000426,-0.5446198578139982
ACH-000427,-0.3707827397896633
ACH-000433,-0.5871427854770327
ACH-000435,-0.8747953099353895
ACH-000436,-0.455372250419446
ACH-000444,-0.6150179795849819
ACH-000445,-0.6333498358146917
ACH-000448,-0.4660164359622577
ACH-000450,-0.5395957603078516
ACH-000452,-0.6004776590067195
ACH-000454,-0.5124967999989215
ACH-000458,-0.4702301939843008
ACH-000459,-0.26007284933026376
ACH-000460,-0.4552280083888108
ACH-000461,-0.5132111347019082
ACH-000463,-0.4815829743410604
ACH-000464,-0.5459367615431118
ACH-000466,-0.6057417654332541
ACH-000467,-0.5954190557796847
ACH-000468,-0.5226154310497833
ACH-000469,-0.4841390959401174
ACH-000470,-0.4666650199760065
ACH-000471,-0.7338517436313527
ACH-000472,-0.4638047027411163
ACH-000473,-0.6434269319745949
ACH-000475,-0.4919014381905981
ACH-000476,-0.39568909703675853
ACH-000477,-0.5143324460098282
ACH-000479,-0.5413892598465458
ACH-000480,-0.5890913373357248
ACH-000481,-0.5863963517591478
ACH-000483,-0.4008550162924926
ACH-000484,-0.3256651310489486
ACH-000485,-0.4917656845147562
ACH-000486,-0.5116115976953619
ACH-000487,-0.3904530323638058
ACH-000488,-0.5382220361470279
ACH-000490,-0.5672025478380902
ACH-000491,-0.3583994888287821
ACH-000495,-0.5732863055177274
ACH-000496,-0.5917296713442339
ACH-000499,-0.5957606526992077
ACH-000500,-0.5694652424264636
ACH-000502,-0.4626300780042235
ACH-000503,-0.5135106318271067
ACH-000505,-0.45142514942701795
ACH-000507,-0.6590850603708858
ACH-000510,-0.567694479722366
ACH-000511,-0.5426495900004649
ACH-000512,-0.4903648731420166
ACH-000516,-0.5081660801520583
ACH-000517,-0.4357956851506444
ACH-000518,-0.4626057488624274
ACH-000520,-0.5447128472970588
ACH-000521,-0.5999309500196788
ACH-000522,-0.6452755580629186
ACH-000524,-0.4307564987323991
ACH-000527,-0.5318667072398408
ACH-000528,-0.7430214864827346
ACH-000537,-0.6664955313040306
ACH-000541,-0.5627070034883381
ACH-000542,-0.5269122172360957
ACH-000544,-0.4833927173084002
ACH-000545,-0.7136948471432764
ACH-000547,-0.6749058835034125
ACH-000548,-0.575669250251971
ACH-000549,-0.5426167242733563
ACH-000550,-0.5628603862807829
ACH-000552,-0.5302067006851282
ACH-000556,-0.3608642866824021
ACH-000557,-0.17728118909030088
ACH-000569,-0.5129301184876939
ACH-000570,-0.5907797226723049
ACH-000571,-0.319772887193025
ACH-000573,-0.6238436766069329
ACH-000576,-0.4588800012974303
ACH-000579,-0.3466521907910197
ACH-000580,-0.4915646708377751
ACH-000584,-0.6959048462819765
ACH-000585,-0.6756155725945171
ACH-000588,-0.4190710312247483
ACH-000589,-0.39427683540221947
ACH-000591,-0.4694020153243645
ACH-000593,-0.6547194004372745
ACH-000600,-0.4326342531037824
ACH-000601,-0.4878836699890629
ACH-000605,-0.6255584964868617
ACH-000606,-0.5159721887213903
ACH-000608,-0.4412628017022157
ACH-000614,-0.3139997991013269
ACH-000616,-0.6913626581632119
ACH-000618,-0.4971504102630653
ACH-000619,-0.6538356083369431
ACH-000620,-0.5198179057529381
ACH-000621,-0.5467866501290424
ACH-000622,-0.5803580295554228
ACH-000623,-0.5250482100500081
ACH-000624,-0.5689906536588384
ACH-000627,-0.5647597261949512
ACH-000630,-0.6080425973460887
ACH-000631,-0.5055253698859629
ACH-000632,-0.5373480655704456
ACH-000633,-0.4574580719935595
ACH-000637,-0.5848038226557336
ACH-000638,-0.5735194778561229
ACH-000646,-0.4014647340759324
ACH-000647,-0.5280798271643586
ACH-000648,-0.5839333263020193
ACH-000649,-0.5831786267990489
ACH-000651,-0.5812128736896952
ACH-000652,-0.6606990025650297
ACH-000653,-0.39869901535060176
