,OSGEP (55644)
ACH-000004,-1.2753294330648437
ACH-000005,-1.4641429933834496
ACH-000007,-1.4099713915225038
ACH-000009,-1.2558095850630244
ACH-000011,-1.2680442700813641
ACH-000012,-1.0165445632956671
ACH-000013,-1.2504620327194111
ACH-000014,-1.1921290773102644
ACH-000015,-1.3381826306360085
ACH-000017,-1.0089221381658866
ACH-000018,-0.9768383291638154
ACH-000019,-0.6260658498833237
ACH-000021,-0.9656315582716534
ACH-000022,-1.2936062397407673
ACH-000025,-1.1157566609711809
ACH-000028,-1.1980008951347527
ACH-000030,-1.1428103002968302
ACH-000035,-1.5026504368977232
ACH-000036,-1.211998491696522
ACH-000037,-1.2643320555397488
ACH-000039,-1.134128824825123
ACH-000040,-1.2594183317098349
ACH-000041,-1.4102094495819888
ACH-000042,-1.2753338589263654
ACH-000045,-1.0302814010740848
ACH-000047,-1.2767256717115298
ACH-000052,-1.119465482571977
ACH-000053,-1.1845805243836358
ACH-000054,-0.9967475550244004
ACH-000055,-1.1137968089473087
ACH-000060,-1.099998397816461
ACH-000067,-1.214227612934497
ACH-000070,-1.1810460455732468
ACH-000075,-0.9744229817786424
ACH-000078,-1.1375445716912538
ACH-000082,-0.7196479292773734
ACH-000085,-1.2910563576241323
ACH-000086,-1.2157826826156521
ACH-000087,-1.3565057491825323
ACH-000092,-1.2802466611004368
ACH-000095,-0.9480447791244536
ACH-000097,-1.3108158652367068
ACH-000098,-1.4399065635410078
ACH-000099,-1.2330121159582268
ACH-000108,-1.4169258915499543
ACH-000113,-1.124858877524891
ACH-000116,-1.1859528426009065
ACH-000118,-1.027082097427351
ACH-000120,-1.4255168242519862
ACH-000123,-1.0517884208948491
ACH-000127,-1.0413264377373477
ACH-000128,-1.0431345699837071
ACH-000132,-1.3651836620551612
ACH-000133,-1.0791699678264102
ACH-000137,-1.1591389455940375
ACH-000138,-1.1013639144902685
ACH-000142,-1.271710133759648
ACH-000143,-1.2787921913069744
ACH-000146,-1.1842699730827215
ACH-000148,-1.3758803029047395
ACH-000150,-1.160459836644663
ACH-000152,-1.2920182808628504
ACH-000153,-1.3367398553209513
ACH-000159,-1.2331216748997644
ACH-000160,-1.1468997176008904
ACH-000163,-1.1616643809378038
ACH-000167,-1.5456858967512643
ACH-000168,-1.211435953975625
ACH-000169,-1.3346835334897516
ACH-000178,-1.191999360380141
ACH-000183,-1.2648894662545402
ACH-000188,-1.0948105776679629
ACH-000189,-1.088605050965763
ACH-000190,-1.0425029906391654
ACH-000198,-1.0735053183771508
ACH-000203,-1.317187978172227
ACH-000204,-1.117886352348208
ACH-000206,-0.9666723799126696
ACH-000207,-0.6584530546705308
ACH-000208,-1.5317137601219641
ACH-000210,-1.2862673750791285
ACH-000211,-1.1063380896948043
ACH-000215,-1.20382750605731
ACH-000221,-1.2531545954699252
ACH-000222,-1.2551725640236988
ACH-000223,-0.9482182390048951
ACH-000226,-1.0191045940419383
ACH-000227,-0.6930512560434461
ACH-000228,-1.1804698865424958
ACH-000231,-1.1510375821888963
ACH-000232,-1.2481877642013697
ACH-000233,-1.0844995181169104
ACH-000234,-1.2472535144285353
ACH-000235,-1.2067969163221055
ACH-000237,-1.1584655854172017
ACH-000238,-1.0525046472072903
ACH-000242,-0.9386714302174808
ACH-000243,-1.2983788202158042
ACH-000244,-0.729941783027597
ACH-000246,-1.2497732491640148
ACH-000248,-1.1257677904081922
ACH-000250,-1.24846550494216
ACH-000251,-0.8784759970234033
ACH-000252,-1.279402185346689
ACH-000253,-1.3051810924328775
ACH-000255,-1.0890115393316968
ACH-000256,-1.1578437802009494
ACH-000257,-0.990949762454672
ACH-000258,-1.2567694621495014
ACH-000259,-1.242381778859529
ACH-000260,-1.2544616462477851
ACH-000261,-1.1615371068487028
ACH-000262,-1.0196999746159114
ACH-000263,-0.9090397916142552
ACH-000264,-1.1652989773230484
ACH-000265,-1.137025792541973
ACH-000266,-1.0243235874175076
ACH-000272,-1.1512658213696592
ACH-000274,-1.159843031267622
ACH-000277,-1.5169690810623273
ACH-000278,-1.2208367895766856
ACH-000279,-1.4049123111027606
ACH-000280,-1.2039508511726156
ACH-000281,-1.3487355865014876
ACH-000288,-1.179409174266663
ACH-000291,-1.3028883438915166
ACH-000293,-0.7778635674259072
ACH-000294,-1.3985766534792334
ACH-000295,-1.0391980730209391
ACH-000296,-1.3225816693855148
ACH-000302,-1.254822340087966
ACH-000304,-1.1148798407107114
ACH-000307,-1.1980523276314754
ACH-000308,-1.2749989043687229
ACH-000310,-0.7895455234384
ACH-000311,-1.095846848384734
ACH-000312,-1.136151964216368
ACH-000315,-1.130266941317153
ACH-000316,-1.1375678360654495
ACH-000317,-1.7120035812861707
ACH-000318,-1.2649397270880791
ACH-000319,-1.1239335075438779
ACH-000320,-1.3520353764584636
ACH-000322,-0.9162771903653
ACH-000323,-1.2154934350741975
