,IFT22 (64792)
ACH-000004,0.1163306044716216
ACH-000005,0.12716880443117135
ACH-000007,-0.28631556416973064
ACH-000009,-0.046931416101233546
ACH-000011,0.10860590917158716
ACH-000012,-0.2031772344286155
ACH-000013,0.03604408548911869
ACH-000014,0.04670890843348213
ACH-000015,-0.009864575504165295
ACH-000017,0.00023502705789276373
ACH-000018,0.004796789753924624
ACH-000019,-0.1008812317121496
ACH-000021,-0.3954130967154735
ACH-000022,-0.11766108701330713
ACH-000025,-0.12054205984292946
ACH-000028,-0.26137894875564205
ACH-000030,0.025696048083718438
ACH-000035,-0.07493137969802549
ACH-000036,-0.10510050313240668
ACH-000037,-0.2222346285815628
ACH-000039,0.009935325576741434
ACH-000040,-0.036945853287762766
ACH-000041,-0.06163100967259159
ACH-000042,-0.021159613082230647
ACH-000045,0.005299947253299345
ACH-000047,-0.1287067757951611
ACH-000052,-0.0820349024256652
ACH-000053,-0.049403004843407136
ACH-000054,-0.03561010211026423
ACH-000055,0.018476237598387457
ACH-000060,0.0492040885471495
ACH-000067,-0.21733773267906287
ACH-000070,-0.16938030154158346
ACH-000075,0.01141428604119565
ACH-000078,-0.046465710867715136
ACH-000082,-0.13793763323977148
ACH-000085,0.09756753419405434
ACH-000086,0.09787488005895273
ACH-000087,-0.22263633212615014
ACH-000092,0.08730409009996419
ACH-000095,0.0044678688199083025
ACH-000097,-0.0906257584227044
ACH-000098,-0.20315237009471385
ACH-000099,-0.05983009465130786
ACH-000108,-0.174141847071103
ACH-000113,0.047963519889952996
ACH-000116,-0.054173574401411406
ACH-000118,0.08201206803730607
ACH-000120,-0.08225825509679542
ACH-000123,-0.06341427437237156
ACH-000127,-0.06665594465183226
ACH-000128,-0.09534723384470828
ACH-000132,0.10131800508885264
ACH-000133,-0.034710221524823205
ACH-000137,-0.017860333609367455
ACH-000138,-0.0479173232747704
ACH-000142,-0.12770186495805064
ACH-000143,0.20675792930867606
ACH-000146,0.0686854949813258
ACH-000148,-0.1420847508180856
ACH-000150,0.07530188352959992
ACH-000152,0.007433190653922944
ACH-000153,-0.09290061460486887
ACH-000159,-0.19880609013917974
ACH-000160,-0.11697538436558386
