,IRS2 (8660)
ACH-000004,-0.5082941324649214
ACH-000005,-0.2036878808120867
ACH-000007,-0.8642683774164699
ACH-000009,-0.2781848578760325
ACH-000011,-0.09115141275070328
ACH-000012,-0.19506577980404627
ACH-000013,-0.2647361730171497
ACH-000014,-0.16349406999762633
ACH-000015,-0.3839202349560963
ACH-000017,-0.2582311434796436
ACH-000018,-0.08691382117658465
ACH-000019,-0.4507399279497787
ACH-000021,-0.1321639546901801
ACH-000022,-0.5738049136583709
ACH-000025,-0.17604123445244604
ACH-000028,-0.07964006326036653
ACH-000030,-0.37636421473910014
ACH-000035,-0.18474426073050887
ACH-000036,-0.1735079083082938
ACH-000037,-0.2320676911600999
ACH-000039,-0.8009143397194072
ACH-000040,-0.06987581765499436
ACH-000041,-0.995055885562604
ACH-000042,-0.5359235254412621
ACH-000045,-0.2371931683975158
ACH-000047,-0.5066445118800229
ACH-000052,-0.8858758070304356
ACH-000053,-0.18105762085557
ACH-000054,-0.33983346384339785
ACH-000055,-0.20495030206057424
ACH-000060,-0.5391388447954851
ACH-000067,-0.3424819641939857
ACH-000070,-0.33815383813850025
ACH-000075,-0.05394255225897592
ACH-000078,-0.7965548999004358
ACH-000082,-0.43554026163529946
ACH-000085,-0.44790836849703375
ACH-000086,-0.2910050413190977
ACH-000087,-0.7685953208680423
ACH-000092,-0.20777337426617656
ACH-000095,-0.6003101189845755
ACH-000097,-0.32347995760152193
ACH-000098,-0.2502025923281841
ACH-000099,-0.8096793521876234
ACH-000108,-0.44286286326846863
ACH-000113,-0.7322367184975106
ACH-000116,-0.1243639783950328
ACH-000118,-0.24003755491780265
ACH-000120,-0.31614713469655803
ACH-000123,-0.12932872338258214
ACH-000127,-0.40233570873619295
ACH-000128,-0.350349270063098
ACH-000132,-0.3605458781828013
ACH-000133,-0.6246087533760686
ACH-000137,-0.4589607928969453
ACH-000138,-0.20309395719812964
ACH-000142,-0.17933746954287286
ACH-000143,-0.17209315723957014
ACH-000146,-0.3654663762345899
ACH-000148,-0.17957209812852998
ACH-000150,-0.3793231272991687
ACH-000152,-0.3066078518009018
ACH-000153,-0.2452136364224036
ACH-000159,-0.3084887459692598
ACH-000160,-0.23548299847435025
ACH-000163,-0.41675653960270376
ACH-000167,-0.1618261412410961
ACH-000168,-0.6808778471229657
ACH-000169,-0.41821050950868427
ACH-000178,-0.25495539299566805
ACH-000183,-0.3286646845799115
ACH-000188,-0.3804722570537785
ACH-000189,-0.35232387163894124
ACH-000190,-0.20751638777730733
ACH-000198,-0.4078125697526304
ACH-000203,-0.4090739871475033
ACH-000204,-0.4319612692721733
ACH-000206,-0.2585407827176145
ACH-000207,-0.37176921095207177
ACH-000208,-0.1893388284626744
ACH-000210,-0.4369771100076913
ACH-000211,-0.2834137326593994
ACH-000215,-0.25060346279438583
ACH-000221,-0.0051890362076088365
ACH-000222,-0.4374089701189626
ACH-000223,-0.3361227694938527
