,ELMO2 (63916)
ACH-000004,-0.3919612814132856
ACH-000005,-0.3029215144175656
ACH-000007,-0.3893520204032765
ACH-000009,-0.09302946838664104
ACH-000011,-0.20262748173036926
ACH-000012,-0.0897676625085816
ACH-000013,-0.051633215823273904
ACH-000014,0.0011615014717169204
ACH-000015,-0.5335046926344855
ACH-000017,-0.2628211455652158
ACH-000018,-0.8371548623868561
ACH-000019,-0.07316317358193468
ACH-000021,-0.11598167444328905
ACH-000022,-0.12438509035640898
ACH-000025,-0.7920503901577657
ACH-000028,-0.17703544992433393
ACH-000030,-0.21847074248611997
ACH-000035,-0.436657161973508
ACH-000036,-0.5932228818419809
ACH-000037,-0.07071071203708676
ACH-000039,-0.17645462551124666
ACH-000040,-0.6795154327631998
ACH-000041,-0.14967759145821213
ACH-000042,-0.2943283939573622
ACH-000045,-0.19598590369628388
ACH-000047,-0.3142978384936549
ACH-000052,-0.14480878962873386
ACH-000053,-0.17254553525248995
ACH-000054,-0.2554911032304828
ACH-000055,0.002647472159326875
ACH-000060,-0.26747767251250537
ACH-000067,-0.7202058356210209
ACH-000070,-0.2789109839882548
ACH-000075,-0.12642538414683016
ACH-000078,-0.16427016472208314
ACH-000082,-0.5958633398076848
ACH-000085,-0.3630623310603058
ACH-000086,-0.4837575846434597
ACH-000087,-0.3822322407483627
ACH-000092,-0.5241378839296045
ACH-000095,-0.2947890417949228
ACH-000097,-0.2686796334460698
ACH-000098,-0.4346333307228028
ACH-000099,-0.35272872754564544
ACH-000108,-0.13163083714845314
ACH-000113,-0.2043882650951993
ACH-000116,-0.20842109869728145
ACH-000118,-0.11566637903574925
ACH-000120,-0.4037084887881109
ACH-000123,-0.2421465302089947
ACH-000127,-0.7981288517464865
ACH-000128,-0.14898677342979552
ACH-000132,-0.3945846273515553
ACH-000133,-0.6262601086750254
ACH-000137,-0.06183143230885669
ACH-000138,-0.08515345704529248
ACH-000142,-0.2395236753640015
ACH-000143,-0.2567901930929614
ACH-000146,-0.09366084429300657
ACH-000148,-0.2605948656845726
ACH-000150,-0.8006553686193334
ACH-000152,-0.5482055459004495
ACH-000153,-0.8645794418497458
ACH-000159,-0.34100433896364496
ACH-000160,-0.14655397196248424
ACH-000163,-0.1330512787488054
ACH-000167,-0.4438383373792957
ACH-000168,-0.4201329678953967
ACH-000169,-0.18251478781791927
ACH-000178,-0.730139460051093
ACH-000183,-0.200961494934918
ACH-000188,-0.1193245080571369
ACH-000189,-0.13380431370507384
ACH-000190,-0.27242067242095874
ACH-000198,-0.24116271462216676
ACH-000203,-0.5789037078656601
ACH-000204,-0.19738396195646213
ACH-000206,-0.4782267696512941
ACH-000207,-0.05483944358097178
ACH-000208,-0.4065991526118613
ACH-000210,-0.4894509162479205
ACH-000211,-0.17299259599828753
ACH-000215,-0.3743762938331637
ACH-000221,-0.18845857136735192
ACH-000222,-0.2939072651110252
ACH-000223,-0.12715507397481352
ACH-000226,-0.22222471639486446
ACH-000227,-0.2566870707313489
ACH-000228,-0.0199352179121677
ACH-000231,-0.2712474245408641
ACH-000232,-0.2962967900110509
ACH-000233,-0.16655361707240762
ACH-000234,-0.6713629459069336
ACH-000235,-0.206876984871279
ACH-000237,-0.3399959453017155
ACH-000238,-0.19209566666564148
ACH-000242,-0.3309904205451307
ACH-000243,-0.17292254741417146
ACH-000244,-0.6249395245395092
ACH-000246,-0.1644615908818904
ACH-000248,-0.27047392378969803
ACH-000250,-0.6622146895488098
ACH-000251,-0.2556451407558317
ACH-000252,-0.18677177371309853
ACH-000253,-0.17216388825388118
ACH-000255,-0.3913270990739693
ACH-000256,-0.27543247062134085
ACH-000257,-0.2873709674133374
ACH-000258,-0.1528954019566706
ACH-000259,-0.2021747729362302
ACH-000260,-0.4110801684283526
ACH-000261,-0.5005530754958021
ACH-000262,-0.16911564813496988
ACH-000263,-0.054881735754709206
ACH-000264,-0.5461609285286079
ACH-000265,-0.8130187598345463
ACH-000266,-0.2399136470702928
ACH-000272,-0.34884109276036457
ACH-000274,-0.6482413808697237
ACH-000277,-0.196451905108048
ACH-000278,-0.1433270317471225
ACH-000279,-0.01411678260148096
ACH-000280,-0.6445208412835206
ACH-000281,-0.5228331627467577
ACH-000288,-0.6655961182035264
ACH-000291,-0.41830392386064863
ACH-000293,-0.31038176305607285
ACH-000294,-0.03604984887063397
ACH-000295,-0.2293037797992416
ACH-000296,-0.4666829718987951
ACH-000302,-0.5063018612564173
ACH-000304,-0.4254256450709295
ACH-000307,-0.09214935872702656
ACH-000308,-0.1835596312014884
ACH-000310,-0.2803066288406504
ACH-000311,-0.1441291594112146
ACH-000312,-0.2712442224252362
ACH-000315,-0.2716012324168536
ACH-000316,-0.7058083045277156
ACH-000317,-0.3244273051140865
ACH-000318,-0.11793408135984647
ACH-000319,-0.5703781980880129
ACH-000320,-0.7785920009228511
ACH-000322,-0.4010507121674356
ACH-000323,-0.19733633572077175
ACH-000324,-0.5531298496979125
ACH-000329,-0.6694588221649361
ACH-000330,-0.4363436768605517
ACH-000331,-0.6931332307974231
ACH-000332,-0.21457470489124536
ACH-000334,-0.11246921200241324
ACH-000335,-0.4156821546672557
ACH-000336,-0.5570212912603189
ACH-000337,-0.3689660503955655
ACH-000338,-0.761305746741671
ACH-000339,-0.8497053307190147
ACH-000341,-0.11706920923846828
ACH-000348,-0.4536873474386101
ACH-000350,-0.0995540207620169
ACH-000352,-0.16941551172190075
ACH-000356,-0.2912635545882213
ACH-000361,-0.490769344047395
ACH-000362,-0.26706002412044866
ACH-000363,-0.1585539417496364
ACH-000364,-0.493046618574841
ACH-000365,-0.0991092163167705
ACH-000366,-0.21986848248570828
ACH-000368,-0.5475026159591999
ACH-000374,-0.16801420115377405
ACH-000375,-0.512106997913963
ACH-000376,-0.3555194252385689
ACH-000381,-0.18227822041526665
ACH-000383,-0.08300786588599611
ACH-000387,-0.25704132156038184
ACH-000389,-0.18091795459122945
ACH-000390,-0.0441234550241952
ACH-000393,-0.6894454961582523
ACH-000395,-0.3154002056190995
ACH-000396,-0.2366215505331401
ACH-000397,-0.15271965168681453
ACH-000401,-0.4759284894867133
ACH-000402,-0.0885285582322879
ACH-000403,-0.14925269079160533
ACH-000404,-0.1402955853540983
ACH-000406,-0.1279483576182298
ACH-000407,-0.7010397239182982
ACH-000408,-0.2920770832752265
ACH-000410,-0.14794896823802078
ACH-000411,-0.5682739871167726
ACH-000414,-0.3040380941912437
ACH-000415,-0.17199069224469968
ACH-000416,-0.6049698941543359
ACH-000420,-0.9407925973363809
ACH-000421,-0.08965555485017261
ACH-000424,-0.2908881627914791
ACH-000425,-0.3935386438789004
ACH-000426,-0.20431978836737733
ACH-000427,-0.3825770695195688
ACH-000433,-0.7947995017756542
ACH-000435,-0.051960456191822255
ACH-000436,-0.1868606023742086
ACH-000444,-0.6761946171517629
ACH-000445,-0.3730336621302296
ACH-000448,-0.0650015417999204
ACH-000450,0.1404003806347247
ACH-000452,-0.14979315725207484
ACH-000454,0.17699068460959205
ACH-000458,-0.4917297276938002
ACH-000459,-0.2503164225671381
ACH-000460,-0.10893565574742246
ACH-000461,-0.39165666002405736
ACH-000463,-0.2140948810331682
ACH-000464,-0.4356843849097379
ACH-000466,-0.29728502824006625
ACH-000467,-0.22297806670757644
ACH-000468,-0.9662483146431454
ACH-000469,-0.558223084645761
ACH-000470,-0.15581515299666274
ACH-000471,-0.8215134590773558
ACH-000472,-0.4912759702655963
ACH-000473,-0.3487817056788896
ACH-000475,-0.17579541552554975
ACH-000476,-0.6676974415360107
ACH-000477,-0.32030307399307784
ACH-000479,-0.4395682793859908
ACH-000480,-0.20126624401394716
ACH-000481,-0.0938001411417185
ACH-000483,-0.33432340894902113
ACH-000484,-0.13087532201519847
ACH-000485,-0.18214878547248475
ACH-000486,-0.18927919821081024
ACH-000487,-0.3114553426569359
ACH-000488,-0.18950509152378706
ACH-000490,-0.15662570121022995
ACH-000491,-0.25470570766764145
ACH-000495,-0.7321481892789985
ACH-000496,-0.20744898560951916
ACH-000499,-0.0332133194548459
ACH-000500,-0.3941369409571552
ACH-000502,-0.5180669066066336
ACH-000503,-0.09215527031405836
ACH-000505,-0.3982309714888182
ACH-000507,-0.10201876204692732
ACH-000510,-0.3619736083009641
ACH-000511,-0.9201331518374082
ACH-000512,-0.23892914924294656
ACH-000516,-0.5351506605823151
ACH-000517,-0.999700649087359
ACH-000518,-0.2173452965508112
ACH-000520,-0.6397460290168216
ACH-000521,-0.8174097594237933
ACH-000522,-0.9125102672674148
ACH-000524,-0.20607982891401275
ACH-000527,-0.5034072413411818
ACH-000528,-0.21888714036242188
ACH-000537,-0.8334627771090705
ACH-000541,-0.2025917023057786
ACH-000542,-0.9417983454100896
ACH-000544,-0.04119866922690674
ACH-000545,-0.13183851681555164
ACH-000547,-0.22085573227392832
ACH-000548,-0.18814782243671954
ACH-000549,-0.10292811299493757
ACH-000550,-0.6306569824258205
ACH-000552,-0.08939725066429774
ACH-000556,-0.29526494026930866
ACH-000557,-0.12445171785333285
ACH-000569,-0.3674259669331308
ACH-000570,-0.4364857565465894
ACH-000571,-0.5121956760008213
ACH-000573,-0.6258936478832849
ACH-000576,-0.1709885642049829
ACH-000579,-0.295284225045295
ACH-000580,-0.17496111925322755
ACH-000584,-0.04056172515444571
ACH-000585,-0.07663366431318956
ACH-000588,-0.19882549416966128
ACH-000589,-0.1576806856952322
ACH-000591,-0.5366974869674898
ACH-000593,-0.7656854727579244
ACH-000600,-0.0480313834216556
ACH-000601,-0.6771530109027392
ACH-000605,-0.08741806336945747
ACH-000606,-0.1696879380690102
ACH-000608,-0.13104540579216026
