,HOXC10 (3226)
ACH-000004,-0.4283273348495162
ACH-000005,-0.6050150309607785
ACH-000007,-0.3030981183548562
ACH-000009,-0.34249986542582056
ACH-000011,-0.4033476205239406
ACH-000012,-0.3777840762946825
ACH-000013,-0.5807868664229239
ACH-000014,-0.2867115498381665
ACH-000015,-0.4921929210607533
ACH-000017,-0.5088084227162066
ACH-000018,-0.5628530077630918
ACH-000019,-0.5044167340990816
ACH-000021,-0.22411852385004935
ACH-000022,-0.5663407434984875
ACH-000025,-0.546509347274914
ACH-000028,-0.4752390573071726
ACH-000030,-0.4183327912272479
ACH-000035,-0.31555447724450003
ACH-000036,-0.29844782615642845
ACH-000037,-0.4658316147214341
ACH-000039,-0.5176418945193535
ACH-000040,-0.4699537624200679
ACH-000041,-0.4727451246555706
ACH-000042,-0.18745250811315986
ACH-000045,-0.4188593135165798
ACH-000047,-0.4636813697712696
ACH-000052,-0.4286140735620372
ACH-000053,-0.3878335228134451
ACH-000054,-0.4217803494377201
ACH-000055,-0.34202840821513697
ACH-000060,-0.2812763610045904
ACH-000067,-0.5100104619144149
ACH-000070,-0.2800901450550787
ACH-000075,-0.5939783715652586
ACH-000078,-0.4635038108695062
ACH-000082,-0.35915119314100924
ACH-000085,-0.5558709144798922
ACH-000086,-0.5829140985182597
ACH-000087,-0.3115279351925478
ACH-000092,-0.4852183044582407
ACH-000095,-0.3824252415449687
ACH-000097,-0.35735923126365393
ACH-000098,-0.3765240198819721
ACH-000099,-0.4324651931025271
ACH-000108,-0.3020949233567474
ACH-000113,-0.3669487234478996
ACH-000116,-0.4465961759637511
ACH-000118,-0.4434635676054858
ACH-000120,-0.4992459677427069
ACH-000123,-0.3236646310842126
ACH-000127,-0.4959695282880423
ACH-000128,-0.6662686692681961
ACH-000132,-0.30630068047477743
ACH-000133,-0.4837053365228527
ACH-000137,-0.4565289754394477
ACH-000138,-0.5232708694637429
ACH-000142,-0.4976555848488049
ACH-000143,-0.4123804489910254
ACH-000146,-0.3884599484160652
ACH-000148,-0.4611907055933506
ACH-000150,-0.5148163347838975
ACH-000152,-0.5118214365912022
ACH-000153,-0.4624872073740939
ACH-000159,-0.4240545317566257
ACH-000160,-0.5430102479952754
ACH-000163,-0.42465094501037015
ACH-000167,-0.7426333790753703
ACH-000168,-0.5119419691362739
ACH-000169,-0.3810849795625997
ACH-000178,-0.30386641036174344
ACH-000183,-0.4181492216382241
ACH-000188,-0.3669836970012751
ACH-000189,-0.4196000739962866
ACH-000190,-0.3685441561783888
ACH-000198,-0.4289101660920761
ACH-000203,-0.3546575455548408
ACH-000204,-0.4939509036772404
ACH-000206,-0.5269224743804589
ACH-000207,-0.3643806021597324
ACH-000208,-0.4331148728258238
ACH-000210,-0.724946503184302
ACH-000211,-0.362803283554219
ACH-000215,-0.4189236363899175
ACH-000221,-0.4306619118040991
ACH-000222,-0.15360191784516186
ACH-000223,-0.3497866064927937
ACH-000226,-0.3497426620481698
ACH-000227,-0.2686779912011834
ACH-000228,-0.5020917415751163
ACH-000231,-0.5088629088203058
ACH-000232,-0.4661107848425106
ACH-000233,-0.6512050289136586
ACH-000234,-0.7472661025290195
ACH-000235,-0.4172926334571797
ACH-000237,-0.4882612833071086
ACH-000238,-0.42227601964807465
ACH-000242,-0.3611250958878301
ACH-000243,-0.4076531519094506
ACH-000244,-0.3767668730939783
ACH-000246,-0.3608409159742185
ACH-000248,-0.4503569436593325
ACH-000250,-0.3206956739159929
ACH-000251,-0.5260814307549606
ACH-000252,-0.337547032297047
ACH-000253,-0.4186607032645406
ACH-000255,-0.32584788095858275
ACH-000256,-0.5107606059191141
ACH-000257,-0.2630387694805754
ACH-000258,-0.3229869913964716
ACH-000259,-0.4007690367930834
ACH-000260,-0.4412471548318613
ACH-000261,-0.4889757666125691
ACH-000262,-0.3739106077158052
ACH-000263,-0.4227660170175093
ACH-000264,-0.3930864538036768
ACH-000265,-0.3365996944669434
ACH-000266,-0.3769441159799181
ACH-000272,-0.2803283194709789
ACH-000274,-0.4511730673378294
ACH-000277,-0.6278014363805395
ACH-000278,-0.6324183153634769
ACH-000279,-0.4298384055651123
ACH-000280,-0.4790117214983268
ACH-000281,-0.25901996921872883
ACH-000288,-0.4831684231426424
ACH-000291,-0.3252051090689242
ACH-000293,-0.3999306255094951
ACH-000294,-0.4501642072993517
ACH-000295,-0.4859020475214191
ACH-000296,-0.3958558509519162
