,PSRC1 (84722)
ACH-000004,-0.5441199642923604
ACH-000005,-0.36695706750838697
ACH-000007,-0.3213785801172321
ACH-000009,-0.2109252264037431
ACH-000011,-0.015198879413883072
ACH-000012,-0.537693962551485
ACH-000013,-0.2999037458205028
ACH-000014,-0.17843784618342606
ACH-000015,-0.21528271001001495
ACH-000017,-0.1772654836766656
ACH-000018,-0.2024994462855584
ACH-000019,-0.33792354414976344
ACH-000021,-0.2325946680357278
ACH-000022,-0.08334033066594873
ACH-000025,-0.17163557303027174
ACH-000028,-0.5060513669226026
ACH-000030,-0.2371198354603384
ACH-000035,-0.44689989488324106
ACH-000036,-0.2167202738449777
ACH-000037,0.03322714923479679
ACH-000039,-0.0077189798652758735
ACH-000040,-0.2253742459375944
ACH-000041,-0.019422734210959247
ACH-000042,-0.05765957081726804
ACH-000045,-0.19845665826833428
ACH-000047,-0.20501387271660107
ACH-000052,-0.07676553092188802
ACH-000053,-0.2420979627029552
ACH-000054,-0.1232453089591692
ACH-000055,-0.12960121187481488
ACH-000060,-0.13871426756827668
ACH-000067,-0.16494619165114247
ACH-000070,0.039800693458441665
ACH-000075,-0.2430503799510107
ACH-000078,-0.5701945469645872
ACH-000082,-0.14543087896473933
ACH-000085,-0.02794025216634777
ACH-000086,-0.3493843664959305
ACH-000087,-0.16775506159257747
ACH-000092,-0.3460050770135338
ACH-000095,-0.12391263919807545
ACH-000097,-0.16360076331700305
ACH-000098,-0.14252036288496198
ACH-000099,-0.4295056783516311
ACH-000108,-0.11104159242190964
ACH-000113,-0.10511115624026583
ACH-000116,-0.17360326294161535
ACH-000118,-0.3409126593684455
ACH-000120,-0.09992663666073424
ACH-000123,-0.19504293469598488
ACH-000127,-0.2036159294089264
ACH-000128,-0.18212584050946207
ACH-000132,-0.2542172877940915
ACH-000133,-0.15139117148142167
ACH-000137,-0.30656542215588795
ACH-000138,-0.17951760278630713
ACH-000142,-0.3366990681306341
ACH-000143,-0.17717511929625918
ACH-000146,-0.2433196413325228
ACH-000148,-0.16183951529727744
ACH-000150,-0.2207264659601909
ACH-000152,-0.17419350245407253
ACH-000153,-0.02122190610572796
ACH-000159,-0.2943507751409787
ACH-000160,0.15634827018915318
ACH-000163,-0.21285412733236253
ACH-000167,0.7835352470161149
ACH-000168,-0.16618104484858345
ACH-000169,-0.364302838791416
ACH-000178,-0.0719858815778263
ACH-000183,-0.20515890623809316
ACH-000188,-0.478722934593645
ACH-000189,-0.31224501771640484
ACH-000190,-0.27203269397321034
ACH-000198,-0.3009433169087045
ACH-000203,-0.26108405333725343
ACH-000204,-0.2360374560946191
ACH-000206,-0.22773795808009295
ACH-000207,-0.15375824361125626
ACH-000208,-0.06298222949046081
ACH-000210,-0.30389007638612203
ACH-000211,-0.10672245070235156
ACH-000215,-0.2494899895771795
ACH-000221,-0.5047348888588555
ACH-000222,-0.05426826807198542
ACH-000223,-0.1612659359856079
ACH-000226,-0.3155750580199383
ACH-000227,-0.212537713266784
ACH-000228,-0.3329744956696533
ACH-000231,-0.3480489298799158
ACH-000232,-0.12902425742732193
ACH-000233,-0.07395797730887002
ACH-000234,-0.18951143003618284
ACH-000235,-0.13772175464499375
ACH-000237,-0.4284325357435668
ACH-000238,-0.3632885343559444
ACH-000242,-0.2794538811064265
ACH-000243,-0.21637989814219247
ACH-000244,-0.07794043873563689
ACH-000246,-0.20407281140060668
ACH-000248,-0.2494388744068079
ACH-000250,-0.1410345988800648
ACH-000251,-0.4252175448916056
ACH-000252,-0.17312740264788354
ACH-000253,-0.13379287526096864
ACH-000255,-0.2319003043831573
ACH-000256,-0.15346395044975025
ACH-000257,-0.5645282017387995
ACH-000258,-0.1140159007021176
ACH-000259,-0.20662053167714955
ACH-000260,-0.4531190680167464
ACH-000261,-0.2912683783257218
ACH-000262,-0.16063668605551004
ACH-000263,-0.1424308301513847
ACH-000264,-0.2307583262993661
ACH-000265,-0.33294756670898434
ACH-000266,-0.1003731559456394
ACH-000272,-0.2910835313209446
ACH-000274,-0.03649840259986603
ACH-000277,-0.09686488675966402
ACH-000278,-0.2723083416641985
ACH-000279,-0.09639808989020808
ACH-000280,-0.2021256544524817
ACH-000281,0.08142103464152789
ACH-000288,-0.2123724032180916
ACH-000291,-0.3471836192170956
ACH-000293,-0.2523562000904312
ACH-000294,-0.2880350282786608
ACH-000295,-0.061993496216706225
ACH-000296,-0.3252467058870985
ACH-000302,-0.20816746294470026
ACH-000304,-0.2208038689632693
ACH-000307,-0.1499280153587588
ACH-000308,-0.3871086044591656
ACH-000310,-0.32868757528011994
ACH-000311,-0.03995147331959114
ACH-000312,-0.3154597380839886
ACH-000315,-0.2429847335486545
ACH-000316,-0.011442072289643198
ACH-000317,-0.17563807523485594
ACH-000318,-0.11272400644997715
ACH-000319,-0.2277709386746846
ACH-000320,-0.3112176125705737
ACH-000322,-0.2028697806828472
ACH-000323,-0.3304437226724439
ACH-000324,-0.22072713535541014
ACH-000329,-0.16834350415974578
ACH-000330,-0.20355062366170604
ACH-000331,-0.2814119109618066
ACH-000332,-0.21349538861882086
ACH-000334,-0.1372240351379868
ACH-000335,-0.4057415900743028
ACH-000336,-0.31064039903421736
ACH-000337,-0.23688526242930766
ACH-000338,-0.1835234264541044
ACH-000339,-0.265935185172103
ACH-000341,-0.3097938483164888
ACH-000348,-0.31087547668549176
ACH-000350,-0.12142744519762065
ACH-000352,-0.2086107137894135
ACH-000356,-0.2641380300222803
ACH-000361,-0.14434760765981602
ACH-000362,-0.34352903612851804
ACH-000363,-0.20113478394952072
ACH-000364,-0.3869152034163617
ACH-000365,-0.1488874735043668
ACH-000366,-0.3227962051770969
