,H2AFX (3014)
ACH-000004,-0.3135877655846792
ACH-000005,-0.7776327919625955
ACH-000007,-0.5892924793976161
ACH-000009,-0.451353872625913
ACH-000011,-0.8932526685560156
ACH-000012,-0.5303610244808995
ACH-000013,-0.32695352413677353
ACH-000014,-0.9698599926795836
ACH-000015,-0.4746508600071144
ACH-000017,-0.6243754369357707
ACH-000018,-0.4885311051509498
ACH-000019,-0.8308047758899441
ACH-000021,-0.3378045943880855
ACH-000022,-0.35075292415881143
ACH-000025,-0.8294051145156117
ACH-000028,-0.6647201389897155
ACH-000030,-0.524055388078312
ACH-000035,-0.5851237316956177
ACH-000036,-0.5818872000920636
ACH-000037,-0.6291702199178129
ACH-000039,-0.5202244804345426
ACH-000040,-0.6372481381230618
ACH-000041,-0.6334175531039732
ACH-000042,-0.2832673421328904
ACH-000045,-0.3624157360835378
ACH-000047,-0.7508257290934481
ACH-000052,-0.4169008790956945
ACH-000053,-0.4481984934465103
ACH-000054,-0.4283982691987154
ACH-000055,-0.3317507928453885
ACH-000060,-0.4203472843609827
ACH-000067,-0.3785758364736757
ACH-000070,-0.7114823383487185
ACH-000075,-0.7211317158457007
ACH-000078,-0.6267310341114232
ACH-000082,-0.42669963320737947
ACH-000085,-0.630485018884844
ACH-000086,-0.6183439614547204
ACH-000087,-0.5383416615423087
ACH-000092,-0.4019820798411676
ACH-000095,-0.4216138094694649
ACH-000097,-0.5276208433021359
ACH-000098,-0.38207711554102297
ACH-000099,-0.6027915982527821
ACH-000108,-0.4994948201882341
ACH-000113,-0.4887076509769552
ACH-000116,-0.7267514540188169
ACH-000118,-0.8747506522540187
ACH-000120,-0.5115477776648907
ACH-000123,-0.4232664791480433
ACH-000127,-0.4109198877026136
ACH-000128,-0.39613256590984935
ACH-000132,-0.7956458778780019
ACH-000133,-0.5378740129374335
ACH-000137,-0.8191471095053333
ACH-000138,-0.6173467526544708
ACH-000142,-0.5589430942445519
ACH-000143,-0.32100803948155954
ACH-000146,-0.472709826294741
ACH-000148,-0.5221308124883507
ACH-000150,-0.5158566615748732
ACH-000152,-0.3421099738098624
ACH-000153,-0.6908004243545316
ACH-000159,-0.550657878468397
ACH-000160,-0.2111325372823827
ACH-000163,-0.4318787238123916
ACH-000167,0.19971983937150348
ACH-000168,-0.4031078663678959
ACH-000169,-0.7514400728352654
ACH-000178,-0.6663684796718612
ACH-000183,-0.3285970734000406
ACH-000188,-0.8083330799425406
ACH-000189,-0.7522626116919164
ACH-000190,-0.1113702820039928
ACH-000198,-0.6857002954723072
ACH-000203,-0.2421423782588713
ACH-000204,-0.2850700304947507
ACH-000206,-0.8561720610335745
ACH-000207,-0.4543967545239072
ACH-000208,-0.4978898028331514
ACH-000210,-0.772441434158205
ACH-000211,-0.600450926384845
ACH-000215,-0.6243191553239796
ACH-000221,-0.6944481896594883
ACH-000222,-0.4347107252644832
ACH-000223,-0.4939426130816674
ACH-000226,-0.8202549001255126
ACH-000227,-0.2873292114195834
ACH-000228,-0.9299624119686551
ACH-000231,-0.59355208129615
ACH-000232,-0.5546498502672217
ACH-000233,-0.7106192467949705
