,CDC25C (995)
ACH-000004,-0.2595500811702491
ACH-000005,-0.2457678467856668
ACH-000007,-0.2372799259914185
ACH-000009,-0.3109274383848708
ACH-000011,-0.11254582527564902
ACH-000012,-0.12345535588115095
ACH-000013,-0.08925433042212537
ACH-000014,-0.2400759728525401
ACH-000015,-0.22743723386329195
ACH-000017,-0.07801450393793596
ACH-000018,-0.36265845305010863
ACH-000019,-0.2284608028043873
ACH-000021,-0.19875813260455985
ACH-000022,-0.20763307874667056
ACH-000025,0.06077292694459933
ACH-000028,-0.2267197743078998
ACH-000030,-0.27497376977594895
ACH-000035,-0.12426545863835252
ACH-000036,-0.23516622055326505
ACH-000037,-0.29880562315683873
ACH-000039,-0.2147448306578523
ACH-000040,-0.214848775151294
ACH-000041,-0.21593114458934634
ACH-000042,-0.303134476036484
ACH-000045,-0.14843217041767615
ACH-000047,-0.13734005831561424
ACH-000052,-0.1516588259440326
ACH-000053,-0.17687174526335792
ACH-000054,-0.23563924150638285
ACH-000055,-0.28869610112709904
ACH-000060,-0.3512453759392765
ACH-000067,-0.2529688334254575
ACH-000070,-0.11431302641209268
ACH-000075,-0.3407233904968568
ACH-000078,-0.15367727992701025
ACH-000082,-0.13565855112863612
ACH-000085,-0.2341699923090321
ACH-000086,-0.1347948911560615
ACH-000087,-0.16996376562815793
ACH-000092,-0.15896204359436278
ACH-000095,-0.13249328276053493
ACH-000097,-0.20098401283753325
ACH-000098,-0.21404912713242244
ACH-000099,-0.2614293780523573
ACH-000108,-0.2428411676295926
ACH-000113,-0.15929660808916754
ACH-000116,-0.21856577369612945
ACH-000118,-0.15232547302782262
ACH-000120,-0.20662200023129745
ACH-000123,-0.24366747694017696
ACH-000127,-0.2567098162526127
ACH-000128,-0.3268352408121061
ACH-000132,-0.2486417539474267
ACH-000133,-0.1572901735167423
ACH-000137,-0.22130606189185986
ACH-000138,-0.25244350917032465
ACH-000142,-0.2162541518621234
ACH-000143,-0.13767897719159874
ACH-000146,-0.1644213136696923
ACH-000148,-0.14320543324777174
ACH-000150,-0.3187638273489961
ACH-000152,-0.2132599425660432
ACH-000153,0.034851068513147745
ACH-000159,-0.21299023568576714
ACH-000160,-0.2392072549729203
ACH-000163,-0.10680722986148083
ACH-000167,-0.13133076217707254
ACH-000168,-0.17412913116932952
ACH-000169,-0.16566600801580034
ACH-000178,-0.18618548138048652
ACH-000183,-0.105169574708809
ACH-000188,-0.2394806039316145
ACH-000189,0.111363233153194
ACH-000190,-0.3820498407524249
ACH-000198,-0.11712291268464688
ACH-000203,-0.5891820883995048
ACH-000204,-0.14944116259733214
ACH-000206,-0.1976098983141612
ACH-000207,-0.19013180964605786
ACH-000208,-0.1633632151454011
ACH-000210,-0.21744990406269668
ACH-000211,-0.209115045639806
ACH-000215,-0.20218281435140653
ACH-000221,-0.12695173136484222
ACH-000222,-0.13863187908702407
ACH-000223,-0.24621500244209515
ACH-000226,-0.27410287429782604
ACH-000227,-0.18473200869207285
ACH-000228,-0.08730744178692469
ACH-000231,-0.246158037099818
ACH-000232,-0.2744863539857731
ACH-000233,-0.28007266335170994
ACH-000234,-0.2719920504298388
ACH-000235,-0.33910722122000697
ACH-000237,-0.1262763118127772
ACH-000238,-0.1329013627332992
ACH-000242,-0.12051249275848418
ACH-000243,-0.18998410778025768
ACH-000244,-0.1823232603890955
ACH-000246,-0.17287501037269348
ACH-000248,-0.27452773348711274
ACH-000250,-0.29495581527619874
ACH-000251,-0.3869723961306566
ACH-000252,-0.2455638753443562
ACH-000253,-0.25382118887199384
ACH-000255,-0.17875680400843985
ACH-000256,-0.09848896047513107
ACH-000257,-0.25251143306729346
ACH-000258,-0.3894123801724321
ACH-000259,-0.2416895480404069
ACH-000260,-0.2560687934269244
ACH-000261,-0.2759020906372965
ACH-000262,-0.2838362647054087
ACH-000263,-0.13574710260383435
ACH-000264,-0.21941190971454355
ACH-000265,-0.16752145086674894
ACH-000266,-0.23969632252825296
ACH-000272,-0.23595388280337395
ACH-000274,-0.15016174473139535
ACH-000277,-0.21453610054007144
ACH-000278,-0.12543458566592158
