,VPS37C (55048)
ACH-000004,-0.2891239592646327
ACH-000005,-0.5062962177421716
ACH-000007,-0.4138525868229847
ACH-000009,-0.26397380731137376
ACH-000011,-0.2466372168073881
ACH-000012,-0.2097106431355278
ACH-000013,-0.3832065718183309
ACH-000014,-0.12021056682423928
ACH-000015,-0.2757430415548219
ACH-000017,-0.31121804990302515
ACH-000018,-0.2702361992204169
ACH-000019,-0.4848636961623946
ACH-000021,-0.3871102153673475
ACH-000022,-0.4127155268220592
ACH-000025,-0.4562347432311053
ACH-000028,-0.3753638960963337
ACH-000030,-0.4199811909488181
ACH-000035,-0.43004875957405736
ACH-000036,-0.3724085746829692
ACH-000037,-0.4658087316628236
ACH-000039,-0.3057199518861972
ACH-000040,-0.5215158207740308
ACH-000041,-0.4773158730382454
ACH-000042,-0.2639065663053893
ACH-000045,-0.33467074899524984
ACH-000047,-0.3463448587920405
ACH-000052,-0.5890174303035276
ACH-000053,-0.3187192037266996
ACH-000054,-0.2859690925258123
ACH-000055,-0.4553191055110216
ACH-000060,-0.322891122580039
ACH-000067,-0.12783072301885687
ACH-000070,-0.48167431840842895
ACH-000075,-0.5441345700232515
ACH-000078,-0.3140527822504817
ACH-000082,-0.4837328789461865
ACH-000085,-0.4378418712475805
ACH-000086,-0.38845841271825393
ACH-000087,-0.405340421984959
ACH-000092,-0.4087455375311359
ACH-000095,-0.4241772128242646
ACH-000097,-0.34166569356461113
ACH-000098,-0.3403047216373337
ACH-000099,-0.2520312340247846
ACH-000108,-0.3569453063196363
ACH-000113,-0.40443709477341466
ACH-000116,-0.4514494796129585
ACH-000118,-0.3944865925439604
ACH-000120,-0.2093828695092198
ACH-000123,-0.5023499870697755
ACH-000127,-0.269826700247266
ACH-000128,-0.20166627064221693
ACH-000132,-0.4573787352108625
ACH-000133,-0.3487283781008373
ACH-000137,-0.2798858498040911
ACH-000138,-0.3034900610206434
ACH-000142,-0.2636250474483838
ACH-000143,-0.3898876154009481
ACH-000146,-0.37892598158694296
ACH-000148,-0.34176610259346396
ACH-000150,-0.3284482723519894
ACH-000152,-0.3345189070600346
ACH-000153,-0.4212440836755331
ACH-000159,-0.21525769130281772
ACH-000160,-0.2589595281717585
ACH-000163,-0.483381600183775
ACH-000167,-0.2262758485487427
ACH-000168,-0.3952938052645481
ACH-000169,-0.4320614388536031
ACH-000178,-0.26188914207188424
ACH-000183,-0.5525633919497447
ACH-000188,-0.5789529178197077
ACH-000189,-0.4188655564167032
ACH-000190,-0.2721229478789894
ACH-000198,-0.3896439483828139
ACH-000203,-0.5494967957840579
ACH-000204,-0.4040486376124709
ACH-000206,-0.19739760236088474
ACH-000207,-0.3689939395576216
