,RXFP4 (339403)
ACH-000004,-0.03606712559046015
ACH-000005,-0.026370856951579126
ACH-000007,-0.017783847392454966
ACH-000009,-0.22607423905210375
ACH-000011,0.09912023694382388
ACH-000012,-0.12543614300422465
ACH-000013,-0.10580535904244656
ACH-000014,-0.01324625213431802
ACH-000015,0.01959085493523576
ACH-000017,-0.04686390009710637
ACH-000018,0.058668369171655625
ACH-000019,0.04236816545955542
ACH-000021,-0.09894971065141027
ACH-000022,-0.008376294379687463
ACH-000025,-0.06590901889744079
ACH-000028,0.04996253864693685
ACH-000030,0.04348772624670324
ACH-000035,-0.04601875141858172
ACH-000036,0.030021759384727436
ACH-000037,-0.12914286676568132
ACH-000039,0.042452811498759256
ACH-000040,0.04652143121298319
ACH-000041,0.02717520722543
ACH-000042,0.014897789118767612
ACH-000045,0.0229302417250743
ACH-000047,0.052514183274668065
ACH-000052,-0.2914892320595415
ACH-000053,0.025733352372321654
ACH-000054,-0.0312706577782088
ACH-000055,0.004602920594242018
ACH-000060,-0.013628051137843405
ACH-000067,0.014971317748923085
ACH-000070,-0.010383915868479976
ACH-000075,-0.016634969934119538
ACH-000078,-0.13898507985195202
ACH-000082,-0.062354569011693325
ACH-000085,0.00890232264157108
ACH-000086,-0.2416201842459356
ACH-000087,-0.016943541303511757
ACH-000092,-0.03942333694375113
ACH-000095,0.044403299113141344
ACH-000097,-0.07481941260262646
ACH-000098,-0.033766142936772166
ACH-000099,0.024336466771997585
ACH-000108,0.05542496291544642
ACH-000113,-0.01770020047011222
ACH-000116,-0.1003939746722942
ACH-000118,-0.055269164865656036
ACH-000120,-0.12495146935793375
ACH-000123,-0.06197654228133034
ACH-000127,-0.00625950737030876
ACH-000128,-0.0011033632659632633
ACH-000132,-0.08260387248073378
ACH-000133,-0.051738458212305764
ACH-000137,-0.03148671806873246
ACH-000138,-0.03632174461778773
ACH-000142,-0.0030017060894172204
ACH-000143,0.02775351077481367
ACH-000146,0.034824618015270065
ACH-000148,-0.11715591447944318
ACH-000150,-0.09771679077260803
ACH-000152,-0.05074104215949751
ACH-000153,0.06637482931601946
ACH-000159,-0.05820586710290356
ACH-000160,0.008573301377584889
ACH-000163,-0.1387262708112383
ACH-000167,0.22871293656037425
ACH-000168,0.052006138626612866
ACH-000169,-0.039887453079564525
ACH-000178,0.04326200171762186
ACH-000183,-0.1456260046270654
ACH-000188,-0.047601335445525236
ACH-000189,-0.19615747028852187
ACH-000190,-0.17516391277040086
ACH-000198,-0.08357361077588166
ACH-000203,-0.18465372185439968
ACH-000204,-0.2206768640072427
ACH-000206,-0.030497732521509013
ACH-000207,0.1605149090029308
ACH-000208,-0.2049613201579017
ACH-000210,-0.0905085633056468
ACH-000211,0.05527889572759647
ACH-000215,-0.12256067146512485
ACH-000221,-0.11120676974340847
ACH-000222,-0.15308698770980605
ACH-000223,-0.12331314480833652
ACH-000226,0.06848331312063442
ACH-000227,-0.023143596477398047
ACH-000228,-0.12121585774142794
ACH-000231,-0.021039766987753884
ACH-000232,-0.09692700224614928
ACH-000233,0.055226170600930415
ACH-000234,0.09956251905600913
ACH-000235,-0.05652436240551852
ACH-000237,0.054045391522142834
