,HNRNPC (3183)
ACH-000004,-0.5734392580374014
ACH-000005,-0.8372113024412056
ACH-000007,-0.8515733617512187
ACH-000009,-0.7267167050340932
ACH-000011,-0.8795355921929818
ACH-000012,-0.7993987097866867
ACH-000013,-0.8203105318870026
ACH-000014,-0.8703515871018901
ACH-000015,-0.5862254341739779
ACH-000017,-0.5655536500308169
ACH-000018,-0.8231199734676161
ACH-000019,-0.5673441111157107
ACH-000021,-0.6050482907354237
ACH-000022,-0.6029174914371194
ACH-000025,-0.8941260006678121
ACH-000028,-0.8929388844942884
ACH-000030,-0.919570815006176
ACH-000035,-0.9388831085902349
ACH-000036,-0.6818495544399046
ACH-000037,-0.7868239856729394
ACH-000039,-0.6748597953008948
ACH-000040,-0.6900170589610243
ACH-000041,-0.8940018578127682
ACH-000042,-0.5071761590586908
ACH-000045,-0.9330402198563442
ACH-000047,-0.8027868406502255
ACH-000052,-0.5516469873637372
ACH-000053,-0.713115731121376
ACH-000054,-0.7584251803408291
ACH-000055,-0.6643831479925315
ACH-000060,-0.7258821078303361
ACH-000067,-0.7310566836286679
ACH-000070,-0.5129889355690384
ACH-000075,-0.7917331771216063
ACH-000078,-0.6114707153213724
ACH-000082,-0.7256169648861069
ACH-000085,-1.0319252386162896
ACH-000086,-0.8170153527277463
ACH-000087,-0.8909552157624712
ACH-000092,-0.6013298231099014
ACH-000095,-0.7743145295083347
ACH-000097,-0.7801727410266592
ACH-000098,-0.6281017235133849
ACH-000099,-0.5516613971908968
ACH-000108,-0.8044979422407396
ACH-000113,-0.7741646957314942
ACH-000116,-0.5861963135364052
ACH-000118,-0.7100276849727833
ACH-000120,-0.8022412862440782
ACH-000123,-0.8056247107730329
ACH-000127,-0.8210148137912692
ACH-000128,-0.7928922161497671
ACH-000132,-0.8308104434155086
ACH-000133,-0.6272451231831855
ACH-000137,-0.9458713870250254
ACH-000138,-0.5322272331304299
ACH-000142,-0.7403907435419437
ACH-000143,-0.7451911570166612
ACH-000146,-0.534381959631682
ACH-000148,-0.6631849051608765
ACH-000150,-0.8349453020939351
ACH-000152,-0.8486013313761614
ACH-000153,-0.5985390009971759
ACH-000159,-0.6527797023734988
ACH-000160,-0.4219941640037529
ACH-000163,-0.5552516011730372
ACH-000167,2.885879490450476
