,RPL10A (4736)
ACH-000004,-1.0504881269791932
ACH-000005,-1.3244319398949864
ACH-000007,-1.3618224246243675
ACH-000009,-1.2447566774311092
ACH-000011,-1.4384754996454885
ACH-000012,-1.31332342854508
ACH-000013,-1.2813315137621537
ACH-000014,-1.230137532062605
ACH-000015,-1.089571419443349
ACH-000017,-1.1214098114061908
ACH-000018,-1.179465579615
ACH-000019,-1.0255911166075815
ACH-000021,-1.1339539524327078
ACH-000022,-1.2197108745720893
ACH-000025,-1.1037779475049956
ACH-000028,-1.193874855231584
ACH-000030,-1.3628590529637463
ACH-000035,-1.144496792146288
ACH-000036,-1.3899645503795213
ACH-000037,-0.9941816027630612
ACH-000039,-1.2670243907927885
ACH-000040,-1.2558139481612771
ACH-000041,-1.3623027391432891
ACH-000042,-1.245713867898718
ACH-000045,-1.1978797891644295
ACH-000047,-1.2981566214661444
ACH-000052,-1.2665615802249186
ACH-000053,-1.251995749778617
ACH-000054,-1.3014261533673477
ACH-000055,-1.3671282339937252
ACH-000060,-1.2634788679972802
ACH-000067,-1.4027048813851275
ACH-000070,-1.315538884627339
ACH-000075,-1.2615629110689002
ACH-000078,-1.2573659265171362
ACH-000082,-1.1686779391575983
ACH-000085,-1.526416372356818
ACH-000086,-1.1291827275038862
ACH-000087,-0.9849459710758288
ACH-000092,-1.1715465702336945
ACH-000095,-1.2549447946223842
ACH-000097,-1.3494719433265177
ACH-000098,-1.3097738659715288
ACH-000099,-1.2609862735767396
ACH-000108,-1.359817093709593
ACH-000113,-1.02554003890119
ACH-000116,-1.3002559611592186
ACH-000118,-1.2698264026914994
ACH-000120,-1.1107061796134208
ACH-000123,-1.5260635113320675
ACH-000127,-1.2971067544012531
ACH-000128,-1.245818474218508
ACH-000132,-1.350478637058782
ACH-000133,-1.3112876411775625
ACH-000137,-1.2285112916625884
ACH-000138,-1.4015007435967552
ACH-000142,-1.1339737610165266
ACH-000143,-1.0061676062951077
ACH-000146,-1.2328099837859636
ACH-000148,-1.3258205128909872
ACH-000150,-1.2327180559933315
ACH-000152,-1.140887669980323
ACH-000153,-1.29078852000461
ACH-000159,-1.2061316656308638
ACH-000160,-1.1289841578047943
ACH-000163,-1.2703231245268027
ACH-000167,-0.6310435886220646
ACH-000168,-1.3808224921309429
ACH-000169,-1.3945479815916724
ACH-000178,-1.2215112695308703
ACH-000183,-1.373519659283171
ACH-000188,-1.141592788039704
ACH-000189,-1.2377688013940242
ACH-000190,-1.4067879101748328
ACH-000198,-1.1835187751655685
ACH-000203,-1.121731726921574
ACH-000204,-1.2008316838588768
ACH-000206,-1.3733711892952951
ACH-000207,-1.1999401583142884
ACH-000208,-1.0113519318010389
ACH-000210,-1.6407927787736842
ACH-000211,-1.1325013808657696
ACH-000215,-1.158479330280464
ACH-000221,-1.4317184334201445
ACH-000222,-1.2404387662781755
ACH-000223,-1.179809297818044
ACH-000226,-1.0748740809886859
ACH-000227,-1.6442733286698408
ACH-000228,-1.2534022398030515
ACH-000231,-1.3011738309422185
ACH-000232,-1.260804281729771
ACH-000233,-1.2024201289200924
ACH-000234,-1.4981909157133046
ACH-000235,-1.2055216525895638
ACH-000237,-1.1855566532683492
ACH-000238,-1.0908608990205138
ACH-000242,-1.6046166635152803
ACH-000243,-1.2095335417460311
ACH-000244,-1.329250298855462
ACH-000246,-1.3761996240894772
ACH-000248,-1.241863526040758
ACH-000250,-1.367250570640665
ACH-000251,-1.3594618952302748
