,DNM2 (1785)
ACH-000004,-1.2438082374731123
ACH-000005,-1.736413602057117
ACH-000007,-0.9067946311237912
ACH-000009,-0.8295309965840032
ACH-000011,-0.3496714621272562
ACH-000012,-1.1341296040483375
ACH-000013,-0.5755311827096732
ACH-000014,-1.2046961331927553
ACH-000015,-0.8686263962967231
ACH-000017,-1.2183838526463993
ACH-000018,-1.1170818832451823
ACH-000019,-1.0606187329208905
ACH-000021,-1.2045019798821073
ACH-000022,-0.8980415275151891
ACH-000025,-0.9148340982664324
ACH-000028,-0.7294253852300492
ACH-000030,-1.1182003033995171
ACH-000035,-1.1562472482693256
ACH-000036,-0.8993081480885783
ACH-000037,-0.7041716969040827
ACH-000039,-1.231750765846749
ACH-000040,-0.9424082989008596
ACH-000041,-1.080922787500813
ACH-000042,-0.6347528495900939
ACH-000045,-0.955377467896766
ACH-000047,-0.6240707223814833
ACH-000052,-0.7662804290015488
ACH-000053,-1.3262529665058365
ACH-000054,-0.8710963296293237
ACH-000055,-0.8753644150581511
ACH-000060,-0.560343418336389
ACH-000067,-0.7099570156253016
ACH-000070,-0.8088504031691057
ACH-000075,-0.5941334861693275
ACH-000078,-0.42680765977981705
ACH-000082,-0.6649952490976878
ACH-000085,-1.124141719734093
ACH-000086,-0.8541810676325033
ACH-000087,-0.9586350266307216
ACH-000092,-0.7983535178208803
ACH-000095,-0.547274671149018
ACH-000097,-1.0944980879859365
ACH-000098,-0.951698822483032
ACH-000099,-0.2790160932828992
ACH-000108,-0.96020971596634
ACH-000113,-1.0532428781994194
ACH-000116,-1.1367561874125562
ACH-000118,-0.850675782574958
ACH-000120,-0.4181374708197229
ACH-000123,-0.8665659999982279
ACH-000127,-1.0589239325057436
ACH-000128,-0.3971082361943495
ACH-000132,-0.8909814053523097
ACH-000133,-1.0460165324549786
ACH-000137,-0.7435873107784585
ACH-000138,-1.19541760664767
ACH-000142,-1.1215152510723798
ACH-000143,-0.5785964990706146
ACH-000146,-1.5431334242833368
ACH-000148,-0.6851224931472886
ACH-000150,-1.0608229047389828
ACH-000152,-1.1057561290020548
ACH-000153,-0.741862417073844
ACH-000159,-0.6981568529859494
