,MBTD1 (54799)
ACH-000004,-0.0318778877018336
ACH-000005,-0.2889899655626174
ACH-000007,-0.36343756792949017
ACH-000009,-0.4301824124419841
ACH-000011,-0.5637775139397755
ACH-000012,-0.4519385103754972
ACH-000013,-0.2725498467169523
ACH-000014,-0.23071341968274636
ACH-000015,-0.20881653474036266
ACH-000017,-0.3762453429831748
ACH-000018,-0.2570733608762092
ACH-000019,-0.35690337146077045
ACH-000021,-0.2131091702427885
ACH-000022,-0.2492163132789384
ACH-000025,-0.2523223042161336
ACH-000028,-0.3060045014315654
ACH-000030,-0.3279616730566389
ACH-000035,-0.3028031279940317
ACH-000036,-0.3928029386807043
ACH-000037,-0.16539762572094285
ACH-000039,-0.3352202968107213
ACH-000040,-0.13673459743031122
ACH-000041,-0.06969226472765185
ACH-000042,-0.4237545984888329
ACH-000045,-0.40469839279484215
ACH-000047,-0.4985209504271302
ACH-000052,-0.44448042848987
ACH-000053,-0.4148946654075944
ACH-000054,-0.3749869920698305
ACH-000055,-0.22480773150541888
ACH-000060,-0.32561511500865625
ACH-000067,-0.2137978911739627
ACH-000070,-0.3750742238897539
ACH-000075,-0.26642956251404826
ACH-000078,-0.3361647911117384
ACH-000082,-0.3783586414269406
ACH-000085,-0.3783434222768947
ACH-000086,-0.16693745448306502
ACH-000087,-0.2577283296887307
ACH-000092,-0.2703823809631122
ACH-000095,-0.4491890422450296
ACH-000097,-0.6392759751951
ACH-000098,-0.2755466168922111
ACH-000099,-0.5287745176666968
ACH-000108,-0.3105415020223985
ACH-000113,-0.4826498118584402
ACH-000116,-0.3447934573643919
ACH-000118,-0.18461409915182603
ACH-000120,-0.3491667581711549
ACH-000123,-0.10085020246424044
ACH-000127,-0.2591954862466904
ACH-000128,-0.19388568597282504
ACH-000132,-0.04739076040789999
ACH-000133,-0.10207750532144157
ACH-000137,-0.293734004718872
ACH-000138,-0.4500480993558358
ACH-000142,-0.37902813919586
ACH-000143,-0.2818054217357612
ACH-000146,-0.1900805863468695
ACH-000148,-0.1566023974184275
ACH-000150,-0.3712917069472865
ACH-000152,-0.3585358565112872
ACH-000153,-0.09066786398027407
ACH-000159,-0.2738160984619652
ACH-000160,0.04022252171758138
ACH-000163,-0.3991055743912339
ACH-000167,0.08638030937212646
ACH-000168,-0.21819485082252987
ACH-000169,-0.15111643657260793
ACH-000178,-0.2844708355644673
ACH-000183,-0.2885918919943541
ACH-000188,-0.2316014448751253
ACH-000189,-0.13759667502944392
ACH-000190,-0.11489933288470006
ACH-000198,-0.3149545870251883
ACH-000203,-0.5328199959594248
ACH-000204,-0.3718897635459984
ACH-000206,-0.18546573646726094
ACH-000207,-0.4196871771268128
ACH-000208,-0.3726404061072746
ACH-000210,-0.05178876040195539
ACH-000211,-0.1791937975764017
ACH-000215,-0.2947968551996791
ACH-000221,-0.16948642447699505
ACH-000222,-0.14400104178645598
ACH-000223,-0.17465752408401825
