,LURAP1L (286343)
ACH-000004,-0.4627218363091453
ACH-000005,0.016336514242135204
ACH-000007,-0.08832880763793849
ACH-000009,0.0770363722376078
ACH-000011,0.1754632829785719
ACH-000012,0.20070437562640275
ACH-000013,0.188208499431347
ACH-000014,0.13994656229386251
ACH-000015,0.16205441685912153
ACH-000017,0.21690513436346948
ACH-000018,0.3428536310054467
ACH-000019,0.09327904053218553
ACH-000021,0.1824209140356063
ACH-000022,-0.038150105592914575
ACH-000025,0.09288597115673496
ACH-000028,0.3019514732286394
ACH-000030,0.05621608516655677
ACH-000035,0.08412474093900685
ACH-000036,0.13486926688302892
ACH-000037,0.2449805414790146
ACH-000039,-0.12402296347463912
ACH-000040,0.14545128028272633
ACH-000041,0.1292647985924982
ACH-000042,0.1920779760984069
ACH-000045,0.11841606157796465
ACH-000047,0.0581628040988462
ACH-000052,0.043785361972778825
ACH-000053,0.16219909419790546
ACH-000054,0.177576493908598
ACH-000055,0.29024088666998515
ACH-000060,0.2204673990612212
ACH-000067,0.07864266565018457
ACH-000070,0.2625755914888129
ACH-000075,0.14245026492949034
ACH-000078,0.1464367101730938
ACH-000082,0.10211824827929172
ACH-000085,0.04827524580382001
ACH-000086,0.15221264145485278
ACH-000087,0.1561924906373433
ACH-000092,0.09359907509818677
ACH-000095,0.14042245947286974
ACH-000097,0.13284099499756666
ACH-000098,0.10300681066868324
ACH-000099,0.08114918675836327
ACH-000108,0.17983462627667762
ACH-000113,0.06375703743005172
ACH-000116,0.13892156778178574
ACH-000118,0.1495494873213623
ACH-000120,0.16077363086735896
ACH-000123,0.041942226780169234
ACH-000127,0.10321110634544528
ACH-000128,0.18259374764908065
ACH-000132,0.09451384299442338
ACH-000133,0.06529810668770536
ACH-000137,0.1522948330046401
ACH-000138,0.0736841602833733
ACH-000142,0.2162752771223848
ACH-000143,0.14048503790081654
ACH-000146,0.0998261668440068
ACH-000148,-0.0052691580999518935
ACH-000150,0.04348835827376892
ACH-000152,0.10419524860920364
ACH-000153,0.07074843276663305
ACH-000159,0.14771892677424442
ACH-000160,0.13962939073633673
ACH-000163,0.02112325337867855
ACH-000167,0.3067410668665449
ACH-000168,0.06487849753979033
ACH-000169,0.18192540858126915
ACH-000178,0.15759807739792142
ACH-000183,0.002320500583099766
ACH-000188,0.12208663456065395
ACH-000189,0.13862545651518188
ACH-000190,-0.03185956289711546
ACH-000198,0.1286384444724802
ACH-000203,0.4248535396129944
ACH-000204,0.3332649202580471
ACH-000206,-0.01571146697980083
ACH-000207,0.06462243735092997
