,ICE2 (79664)
ACH-000004,-0.4728811388750931
ACH-000005,-0.3826129298768732
ACH-000007,-1.0209981859247952
ACH-000009,-0.5928000051172192
ACH-000011,-0.41651471366745335
ACH-000012,-0.890508013960976
ACH-000013,-0.3889508479273711
ACH-000014,-0.5246569227597534
ACH-000015,-0.3672758316666454
ACH-000017,-0.3858460896718137
ACH-000018,-0.5334394508369116
ACH-000019,-0.5105342071212063
ACH-000021,-0.21263184073439276
ACH-000022,-0.6018084741636703
ACH-000025,-0.4740475998354866
ACH-000028,-0.8534510233543784
ACH-000030,-0.8163326334620854
ACH-000035,-0.5357181366819072
ACH-000036,-0.7764978934856896
ACH-000037,-1.0551886803254154
ACH-000039,-0.245882001790047
ACH-000040,-0.4126504233758554
ACH-000041,-0.2445788092324949
ACH-000042,-0.5292751203250992
ACH-000045,-0.44374676702414
ACH-000047,-0.8267593210106982
ACH-000052,-0.8677988897929612
ACH-000053,-0.2369534949692877
ACH-000054,-0.4415849680146738
ACH-000055,-0.6802232781547078
ACH-000060,-1.0846907175469933
ACH-000067,-1.088367509438458
ACH-000070,-0.5245577599113141
ACH-000075,-0.452484336924866
ACH-000078,-0.30610005986424604
ACH-000082,-0.7172477348052411
ACH-000085,-0.2909477261450426
ACH-000086,-0.8950050920560331
ACH-000087,-0.3981568945357473
ACH-000092,-0.4188278821109592
ACH-000095,-0.14153111526892947
ACH-000097,-1.0271995118252248
ACH-000098,-0.5048528504253592
ACH-000099,-0.3104787078282493
ACH-000108,-0.5045432327121591
ACH-000113,-0.6392003688085126
ACH-000116,-0.7667211807331731
ACH-000118,-0.3485024009797676
ACH-000120,-0.44890167471652426
ACH-000123,-0.3837166883804872
ACH-000127,-0.2220588411402769
ACH-000128,-0.6400695196685625
ACH-000132,-0.4980643390712289
ACH-000133,-0.32320722809484403
ACH-000137,-0.5114336871757689
ACH-000138,-0.4227167584802701
ACH-000142,-0.5752482730614554
ACH-000143,-0.3047050544371721
ACH-000146,-0.7519829005602114
ACH-000148,-0.5411798794147288
ACH-000150,-0.35293414961494296
ACH-000152,-0.6263363711912865
ACH-000153,-0.29338844280285675
ACH-000159,-0.2605959053704212
ACH-000160,-0.38562604437323
ACH-000163,-0.4667486265878343
ACH-000167,-0.4415715786627987
ACH-000168,-0.4293177329193519
ACH-000169,-0.7745571307505235
ACH-000178,-0.6214392841568093
ACH-000183,-0.19469365066099228
ACH-000188,-0.8354558273988945
ACH-000189,-0.40892000481870455
ACH-000190,-0.4236372647085437
ACH-000198,-0.5086376708567907
ACH-000203,-0.6430639594489753
ACH-000204,-0.4179515720308644
ACH-000206,-0.4176678455519148
ACH-000207,-0.4351384215445522
ACH-000208,-0.7591479594094767
ACH-000210,-0.21386029285762587
ACH-000211,-0.6464310951034351
ACH-000215,-0.5951063720295678
ACH-000221,-0.6347996179946335
ACH-000222,-0.3981142022255229
ACH-000223,-0.6047856282773288
ACH-000226,-0.3839600583027737
ACH-000227,-0.24842706661183356
ACH-000228,-0.6763693625731771
ACH-000231,-0.4265641300284747
ACH-000232,-0.7658782004329064
ACH-000233,-0.19059286154044952
ACH-000234,-0.6225393227734602
ACH-000235,-0.4139490326717678
ACH-000237,-0.9991735972312142
ACH-000238,-0.4645628044500701
ACH-000242,-0.44737337267961147
ACH-000243,-0.926491698040018
ACH-000244,-0.6016427380267717
ACH-000246,-0.8293384271061525
ACH-000248,-0.4958142367944585
ACH-000250,-0.9164066592869032
ACH-000251,-0.5576901707375149
ACH-000252,-0.36282635836552507
ACH-000253,-0.1978662146229211
ACH-000255,-0.6884368825221199
ACH-000256,-0.5318579599067732
ACH-000257,-0.6657249234189112
ACH-000258,-0.4984390969323501
ACH-000259,-0.20810549177954926
ACH-000260,-1.0126455616914956
ACH-000261,-0.2732352975999812
ACH-000262,-0.6914258248642228
ACH-000263,-0.44600611213828256
ACH-000264,-0.1704298762850913
