,SF1 (7536)
ACH-000004,-1.146393225497276
ACH-000005,-1.3778212449758604
ACH-000007,-1.2507336295532758
ACH-000009,-1.1773928871409998
ACH-000011,-1.2986405186750485
ACH-000012,-1.228387763391212
ACH-000013,-1.1271449385534642
ACH-000014,-1.1729280161134141
ACH-000015,-1.2112273069234651
ACH-000017,-1.0284818979281678
ACH-000018,-1.2839382152368717
ACH-000019,-1.3500818498657028
ACH-000021,-1.2844560560165752
ACH-000022,-1.2383975465057695
ACH-000025,-1.3985343100555891
ACH-000028,-1.1889342144771864
ACH-000030,-1.2557181164933735
ACH-000035,-1.2017882125025798
ACH-000036,-1.3020030010747825
ACH-000037,-1.5644267868127408
ACH-000039,-1.0775150478250737
ACH-000040,-1.223147275963833
ACH-000041,-1.208803923816152
ACH-000042,-1.1586525225766464
ACH-000045,-1.2554619362469868
ACH-000047,-1.1457595402923275
ACH-000052,-1.2762026082680422
ACH-000053,-1.2136579250112658
ACH-000054,-1.1391335069624655
ACH-000055,-1.2552845016534508
ACH-000060,-1.3663569624040413
ACH-000067,-1.1200326783660404
ACH-000070,-1.1294379446559173
ACH-000075,-1.354664837896309
ACH-000078,-1.1680822338307442
ACH-000082,-1.1766738015019207
ACH-000085,-1.26593561342589
ACH-000086,-1.3199867721735359
ACH-000087,-1.2270178526093831
ACH-000092,-1.1635785525391085
ACH-000095,-1.3406652542030562
ACH-000097,-1.3949454523631342
ACH-000098,-1.1813613106943444
ACH-000099,-1.3428284154761734
ACH-000108,-1.2315122168561112
ACH-000113,-1.2746117397887955
ACH-000116,-1.2902255833678804
ACH-000118,-1.1384405475766934
ACH-000120,-1.3559932820150469
ACH-000123,-1.3079112481371558
ACH-000127,-1.3851918846504134
ACH-000128,-1.1809161400102963
ACH-000132,-1.2715491265007912
ACH-000133,-1.3072839111233359
ACH-000137,-1.189848204164461
ACH-000138,-1.2434947981533866
ACH-000142,-1.3401514254319795
ACH-000143,-1.4263262798889018
ACH-000146,-1.1586736822045371
ACH-000148,-1.2949147962565548
ACH-000150,-1.3022714995252291
ACH-000152,-1.1936522487585786
ACH-000153,-1.1988856773281409
ACH-000159,-1.1627080120648958
ACH-000160,-0.9038831646943584
ACH-000163,-1.1613371874579652
ACH-000167,-1.349332685463292
ACH-000168,-1.0659908345026308
ACH-000169,-1.3622663974789953
ACH-000178,-1.1645313307434366
ACH-000183,-1.4577245542451365
ACH-000188,-1.2314868102047714
ACH-000189,-1.3364652185772572
ACH-000190,-0.980172365456936
ACH-000198,-1.1477188799610183
ACH-000203,-1.5535111721890025
ACH-000204,-1.0021048967236164
ACH-000206,-1.1744129916250592
ACH-000207,-1.3485114713532609
ACH-000208,-1.4015179790129877
ACH-000210,-1.590914093782769
ACH-000211,-1.1688155160321874
ACH-000215,-1.2811427246023388
ACH-000221,-1.4214420984753209
ACH-000222,-1.1361134603612202
ACH-000223,-1.3583749886336105
ACH-000226,-1.2936190548795283
ACH-000227,-1.3304703287347357
ACH-000228,-1.0373358672620727
ACH-000231,-1.3544736434169582
ACH-000232,-1.21213046196868
ACH-000233,-1.4091103057641534
ACH-000234,-1.2102365780731874
ACH-000235,-1.2016898722322031
ACH-000237,-1.1534948230702249
ACH-000238,-1.2945779286248629
ACH-000242,-1.065787131667637
ACH-000243,-1.0820742914783583
ACH-000244,-1.3154064822364262
ACH-000246,-1.2394162161217328
ACH-000248,-1.289175123715538
ACH-000250,-1.3161746669355359
ACH-000251,-1.0514620102185888
ACH-000252,-1.1272423532723517
ACH-000253,-1.2255295226383351
ACH-000255,-1.0621024405868045
ACH-000256,-1.3266378518910802
ACH-000257,-1.2445897126200185
ACH-000258,-1.0847328295066967
ACH-000259,-1.3551508835699693
ACH-000260,-1.122236577481795
ACH-000261,-1.282113908982443
ACH-000262,-1.2830743703766914
ACH-000263,-1.276261164613529
ACH-000264,-1.388800489624297
ACH-000265,-1.2299558744233117
ACH-000266,-1.145005797848849
ACH-000272,-1.282955505048687
ACH-000274,-1.1801985221586069
ACH-000277,-1.4445698486159138
ACH-000278,-0.969944637688826
ACH-000279,-1.3950797255573508
ACH-000280,-1.1987725672827592
ACH-000281,-1.1762757679443254
ACH-000288,-1.4199405870537718
ACH-000291,-1.3595209726794255
ACH-000293,-1.2147323650322617
ACH-000294,-0.8774266742301414
ACH-000295,-1.1812140776464608
ACH-000296,-1.0805182815238596
ACH-000302,-1.117827363820416
ACH-000304,-1.3559598543286857
ACH-000307,-1.19341647923234
ACH-000308,-1.3587822265528822
ACH-000310,-1.2075761034690893
ACH-000311,-1.1923671777793612
ACH-000312,-1.2393450043553491
ACH-000315,-1.3623725954682364
ACH-000316,-1.2182535274754316
ACH-000317,-1.26750705345534
ACH-000318,-1.2436116880701416
ACH-000319,-1.300162722992498
ACH-000320,-1.3337339010724532
ACH-000322,-1.5298720943206499
ACH-000323,-1.028294712421758
ACH-000324,-1.3303879586014014
ACH-000329,-1.3734222316980678
ACH-000330,-1.4730872015573653
ACH-000331,-1.2089841389099647
ACH-000332,-1.1407812108789763
ACH-000334,-1.1896934276606643
ACH-000335,-1.3912532136074376
ACH-000336,-0.9886381372117088
ACH-000337,-1.1428806694535207
ACH-000338,-1.6659216997391098
ACH-000339,-1.2077689579652802
ACH-000341,-1.2273035743113498
ACH-000348,-1.1584255591561432
ACH-000350,-1.3177810910843275
ACH-000352,-1.3882915448194155
ACH-000356,-1.4046546427628488
ACH-000361,-1.4185867342206864
ACH-000362,-1.1276972705467936
ACH-000363,-1.26263881198798
ACH-000364,-1.3419395677611894
ACH-000365,-1.2935309884546835
ACH-000366,-1.3627231013433798
ACH-000368,-1.603674059616134
ACH-000374,-1.3090509702782016
ACH-000375,-1.2084296134309318
ACH-000376,-1.2261622169933288
ACH-000381,-1.3542044722966795
ACH-000383,-1.1145160999437371
ACH-000387,-1.2005470041245705
ACH-000389,-1.2539307554655859
ACH-000390,-1.3337233299751252
ACH-000393,-1.2654512942866452
ACH-000395,-1.4219708494539802
ACH-000396,-1.2331352224410776
ACH-000397,-1.236335481225962
ACH-000401,-1.2758925779401329
ACH-000402,-1.0581150706840932
ACH-000403,-1.2248657953268782
ACH-000404,-1.2953051934579816
ACH-000406,-1.246783101019039
ACH-000407,-1.3503673998758046
ACH-000408,-1.3372526040721653
ACH-000410,-1.1969563425505598
ACH-000411,-1.2222695561940573
ACH-000414,-1.2886815775367348
ACH-000415,-1.3226711270002314
ACH-000416,-1.261928378969832
ACH-000420,-1.1616529801460491
ACH-000421,-1.2178425843727276
ACH-000424,-1.275314055445947
ACH-000425,-1.4301286330003318
ACH-000426,-1.0705367711042617
ACH-000427,-1.2564211636208955
ACH-000433,-1.3178920880619136
ACH-000435,-1.217779286625641
ACH-000436,-1.2907501206254872
ACH-000444,-1.1499610583796465
ACH-000445,-1.5403482703878024
ACH-000448,-1.3209498701410554
ACH-000450,-1.639985022699531
ACH-000452,-1.2662896947608009
ACH-000454,-1.1669181645635776
ACH-000458,-1.0615676483426375
ACH-000459,-1.444412336836875
ACH-000460,-1.24186073865988
ACH-000461,-1.2507879321720197
ACH-000463,-1.1897373542499767
ACH-000464,-1.098189679287425
ACH-000466,-1.3127671160427783
ACH-000467,-1.3464188124095058
ACH-000468,-1.1925040697279985
ACH-000469,-1.3302321538631592
ACH-000470,-1.2819803164047188
ACH-000471,-1.3624099293703797
ACH-000472,-1.1944470736881407
ACH-000473,-1.243178603795423
ACH-000475,-1.1788833130462504
ACH-000476,-1.300241566067156
ACH-000477,-1.248401640888355
ACH-000479,-1.3625164339497078
ACH-000480,-1.143837334448451
ACH-000481,-1.2921111782105972
ACH-000483,-1.3562775641166231
ACH-000484,-1.293186624954864
ACH-000485,-1.2584498181548471
ACH-000486,-1.2804664980963874
ACH-000487,-1.258288259832271
ACH-000488,-1.2232307028508649
ACH-000490,-1.3202091244540295
ACH-000491,-1.4257272646081949
ACH-000495,-1.3805956001355582
ACH-000496,-1.4058730195936575
ACH-000499,-1.2770785687519604
ACH-000500,-1.2639939691536637
ACH-000502,-1.2387591327697085
ACH-000503,-1.2699897787278784
ACH-000505,-1.0496645602334749
ACH-000507,-1.3136075784229555
ACH-000510,-1.3042418024579323
ACH-000511,-1.2562735242422751
ACH-000512,-1.1490907463879672
ACH-000516,-1.0695529771885257
ACH-000517,-1.3754968498917242
ACH-000518,-1.3715103095645984
ACH-000520,-1.3799500253522503
ACH-000521,-1.5144730365979229
ACH-000522,-1.3379964597249734
ACH-000524,-1.2067107682351264
ACH-000527,-1.1240597147065332
ACH-000528,-1.294072778988493
ACH-000537,-1.5478374496229212
ACH-000541,-1.1688487578313769
ACH-000542,-1.2552145885186257
ACH-000544,-1.2788564248291667
ACH-000545,-1.1596158371487468
ACH-000547,-1.0572045459544657
ACH-000548,-1.2515357783408905
ACH-000549,-1.1481599808954124
ACH-000550,-1.3060343851162275
ACH-000552,-1.2647915256395246
ACH-000556,-1.161513833586126
ACH-000557,-1.185371354251207
ACH-000569,-1.5018012087087949
ACH-000570,-1.1945908276710686
ACH-000571,-1.290913329158501
ACH-000573,-1.3589419320760905
ACH-000576,-0.9529567726012088
ACH-000579,-1.1906343126531835
ACH-000580,-1.5285751819480464
ACH-000584,-1.2994184271039215
ACH-000585,-1.2736538543643003
ACH-000588,-1.3596954119131432
ACH-000589,-1.2750686628271977
ACH-000591,-1.2197154295937054
ACH-000593,-1.2999108917994795
ACH-000600,-1.2480088351762118
ACH-000601,-1.3476395358684057
ACH-000605,-1.2532372622362915
ACH-000606,-1.1418943383344988
ACH-000608,-1.2289297304553963
ACH-000614,-1.4238683534195082
ACH-000616,-1.260148212164814
ACH-000618,-1.3148759688084133
ACH-000619,-1.3044305119566124
ACH-000620,-1.3828571123243312
ACH-000621,-1.2840464876656328
ACH-000622,-1.439273184243181
ACH-000623,-1.373490286558854
ACH-000624,-1.2545894237427329
ACH-000627,-1.2174356520378071
ACH-000630,-1.1022592737384156
ACH-000631,-0.8313058038192738
ACH-000632,-1.177779257279079
ACH-000633,-1.2998643403451509
ACH-000637,-1.1152434330312728
ACH-000638,-1.3314644906833077
ACH-000646,-1.2346305816938916
ACH-000647,-1.2338981629775383
ACH-000648,-1.23827159905511
ACH-000649,-1.2702268497275857
ACH-000651,-1.2348357780866406
ACH-000652,-1.2792178599539117
ACH-000653,-1.2975791994818155
ACH-000657,-1.268171450299853
ACH-000658,-1.243057654317572
ACH-000661,-1.2536438405957422
ACH-000662,-1.6672188729908946
ACH-000663,-1.1625213588734733
ACH-000665,-1.3072535508373897
ACH-000671,-1.1783755471556956
ACH-000672,-1.4596320604535211
ACH-000673,-1.2485416722806415
ACH-000676,-1.4034369653267724
ACH-000677,-1.002046766425967
ACH-000681,-1.0428985777537585
ACH-000683,-1.430536769344335
ACH-000684,-1.4193032430073818
ACH-000688,-1.4352655378993628
ACH-000693,-1.2621405103344054
ACH-000694,-1.3982486744673746
ACH-000695,-1.2560007653964351
ACH-000696,-1.1651476226572963
ACH-000697,-1.4249003298770406
ACH-000699,-1.3667369097361963
ACH-000701,-1.2191123406542037
ACH-000706,-1.2293080102491645
ACH-000711,-1.3051252768395003
ACH-000713,-1.2502478591815682
ACH-000714,-1.149044658996874
ACH-000718,-1.3776788300828198
ACH-000720,-1.2703109036000189
ACH-000721,-1.3167320810348198
ACH-000724,-1.3631945962377665
ACH-000725,-1.4343114671111898
ACH-000732,-1.0916192072854756
ACH-000734,-1.1819897319858177
ACH-000735,-0.9593923852576512
ACH-000736,-1.3003438091669068
ACH-000738,-1.2927573577133489
ACH-000746,-1.0219014601483714
ACH-000747,-1.3601293748702914
ACH-000748,-1.2292870616786993
ACH-000753,-1.3070337656595148
ACH-000756,-1.2205729529361589
ACH-000757,-1.3130739356235626
ACH-000758,-1.2232138675946038
ACH-000760,-1.0659352456861657
ACH-000762,-1.169162493566897
ACH-000763,-1.1468656180051622
ACH-000764,-1.2199518316067768
ACH-000765,-1.2808772067562917
ACH-000766,-1.1077178551781102
ACH-000767,-1.1737112982081577
ACH-000768,-1.2176802477060984
ACH-000769,-1.228486736999199
ACH-000770,-1.2488460956644185
ACH-000771,-1.0888858501520162
ACH-000773,-1.1273041279702336
ACH-000776,-1.2229224248292574
ACH-000777,-1.3199341970506815
ACH-000778,-1.2570768009159667
ACH-000781,-1.4700994401597227
ACH-000782,-1.2905523763279585
ACH-000783,-1.6754125210592232
ACH-000784,-1.2208645012996366
ACH-000785,-1.5387727430715616
ACH-000787,-1.1685203576732774
ACH-000788,-1.267810835018922
ACH-000791,-1.1526037492679857
ACH-000792,-1.3484853019773204
ACH-000794,-1.2129994877486463
ACH-000796,-1.3479241870058871
ACH-000798,-1.3188588838203772
ACH-000799,-1.3870600887192437
ACH-000800,-1.1868262893109849
ACH-000802,-1.4351696601288568
ACH-000804,-1.320118963785875
ACH-000805,-1.1980812483507726
ACH-000809,-1.2026163848367155
ACH-000810,-1.2465760434071764
ACH-000811,-1.42753815752046
ACH-000817,-1.093099861479404
ACH-000819,-1.2274818890559438
ACH-000820,-1.2510292916017811
ACH-000821,-0.987111554513608
ACH-000822,-1.4698028795720903
ACH-000823,-1.2685764089442484
ACH-000824,-1.1752579440190485
ACH-000827,-1.2640342265652245
ACH-000829,-1.2585851144111433
