,PRELID1 (27166)
ACH-000004,-1.3153085039306065
ACH-000005,-1.4047100129153698
ACH-000007,-1.4758736551232774
ACH-000009,-1.4433362825414005
ACH-000011,-1.2488519316305309
ACH-000012,-1.4674495251586899
ACH-000013,-1.4542347496351822
ACH-000014,-1.5029606651217766
ACH-000015,-1.2377058084219406
ACH-000017,-1.3479624877228502
ACH-000018,-1.374701198424243
ACH-000019,-1.2275820683816427
ACH-000021,-1.2547526899024162
ACH-000022,-1.2004506796109036
ACH-000025,-1.334244583692408
ACH-000028,-1.2848555434353572
ACH-000030,-1.3831684324497129
ACH-000035,-1.381014160716611
ACH-000036,-1.26448537125954
ACH-000037,-1.6054576224696853
ACH-000039,-1.3536646912064851
ACH-000040,-1.3933756881078148
ACH-000041,-1.3922401736818804
ACH-000042,-1.2036209593545295
ACH-000045,-1.369716470695411
ACH-000047,-1.2608811956276202
ACH-000052,-1.3492446914456824
ACH-000053,-1.4926777480368385
ACH-000054,-1.3046252975178831
ACH-000055,-1.2937498524354436
ACH-000060,-1.341306189923223
ACH-000067,-1.1729833719821132
ACH-000070,-1.3742484783664388
ACH-000075,-1.4522051609705502
ACH-000078,-1.2711129744368872
ACH-000082,-1.3664733802781794
ACH-000085,-1.4411742903984373
ACH-000086,-1.2632782734585482
ACH-000087,-1.3796310365124047
ACH-000092,-1.2169113469879769
ACH-000095,-1.3314859862571249
ACH-000097,-1.375987187522504
ACH-000098,-1.4104158543733802
ACH-000099,-1.2041315947983564
ACH-000108,-1.3754881711533988
ACH-000113,-1.1247490047672382
ACH-000116,-1.403644496635992
ACH-000118,-1.1997360908884642
ACH-000120,-1.3701234386345316
ACH-000123,-1.3070463775697565
ACH-000127,-1.2055668867680092
ACH-000128,-1.216118496233657
ACH-000132,-1.2996045528843558
ACH-000133,-1.31484253801259
ACH-000137,-1.6573124349914643
ACH-000138,-1.3803051815288647
ACH-000142,-1.379291684357261
ACH-000143,-1.4274729924906675
ACH-000146,-1.5062628253642334
ACH-000148,-1.3625423298683688
ACH-000150,-1.3056866465252548
ACH-000152,-1.3667348362556075
ACH-000153,-1.2188363891268097
ACH-000159,-1.2953745378339372
ACH-000160,-1.474495959361532
ACH-000163,-1.2768796220101442
ACH-000167,-2.4124021428263527
ACH-000168,-1.387704016959761
ACH-000169,-1.4874390825242991
ACH-000178,-1.2920294518779207
ACH-000183,-1.4551245416173042
ACH-000188,-1.293174354654954
ACH-000189,-1.2478066023060137
ACH-000190,-1.064088262129566
ACH-000198,-1.2138534014772913
ACH-000203,-1.1291108307225888
ACH-000204,-1.4756193636162835
ACH-000206,-1.1935431693092768
ACH-000207,-1.1963397297851488
ACH-000208,-1.1214453962504505
ACH-000210,-1.4256575646084402
ACH-000211,-1.3241105296635385
ACH-000215,-1.3303634605618295
ACH-000221,-1.489713159960074
ACH-000222,-1.4872932772676537
ACH-000223,-1.3557114695677683
ACH-000226,-1.3479628430551596
ACH-000227,-1.2133292174853143
ACH-000228,-1.4121289279808793
ACH-000231,-1.2527058754565428
ACH-000232,-1.1312998247786723
ACH-000233,-1.3648549074716512
ACH-000234,-1.2024046153393064
ACH-000235,-1.3227439624755517
ACH-000237,-1.1558232884648274
ACH-000238,-1.4337900769174508
ACH-000242,-1.617010299490694
ACH-000243,-1.3956145987604212
ACH-000244,-1.31624096101906
ACH-000246,-1.1171228051932407
ACH-000248,-1.2664357939593895
ACH-000250,-1.242512438607478
ACH-000251,-1.3808322505685475
ACH-000252,-1.0338915375063231
ACH-000253,-1.1514301609592157
ACH-000255,-1.146613139390667
ACH-000256,-1.2132336466104856
ACH-000257,-1.5883721380787987
ACH-000258,-1.075313989115114
ACH-000259,-1.4178328797095634
ACH-000260,-1.5220491867599948
ACH-000261,-1.1869541609072556
ACH-000262,-1.3525228886664935
ACH-000263,-1.2472236911001833
ACH-000264,-1.3930848980129589
ACH-000265,-1.3462166619724496
ACH-000266,-1.2823982567010606
ACH-000272,-1.1694497389558025
ACH-000274,-1.4478909940754328
ACH-000277,-1.3347543576051144
ACH-000278,-1.374662864665607
ACH-000279,-1.3150870096932186
ACH-000280,-1.4209071092619947
ACH-000281,-1.205453042291896
ACH-000288,-1.3586055036092972
ACH-000291,-1.327092924357366
ACH-000293,-1.4665750319582047
ACH-000294,-1.4627016855868775
ACH-000295,-1.4864930093929056
ACH-000296,-1.3577446096415409
ACH-000302,-1.4058138674201672
ACH-000304,-1.3667618400694228
ACH-000307,-1.3744917151338287
ACH-000308,-1.323038460124424
ACH-000310,-1.3197592244355691
ACH-000311,-1.2012477259398262
ACH-000312,-1.4826338710605074
ACH-000315,-1.7103845536077351
ACH-000316,-1.50409915463355
ACH-000317,-1.4779545437340722
ACH-000318,-1.2515318242612483
ACH-000319,-1.359505004114561
ACH-000320,-1.3672961372507748
ACH-000322,-1.4112151182782544
ACH-000323,-1.2147150335367007
ACH-000324,-1.3696361169394444
ACH-000329,-1.2765533138506506
ACH-000330,-1.4914492305872578
ACH-000331,-1.0625819788994284
ACH-000332,-1.2159989196531953
ACH-000334,-1.804486490879374
ACH-000335,-1.4156807940770555
ACH-000336,-1.32405961867799
ACH-000337,-1.2526504113419856
ACH-000338,-1.6597716934958788
ACH-000339,-1.301932044658339
ACH-000341,-1.8457591467126662
ACH-000348,-1.3805622677473757
ACH-000350,-1.4200379579115332
ACH-000352,-1.3687482452929496
ACH-000356,-1.34357742213028
ACH-000361,-1.2014774038085871
ACH-000362,-1.3404996197794543
ACH-000363,-1.25682138834115
ACH-000364,-1.5316442778571417
ACH-000365,-1.3480282902692389
ACH-000366,-1.2340322210118733
ACH-000368,-1.4752405556335113
ACH-000374,-1.4167176369008248
ACH-000375,-1.349265975813536
ACH-000376,-1.3514449528662016
ACH-000381,-1.4288327079982452
ACH-000383,-1.2950929913699565
ACH-000387,-1.462123249190847
ACH-000389,-1.29914838149122
ACH-000390,-1.3366246302241398
ACH-000393,-1.0171944956185417
ACH-000395,-1.346899496327162
ACH-000396,-1.5577224352130097
ACH-000397,-1.2395401817237943
ACH-000401,-1.375212523765288
ACH-000402,-1.3255159244130263
ACH-000403,-1.3993973609274806
ACH-000404,-1.3437664561884803
ACH-000406,-1.546992502768453
ACH-000407,-1.298263346669381
ACH-000408,-1.3278190703903994
ACH-000410,-1.2954892668312348
ACH-000411,-1.4226470380369771
ACH-000414,-1.4489519296870916
ACH-000415,-1.3867537272914154
ACH-000416,-1.254993528760383
ACH-000420,-1.6116150223627472
ACH-000421,-1.3647066823892429
ACH-000424,-1.1668204292097932
ACH-000425,-1.2566344546288395
ACH-000426,-1.8867544344936429
ACH-000427,-1.4205549653077725
ACH-000433,-1.1964411988659671
ACH-000435,-1.020656565689045
ACH-000436,-1.2604219826134242
ACH-000444,-1.2492597088902346
ACH-000445,-1.4406397122839898
ACH-000448,-1.1739459704357773
ACH-000450,-1.5009649779277476
ACH-000452,-1.3535687839677195
ACH-000454,-1.1153254324715722
ACH-000458,-1.3768781058720696
ACH-000459,-1.2998795016892208
ACH-000460,-1.4446340421311037
ACH-000461,-1.1406602851152985
ACH-000463,-1.2921352237030783
ACH-000464,-1.2367516666032985
ACH-000466,-1.5200035234169382
ACH-000467,-1.2379631274984773
ACH-000468,-1.689246087128002
ACH-000469,-1.3144737741431785
ACH-000470,-1.3465879659257054
ACH-000471,-1.3437216289551466
ACH-000472,-1.2685691168522943
ACH-000473,-1.3165582654853505
ACH-000475,-1.3081484344954344
ACH-000476,-1.3761126715995728
ACH-000477,-1.694797386323312
ACH-000479,-1.5245345171890134
ACH-000480,-1.4221628353372375
ACH-000481,-1.5066913538741622
ACH-000483,-1.1597595072560585
ACH-000484,-1.2636167375606695
ACH-000485,-1.2791389877377046
ACH-000486,-1.2486010225363129
ACH-000487,-1.271659271287682
ACH-000488,-1.2416578881246534
ACH-000490,-1.19299407897288
ACH-000491,-1.4781481008996245
ACH-000495,-1.2269986685492702
ACH-000496,-1.2236196754877806
ACH-000499,-1.448274007001156
ACH-000500,-1.9070818527504791
ACH-000502,-1.2994089712608294
ACH-000503,-1.3254460769225451
ACH-000505,-1.1829757457162382
ACH-000507,-1.240078547501407
ACH-000510,-1.384814980169573
ACH-000511,-1.3947917181620288
ACH-000512,-1.2843863232389297
ACH-000516,-1.464699152427001
ACH-000517,-1.4276695272609032
ACH-000518,-1.4142698126131914
ACH-000520,-1.3342414896823944
ACH-000521,-1.3265967342223428
ACH-000522,-1.3565341411185408
ACH-000524,-1.4900795286978048
ACH-000527,-1.163930973092289
ACH-000528,-1.4762302715326818
ACH-000537,-1.3935578401349396
ACH-000541,-1.0503647162042618
ACH-000542,-1.2425641247025845
ACH-000544,-1.2790428323754262
ACH-000545,-1.3040328345969767
ACH-000547,-0.8594402271366203
ACH-000548,-1.1372471371444597
ACH-000549,-1.3213641035661339
ACH-000550,-1.3643388263683005
ACH-000552,-1.4195143818995883
ACH-000556,-1.3095750151997343
ACH-000557,-1.4423995804417096
ACH-000569,-1.1246281860275238
ACH-000570,-1.4589473538006343
ACH-000571,-1.4725335382555884
ACH-000573,-1.389705275967407
ACH-000576,-1.3832421608575
ACH-000579,-1.7935997093037437
ACH-000580,-1.7375710294780389
ACH-000584,-1.3932806867890415
ACH-000585,-1.5532069240207873
ACH-000588,-1.4083744066357398
ACH-000589,-1.3988600022842828
ACH-000591,-1.3968264822406542
ACH-000593,-1.393410680181432
ACH-000600,-1.4138867288541517
ACH-000601,-1.2427858131735388
ACH-000605,-1.1045167127199602
ACH-000606,-1.2932821727995731
ACH-000608,-1.3726892390946888
ACH-000614,-1.3910445017642292
ACH-000616,-1.1793217210419822
ACH-000618,-1.329636729823965
ACH-000619,-1.2850670040165326
ACH-000620,-1.2544024983716997
ACH-000621,-1.3344440184509494
ACH-000622,-1.4530084876109075
ACH-000623,-1.3537323488960686
ACH-000624,-1.3913177476844083
ACH-000627,-1.3189516305666689
ACH-000630,-1.252653213930733
ACH-000631,-1.3373814597189084
ACH-000632,-1.4323346110185982
ACH-000633,-1.395195149274017
ACH-000637,-1.2949608526437442
ACH-000638,-1.3293813078621657
ACH-000646,-1.3776726831512696
ACH-000647,-1.3483216146664765
ACH-000648,-1.286126820197414
ACH-000649,-1.3343707841516594
ACH-000651,-1.3864459566666414
ACH-000652,-1.6319237034615202
ACH-000653,-1.1947802141645656
ACH-000657,-1.2778699693841038
ACH-000658,-1.4721285781933726
ACH-000661,-1.5374819757656917
ACH-000662,-1.30753037034215
ACH-000663,-1.455820210831357
ACH-000665,-1.266313475404196
ACH-000671,-1.2951832174546127
ACH-000672,-0.9935086390601392
ACH-000673,-1.241224314706192
ACH-000676,-1.3350561707946502
ACH-000677,-1.1775215524576963
ACH-000681,-1.315766089254773
ACH-000683,-1.2468682019130386
ACH-000684,-1.3917447319767051
ACH-000688,-1.2403790805640058
ACH-000693,-1.317950338947874
ACH-000694,-1.3116662759566822
ACH-000695,-1.2517953061258698
ACH-000696,-1.334286537628961
ACH-000697,-1.1777087656845058
ACH-000699,-1.4343209999304842
ACH-000701,-1.1763218579300625
ACH-000706,-1.3380757764637898
ACH-000711,-1.3847220722740952
ACH-000713,-1.1666226192460607
ACH-000714,-1.351574314177413
ACH-000718,-1.2843820294463362
ACH-000720,-1.379020964017956
ACH-000721,-1.4080320049227726
ACH-000724,-1.080323493748575
ACH-000725,-1.8009019396550543
ACH-000732,-1.329367564606337
ACH-000734,-1.4303376933159733
ACH-000735,-1.318668836894967
ACH-000736,-1.3141734896495527
ACH-000738,-1.3294538752263405
ACH-000746,-1.2663453906942972
ACH-000747,-1.0847050199331223
ACH-000748,-1.3221763295479252
ACH-000753,-1.2583500540763408
ACH-000756,-1.2200146346490055
ACH-000757,-1.417861936373486
ACH-000758,-1.3325390663910974
ACH-000760,-1.3284912832473157
ACH-000762,-1.5704095879805422
ACH-000763,-1.5878809626164954
ACH-000764,-1.4452241017002443
ACH-000765,-1.2510942944282823
ACH-000766,-1.2854666373757584
ACH-000767,-1.446984285398001
ACH-000768,-1.4338217960382125
ACH-000769,-1.59014361876329
