,FANCD2 (2177)
ACH-000004,-0.23024857617127825
ACH-000005,0.18289730498705276
ACH-000007,-0.15605570311601846
ACH-000009,-0.3403757911317665
ACH-000011,-0.12396457477012082
ACH-000012,-0.2767493395525097
ACH-000013,-0.1872677926942611
ACH-000014,-0.1517647568905769
ACH-000015,-0.032977461568447566
ACH-000017,-0.1256152277387572
ACH-000018,-0.16132537109437858
ACH-000019,-0.12516978159077086
ACH-000021,-0.3036763975794106
ACH-000022,-0.1398284151438133
ACH-000025,-0.1208043286603499
ACH-000028,-0.23915217240054995
ACH-000030,-0.03338617477987329
ACH-000035,-0.2705071284695357
ACH-000036,-0.1291850955579041
ACH-000037,-0.1551521426121453
ACH-000039,-0.2130084741720689
ACH-000040,-0.16207849477720446
ACH-000041,-0.019195420230727508
ACH-000042,-0.16211616512384056
ACH-000045,-0.35173425884878395
ACH-000047,-0.15996214139338447
ACH-000052,0.014206530650553337
ACH-000053,-0.03638054959493013
ACH-000054,-0.22011292605881155
ACH-000055,-0.24748752219033746
ACH-000060,-0.12760120713488513
ACH-000067,-0.3011366716100184
ACH-000070,-0.3234199590521245
ACH-000075,-0.15406575014876842
ACH-000078,-0.3162102880801588
ACH-000082,-0.1609135081909887
ACH-000085,-0.08345984481670578
ACH-000086,-0.05507087340951665
ACH-000087,-0.3016051682720549
ACH-000092,-0.1345844017430589
ACH-000095,-0.3693715902551231
ACH-000097,-0.22163450301430213
ACH-000098,-0.0801921682650374
ACH-000099,-0.2880200586043074
ACH-000108,-0.1658374938017613
ACH-000113,-0.3589793105884529
ACH-000116,-0.09331421172834926
ACH-000118,-0.4605431915969882
ACH-000120,-0.3213396901213109
ACH-000123,-0.12252947132652207
ACH-000127,-0.09416562634911356
ACH-000128,-0.181009518576958
ACH-000132,-0.4156688903408732
ACH-000133,-0.3452064136159845
ACH-000137,0.1228673066413365
ACH-000138,0.011723105177231305
ACH-000142,-0.0791980097809419
ACH-000143,-0.3002524937572108
ACH-000146,-0.1784440376320257
ACH-000148,-0.1239408169711101
ACH-000150,-0.4046629976275821
ACH-000152,-0.2798597081456664
ACH-000153,-0.053340958269287295
ACH-000159,-0.2271080343424969
ACH-000160,-0.07204937007027684
ACH-000163,-0.21076138414846188
ACH-000167,-0.07113560498046723
ACH-000168,-0.253367494304081
ACH-000169,-0.0810188049391213
ACH-000178,-0.11512677649086768
ACH-000183,0.024061674677319702
ACH-000188,-0.2613182623537757
ACH-000189,-0.4590746456034396
ACH-000190,-0.2863348600330013
ACH-000198,-0.3937731232234019
ACH-000203,-0.4936580682302641
ACH-000204,-0.3366594081101613
ACH-000206,-0.28622444049618073
ACH-000207,-0.2299917805584058
ACH-000208,-0.16789623936137718
ACH-000210,-0.2119850757783293
ACH-000211,-0.27271490325209913
ACH-000215,-0.11722579120867085
ACH-000221,-0.052118074924748264
ACH-000222,-0.2708969411959336
ACH-000223,-0.17405953957504774
ACH-000226,-0.15003282335386986
ACH-000227,-0.157812844994354
ACH-000228,-0.060093332304307565
ACH-000231,-0.11083406053301373
ACH-000232,-0.14886689049192034
ACH-000233,-0.30223409166248577
ACH-000234,-0.04924537509862024
ACH-000235,-0.13476915810783696
ACH-000237,-0.3123641720643699
ACH-000238,-0.4804098053070063
ACH-000242,-0.3909885236344891
ACH-000243,-0.16214684956582068
ACH-000244,-0.3886313862948716
ACH-000246,-0.1959662259652233
ACH-000248,-0.07867591254841369
ACH-000250,-0.12717689285593609
ACH-000251,-0.06968548106971452
ACH-000252,-0.1329288328922853
ACH-000253,-0.09513940362837793
ACH-000255,0.004032663555953113
ACH-000256,-0.14208697992883634
ACH-000257,-0.2834364778747729
ACH-000258,-0.22353960863601333
ACH-000259,-0.15994937591109262
ACH-000260,-0.10317704200547033
ACH-000261,-0.11107292067788553
ACH-000262,-0.3940111829031328
ACH-000263,-0.2640310148286245
ACH-000264,-0.23928658791221916
ACH-000265,-0.010001211937734577
ACH-000266,-0.1994373724633548
ACH-000272,-0.2726933188372545
ACH-000274,-0.14933863096656266
ACH-000277,-0.008110456454248785
ACH-000278,-0.5361966151894003
ACH-000279,-0.1955401589691036
ACH-000280,-0.3304069497211641
