,RND1 (27289)
ACH-000004,-0.3228311165947784
ACH-000005,-0.37623466640660597
ACH-000007,-0.09333311523280287
ACH-000009,-0.3947107605777741
ACH-000011,-0.04866155615906724
ACH-000012,-0.31474009352223925
ACH-000013,-0.19852330062550694
ACH-000014,-0.13516975743074305
ACH-000015,-0.1544011273918212
ACH-000017,-0.3208111414912497
ACH-000018,-0.19951969273447104
ACH-000019,-0.20252989499313906
ACH-000021,-0.33513863102200475
ACH-000022,-0.2248568671196904
ACH-000025,-0.3367873607272486
ACH-000028,-0.2945274651586873
ACH-000030,-0.17889501152506485
ACH-000035,-0.3312517770051491
ACH-000036,-0.29171323555063183
ACH-000037,-0.4893199040947915
ACH-000039,-0.11748779094299272
ACH-000040,-0.4408681430521196
ACH-000041,-0.3989593024639832
ACH-000042,-0.19285289350228105
ACH-000045,-0.11019738965489508
ACH-000047,-0.2605112722704497
ACH-000052,-0.0034794147883347123
ACH-000053,-0.29809384245148063
ACH-000054,-0.20236994807505415
ACH-000055,-0.1175032479156111
ACH-000060,-0.13185799854475386
ACH-000067,-0.3255348981949054
ACH-000070,-0.2925490306763402
ACH-000075,-0.4992165436912537
ACH-000078,-0.188438225364312
ACH-000082,-0.2656180135217845
ACH-000085,-0.2195527602901692
ACH-000086,-0.4479784493927289
ACH-000087,-0.05738823963411081
ACH-000092,-0.2530166082110949
ACH-000095,-0.2906786163613259
ACH-000097,-0.4512930139438068
ACH-000098,-0.04112643399736635
ACH-000099,-0.16586562241014471
ACH-000108,0.02296453055400165
ACH-000113,-0.2104684702082381
ACH-000116,-0.2709602322307828
ACH-000118,-0.1808657880732784
ACH-000120,-0.03662362805858202
ACH-000123,-0.33179199820414984
ACH-000127,-0.1567611517530323
ACH-000128,-0.15706941153478746
ACH-000132,-0.19864965076961005
ACH-000133,-0.4350486230738131
ACH-000137,-0.17058111625699154
ACH-000138,-0.14864842105807094
ACH-000142,-0.3456326136428484
ACH-000143,-0.24119596325528764
ACH-000146,-0.0645965221528203
ACH-000148,-0.23560232502999695
ACH-000150,-0.2502055836892547
ACH-000152,-0.31862961107068
ACH-000153,-0.4590575600900671
ACH-000159,-0.20787991543614184
ACH-000160,-0.28601356792284593
ACH-000163,-0.2099888249230104
ACH-000167,-0.31798126881682554
ACH-000168,-0.2286348995778696
ACH-000169,-0.4116114125695097
ACH-000178,-0.2034295100030176
ACH-000183,-0.18974482741123985
ACH-000188,-0.3620324400324982
ACH-000189,-0.15397618393369855
ACH-000190,-0.1526488998428557
ACH-000198,-0.2905986739832569
