,UCHL5 (51377)
ACH-000004,-0.3376828268382221
ACH-000005,-0.2367246842243267
ACH-000007,-0.7744049131969535
ACH-000009,-0.2561167620382555
ACH-000011,-0.5931747104618738
ACH-000012,-0.5436374736358721
ACH-000013,-0.5347276297209816
ACH-000014,-0.19810626145839133
ACH-000015,-0.5153396604758517
ACH-000017,-0.5956973627128382
ACH-000018,-0.37428790074036494
ACH-000019,-0.11849058790788868
ACH-000021,-0.2425513054079671
ACH-000022,-0.5380747577306123
ACH-000025,-0.46513026371658794
ACH-000028,-0.1045912300845664
ACH-000030,-0.2691043746517892
ACH-000035,-0.4080737020913614
ACH-000036,-0.7080506633152815
ACH-000037,-0.41579314342644935
ACH-000039,-0.4212894466059937
ACH-000040,-0.5500983978764518
ACH-000041,-0.2530393452033589
ACH-000042,-0.15684965291505334
ACH-000045,-0.19552899221149647
ACH-000047,-0.1038110026716745
ACH-000052,-0.3537222817908397
ACH-000053,-0.4903315944058119
ACH-000054,-0.4213769780705429
ACH-000055,-0.22020185985561472
ACH-000060,-0.6971570992608183
ACH-000067,-0.2019431523877966
ACH-000070,-0.3968058264775471
ACH-000075,-0.2773602844914201
ACH-000078,-0.24326721467827025
ACH-000082,-0.4621078172442907
ACH-000085,-0.2809950331861617
ACH-000086,-0.494384478594214
ACH-000087,-0.2506555796884223
ACH-000092,-0.4431179544648082
ACH-000095,-0.3478558856099885
ACH-000097,-0.3898249649829256
ACH-000098,-0.30185430576806915
ACH-000099,-0.4184181441421229
ACH-000108,-0.20226065990169595
ACH-000113,-0.2485308867496533
ACH-000116,-0.4715172318292789
ACH-000118,-0.2934387005954782
ACH-000120,-0.5141263761097513
ACH-000123,-0.3666664746545407
ACH-000127,-0.3020589786378611
ACH-000128,-0.4850003757524426
ACH-000132,-0.4442780305359156
ACH-000133,-0.5867850268250173
ACH-000137,-0.3481992541764996
ACH-000138,-0.5385360890741197
ACH-000142,-0.5274618923967025
ACH-000143,-0.4263220714693151
ACH-000146,-0.20768974854476535
ACH-000148,-0.5718819224994067
ACH-000150,-0.3463241496483252
ACH-000152,-0.18590964488685532
ACH-000153,-0.3767210807917672
ACH-000159,-0.41539337315292985
ACH-000160,-0.06321473196474206
ACH-000163,-0.25818633948900843
ACH-000167,-0.12711623027391228
ACH-000168,-0.22026292046671986
ACH-000169,-0.3939112732042291
ACH-000178,-0.42501219454836464
