,MTSS1 (9788)
ACH-000004,-0.4101877310671601
ACH-000005,-0.3337437693099076
ACH-000007,-0.08326892622797616
ACH-000009,-0.08977564031069571
ACH-000011,-0.035689774857623764
ACH-000012,-0.12242419607164295
ACH-000013,-0.1244905152590924
ACH-000014,-0.11039516255306953
ACH-000015,-0.08677536665831874
ACH-000017,-0.773013320335305
ACH-000018,-0.27151789114197866
ACH-000019,-0.11573184431784635
ACH-000021,-0.19754108284235625
ACH-000022,-0.10261859702802324
ACH-000025,-0.16628743879297353
ACH-000028,-0.1876300331043344
ACH-000030,-0.06805524021785599
ACH-000035,-0.14405726043561676
ACH-000036,-0.20636583780293355
ACH-000037,-0.13804074019887008
ACH-000039,-0.20425072617189435
ACH-000040,-0.0619262479255838
ACH-000041,-0.1667577901520166
ACH-000042,-0.2834946924873179
ACH-000045,-0.24332348859247194
ACH-000047,-0.1389805242194964
ACH-000052,-0.26038403770821583
ACH-000053,-0.1119279231926978
ACH-000054,-0.1736891262981737
ACH-000055,-0.11587909980264632
ACH-000060,-0.2571818118106108
ACH-000067,-0.13731535094248706
ACH-000070,-0.03541773050733902
ACH-000075,-0.07958654056310985
ACH-000078,-0.18050788388677652
ACH-000082,-0.2144709043906942
ACH-000085,-0.1560542487165029
ACH-000086,-0.11570500527876862
ACH-000087,0.10307723642377406
ACH-000092,-0.2245026215354332
ACH-000095,-0.03177949684456224
ACH-000097,-0.1826264425992244
ACH-000098,-0.16918810444057503
ACH-000099,-0.18973931127795504
ACH-000108,-0.2376772585637119
ACH-000113,0.0507967102391428
ACH-000116,-0.052212256661907146
ACH-000118,-0.37085952140171546
ACH-000120,-0.20613807802862585
ACH-000123,-0.059369165571700085
ACH-000127,-0.19499220526057254
ACH-000128,-0.15157879675553518
ACH-000132,-0.1150298386150547
ACH-000133,-0.17893185165444686
ACH-000137,0.001166290205909051
ACH-000138,-0.1373938022677188
ACH-000142,-0.20103577794361865
ACH-000143,-0.012639901496864376
ACH-000146,-0.07521527146799772
ACH-000148,-0.1559204801627556
ACH-000150,-0.5275783856110794
ACH-000152,-0.2728457440327625
ACH-000153,-0.4668781414451727
ACH-000159,-0.15244676472254334
ACH-000160,-0.11859547224874473
ACH-000163,-0.13704416112161888
ACH-000167,-0.3888696131428721
ACH-000168,-0.2389417564729957
ACH-000169,-0.05053244378093144
ACH-000178,-0.14490009636755827
ACH-000183,-0.2985342207458057
ACH-000188,-0.07592289887857323
ACH-000189,-0.35168219660920674
ACH-000190,-0.3789039355667797
ACH-000198,-0.17675784732133065
ACH-000203,-0.1665936001376145
ACH-000204,-0.2369909214917206
ACH-000206,-0.03860649288063952
ACH-000207,-0.3664414740711298
ACH-000208,-0.2746170891793067
ACH-000210,-0.2257202524245356
ACH-000211,-0.08989620338309977
ACH-000215,-0.18930142046454412
ACH-000221,-0.002794237597938329
ACH-000222,-0.20744807584634492
ACH-000223,-0.21103861674956573
ACH-000226,-0.04254888970922475
ACH-000227,-0.18729929601919898
ACH-000228,-0.048881297535673884
ACH-000231,-0.20698945478321887
ACH-000232,-0.14397627648902514
ACH-000233,-0.18423253684532284
ACH-000234,-0.22657539484716974
ACH-000235,-0.12984044301935707
ACH-000237,-0.13487096681104824
ACH-000238,-0.16921141075144602
ACH-000242,-0.025278229618705503
ACH-000243,-0.21947564587512286
ACH-000244,0.012628880878720487
ACH-000246,-0.2004189361551827
ACH-000248,-0.4402998310035095
ACH-000250,-0.15181928257657173
ACH-000251,-0.11949305202723486
ACH-000252,-0.1954165302097638
ACH-000253,-0.2267532202996725
ACH-000255,-0.13286901672473994
ACH-000256,-0.23201976784144265
ACH-000257,-0.13660313846635375
ACH-000258,-0.19950193367700572
ACH-000259,-0.09219702748099397
ACH-000260,-0.1223352214071817
ACH-000261,-0.13934137589938347
ACH-000262,-0.008144576099399038
ACH-000263,-0.10866536721336112
ACH-000264,-0.1415949463753812
ACH-000265,-0.3918147172349972
ACH-000266,-0.1498409784297204
ACH-000272,-0.15139611650366055
ACH-000274,-0.16025956712090142
ACH-000277,-0.5472272705005505
ACH-000278,-0.23099055608591298
ACH-000279,-0.2702346601264342
