,RRAGC (64121)
ACH-000004,-0.08044702346218062
ACH-000005,-0.1706143193288384
ACH-000007,-0.3443880465770773
ACH-000009,-0.0123713434419264
ACH-000011,-0.4292613740316349
ACH-000012,-0.3409049471955478
ACH-000013,-0.61750479816047
ACH-000014,0.020317582898152067
ACH-000015,-0.19638858900445336
ACH-000017,-0.6038411300475132
ACH-000018,-0.6923536113114339
ACH-000019,-0.3721755701951817
ACH-000021,-0.18362638465255052
ACH-000022,-0.15265660887902469
ACH-000025,-0.32638008033532523
ACH-000028,0.08583788304489963
ACH-000030,-0.4056438661877251
ACH-000035,-0.29086903300669675
ACH-000036,-0.3438111990206257
ACH-000037,-0.28686050256319123
ACH-000039,-0.1843994076161846
ACH-000040,0.2532430988623484
ACH-000041,0.043265513595105824
ACH-000042,-0.08990493016913906
ACH-000045,0.08216882687436877
ACH-000047,-0.3260093226804853
ACH-000052,-0.2831515424058763
ACH-000053,-0.7582990128359868
ACH-000054,-0.3762018407056237
ACH-000055,-0.2923328787930374
ACH-000060,-0.30459443284298365
ACH-000067,-0.16012475437599866
ACH-000070,0.2251615953161664
ACH-000075,-0.22551833214917974
ACH-000078,-0.09483348978650387
ACH-000082,-0.4304105297823345
ACH-000085,-0.5345129690305008
ACH-000086,-0.3685990263921058
ACH-000087,-0.1282462905522767
ACH-000092,-0.15445645707162398
ACH-000095,-0.3253425414121241
ACH-000097,-0.3262118477044382
ACH-000098,0.20331936815959545
ACH-000099,-0.012250484778838671
ACH-000108,-0.1694217978714285
ACH-000113,-0.043778686793204326
ACH-000116,-0.3852601143623923
ACH-000118,-0.14497014560145166
ACH-000120,-0.20021587086775253
ACH-000123,-0.31654022198738674
ACH-000127,-0.301131428284747
ACH-000128,-0.031861893071108864
ACH-000132,-0.01250539668186798
ACH-000133,-0.3361206752203468
ACH-000137,0.021858051173992143
ACH-000138,-0.4501017930340944
ACH-000142,-0.35635896568069586
ACH-000143,-0.057554976153748334
ACH-000146,0.12233981951896508
ACH-000148,-0.0945772224092832
ACH-000150,-0.7044675262478081
ACH-000152,-0.18053119727015515
ACH-000153,-0.40987405118443015
ACH-000159,-0.5558511924929788
ACH-000160,-0.17828675709073066
ACH-000163,-0.17939701107447384
ACH-000167,-0.3401058752547036
ACH-000168,-0.034165800637452996
ACH-000169,-0.3868716487253237
ACH-000178,-0.3867028736639291
ACH-000183,0.026267694873264268
ACH-000188,-0.4453271930675757
ACH-000189,-0.03885650426712157
ACH-000190,-0.1857976463175135
ACH-000198,-0.08987889522757554
ACH-000203,-0.17042034490697533
ACH-000204,-0.15033883538627554
ACH-000206,-0.3747696358792676
ACH-000207,-0.33297186693128844
ACH-000208,-0.2429736531756153
ACH-000210,-0.041227144507864265
ACH-000211,0.06976504693704356
ACH-000215,0.016628203797823718
ACH-000221,-0.2262164882598928
ACH-000222,-0.6707587952256668
ACH-000223,-0.24511901709721745
ACH-000226,-0.5884607006842103
ACH-000227,-0.2074280908091594
ACH-000228,-0.2858255393087113
ACH-000231,-0.005845414422457493
ACH-000232,-0.17043790062024047
ACH-000233,-0.5412380871028117
ACH-000234,-0.1515085914134184
ACH-000235,-0.44826212409055627
ACH-000237,-0.3223132398243801
ACH-000238,-0.6184439592236773
ACH-000242,-1.0387844564263338
ACH-000243,-0.7185341752101294
ACH-000244,-0.31454838269421403
ACH-000246,-0.049493175416278436
ACH-000248,-0.13534169145213612
ACH-000250,-0.042539675534422436
ACH-000251,-0.10095896219860293
ACH-000252,-0.5428796901267234
ACH-000253,-0.4322543996680207
ACH-000255,-0.510023011499241
ACH-000256,-0.21347648519633225
ACH-000257,-0.16922036189712938
ACH-000258,-0.10204395091652003
ACH-000259,-0.30477040511686765
ACH-000260,-0.3871648670971887
ACH-000261,-0.1555729339345252
ACH-000262,-0.05793635707049091
ACH-000263,-0.0986184330644522
ACH-000264,-0.3068541739971585
ACH-000265,-0.29521433892373145
ACH-000266,-0.5327065653470305
ACH-000272,-0.517895464487533
ACH-000274,0.1016929742799966
ACH-000277,-0.21937384307084
ACH-000278,-0.3059432555339073
ACH-000279,-0.1919430117851543
ACH-000280,-0.4487777784117208
ACH-000281,-0.21637673633602203
ACH-000288,-0.3042651791252592
ACH-000291,-0.012318084441045046
ACH-000293,-0.1690957217832984
ACH-000294,0.19111328154990603
ACH-000295,-0.3183460826075116
ACH-000296,-0.05299908816838403
ACH-000302,-0.2718637618407671
ACH-000304,-0.14149991780218354
ACH-000307,-0.8651536579693223
ACH-000308,-0.2500182481484305
ACH-000310,-0.2552865506882117
ACH-000311,-0.3115399049878018
ACH-000312,-0.30468767521101753
ACH-000315,-0.5989452136822679
ACH-000316,-0.4209328903928168
ACH-000317,-0.34639376655474075
ACH-000318,-0.1237634415074012
ACH-000319,-0.4313704271547304
ACH-000320,-0.3150538485757917
ACH-000322,0.08443460590155502
ACH-000323,-0.4422908258935895
ACH-000324,0.0618545429836849
ACH-000329,-0.23801694308235954
ACH-000330,-0.5769204617445339
ACH-000331,-0.8186172149823361
ACH-000332,0.020203532245540244
ACH-000334,-0.6757647643718313
ACH-000335,-0.38179308799568734
ACH-000336,0.1822595635928602
ACH-000337,-0.3438124163831495
ACH-000338,-0.08733427518521124
ACH-000339,-0.2652131540054431
ACH-000341,0.1707255258504694
ACH-000348,-0.2290246771433129
ACH-000350,0.07771730043967133
ACH-000352,-0.5539127288398061
ACH-000356,-0.3268491870069798
ACH-000361,-0.12004027849385802
ACH-000362,0.02060378317735977
ACH-000363,-0.01706715408480825
ACH-000364,-0.23837876409533
ACH-000365,-0.7557270227946938
ACH-000366,0.11159595291838988
ACH-000368,-0.08026366248398929
ACH-000374,-0.17327593855818854
ACH-000375,-0.7759404773725571
ACH-000376,-0.1967842335537156
ACH-000381,-0.3075417013825208
ACH-000383,-0.39730876653001135
ACH-000387,-0.04006136637871332
ACH-000389,-0.07465165061222383
ACH-000390,-0.2554945508693653
ACH-000393,-0.3471969648576215
ACH-000395,-0.6419866889569827
ACH-000396,-0.4744990006701106
ACH-000397,-0.6573317808025205
ACH-000401,0.041876569069076934
ACH-000402,-0.607797509094038
ACH-000403,-0.2266870285848599
ACH-000404,-0.2448828597428596
ACH-000406,0.12261293851179647
ACH-000407,-0.2837589824324787
ACH-000408,-0.34438028673090304
ACH-000410,0.009464791649773074
ACH-000411,-0.10904348439064801
ACH-000414,-0.15527078417348664
ACH-000415,-0.4635493482501812
ACH-000416,-0.2902178208687245
ACH-000420,-0.09914703243489856
ACH-000421,-0.16100661675147732
ACH-000424,-0.15679194392604093
ACH-000425,-0.06664231200626589
ACH-000426,-0.24311809555828134
ACH-000427,-0.3242343557919982
ACH-000433,-0.363099130748094
ACH-000435,-0.42362356843268256
ACH-000436,-0.03400966996933242
ACH-000444,-0.24784060774027636
ACH-000445,-0.1564127819719497
ACH-000448,-0.4634488887279889
ACH-000450,-0.16263834333769395
ACH-000452,0.04964679342004137
ACH-000454,-0.3524194299165545
ACH-000458,-0.40548433103866016
ACH-000459,-0.07453642132165576
ACH-000460,-0.5449796379212138
ACH-000461,-0.6212315947061514
ACH-000463,-0.34645969252080105
ACH-000464,-0.3816469109927051
ACH-000466,-0.20089410519626255
ACH-000467,-0.4149736154011101
ACH-000468,0.07699935640921599
ACH-000469,-0.20880481480905885
ACH-000470,-0.10433199886167482
ACH-000471,-0.13403130165462798
ACH-000472,-0.3685106240921739
ACH-000473,-0.5476277768356541
ACH-000475,-0.4879797032151464
ACH-000476,-0.3507193871655844
ACH-000477,-0.13008263757414873
ACH-000479,-0.2266532714403145
ACH-000480,-0.14680202277758295
ACH-000481,-0.22296440012962326
ACH-000483,-0.5386973868276147
ACH-000484,-0.1434302687814518
ACH-000485,-0.2978907800335385
ACH-000486,-0.2305505765713075
ACH-000487,-0.7775487426777522
ACH-000488,-0.6854047303497623
ACH-000490,-0.5285705925008563
ACH-000491,-0.2007746333159312
ACH-000495,0.091816611658334
ACH-000496,-0.4892977103071933
ACH-000499,0.06635039603586207
ACH-000500,-0.2289322974144321
