,OR5AU1 (390445)
ACH-000004,-0.15650907018162188
ACH-000005,-0.2209993276903857
ACH-000007,-0.020561435116293537
ACH-000009,-0.2518999406642557
ACH-000011,-0.2570469342579708
ACH-000012,-0.08492539826405496
ACH-000013,0.0
ACH-000014,-0.14534419175646954
ACH-000015,0.014076266234560382
ACH-000017,-0.2677240808365555
ACH-000018,-0.12370506990094035
ACH-000019,-0.020755599639119597
ACH-000021,-0.10849924270473282
ACH-000022,-0.09259536222390953
ACH-000025,-0.008203159582403483
ACH-000028,0.050232786846059314
ACH-000030,-0.17635486842521014
ACH-000035,-0.13461972177650838
ACH-000036,-0.10817772178354533
ACH-000037,-0.15626760591462993
ACH-000039,-0.09038073538617246
ACH-000040,-0.04930947772681056
ACH-000041,-0.037748059712787614
ACH-000042,-0.1050974706052132
ACH-000045,-0.08323410743005147
ACH-000047,-0.2209972392098628
ACH-000052,-0.12121271294065875
ACH-000053,-0.30304644775877604
ACH-000054,-0.10852225336749888
ACH-000055,0.01331760048854827
ACH-000060,-0.15423406864261582
ACH-000067,-0.099875360039711
ACH-000070,-0.030739984783284238
ACH-000075,0.06632685075653094
ACH-000078,-0.049075975382216266
ACH-000082,-0.0581574815694564
ACH-000085,-0.2742826703709326
ACH-000086,-0.027569233186429298
ACH-000087,0.1893397263912839
ACH-000092,-0.18057779821417552
ACH-000095,-0.2969530264593276
ACH-000097,-0.21850017458886392
ACH-000098,-0.19687336789871945
ACH-000099,0.0414451866651604
ACH-000108,-0.14411135644971226
ACH-000113,-0.19860712772741415
ACH-000116,-0.07836313347014744
ACH-000118,-0.2280284191475144
ACH-000120,-0.06336496467303812
ACH-000123,-0.1968190123113425
ACH-000127,-0.10426613114311896
ACH-000128,0.08353709150941051
ACH-000132,0.008692841980936205
ACH-000133,-0.0591516107101382
ACH-000137,-0.1746881221019563
ACH-000138,-0.07641935288113237
ACH-000142,-0.1130830443151594
ACH-000143,0.053122192397272214
ACH-000146,-0.20184097363341624
ACH-000148,-0.2060321988613885
ACH-000150,0.16097081636546964
ACH-000152,-0.08348837144305205
ACH-000153,-0.1197954501804028
ACH-000159,-0.12657065209411825
ACH-000160,-0.3029439132310486
ACH-000163,-0.15436382178053715
ACH-000167,-0.4477442773278157
ACH-000168,-0.02262418547959121
ACH-000169,-0.1158768085323575
ACH-000178,-0.07661245143432663
ACH-000183,-0.2437896892793178
ACH-000188,-0.07402736125589703
ACH-000189,-0.22773035430539665
ACH-000190,0.003363683586467967
ACH-000198,-0.13878485768206605
ACH-000203,-0.020561289462330344
ACH-000204,-0.08895925985239474
ACH-000206,-0.2920823295483652
ACH-000207,-0.16736087024978574
ACH-000208,-0.2680178039109388
ACH-000210,-0.2198124202434276
ACH-000211,-0.13986849457034828
ACH-000215,-0.13093935650771527
ACH-000221,-0.2129367021767639
ACH-000222,-0.3644982371679785
ACH-000223,-0.03434976407061457
ACH-000226,-0.22875360760968386
ACH-000227,-0.06454876537945654
ACH-000228,-0.3630211043761632
ACH-000231,-0.12852035561825972
ACH-000232,-0.10640161055856036
ACH-000233,-0.14459028407176489
ACH-000234,-0.07517765591625226
ACH-000235,-0.09689436169868358
ACH-000237,0.043226813632397186
ACH-000238,-0.09134620037975986
ACH-000242,-0.12364602228957346
ACH-000243,-0.1709025641345888
ACH-000244,0.10575997789516213
ACH-000246,-0.17830374741582758
ACH-000248,-0.1539279901871188
ACH-000250,-0.1464613785614484
ACH-000251,0.18819075596946214
ACH-000252,-0.0988345621409592
ACH-000253,-0.022396717586328087
ACH-000255,0.043873876188047736
ACH-000256,-0.2252301825747531
ACH-000257,-0.32673800262178404
ACH-000258,-0.11953655200183695
ACH-000259,-0.08334419433159898
ACH-000260,-0.17877064721782585
ACH-000261,-0.15577026318372256
ACH-000262,-0.05321741888720096
ACH-000263,-0.16290725032790315
ACH-000264,-0.15703231847593305
ACH-000265,-0.16845985896749632
ACH-000266,-0.04633770204748448
ACH-000272,-0.12397901613005607
ACH-000274,-0.11501725023514575
ACH-000277,-0.011686487959167269
ACH-000278,-0.13819849128604306
ACH-000279,-0.030282590475654368
ACH-000280,-0.16549229681680466
ACH-000281,0.04293515111252884
ACH-000288,-0.18694339617975567
ACH-000291,-0.03248808581498139
ACH-000293,-0.1348546142313669
ACH-000294,-0.3484532876871143
ACH-000295,-0.022397988564999863
ACH-000296,-0.1258175407527885
ACH-000302,-0.08843683198346883
ACH-000304,-0.1723131770862546
ACH-000307,-0.16732573705031184
ACH-000308,0.03338964132170411
ACH-000310,0.007172996944469867
ACH-000311,-0.08573759269903385
ACH-000312,0.02601718238622949
ACH-000315,-0.20647828965470325
ACH-000316,-0.2860523518018225
ACH-000317,-0.4217326940239653
ACH-000318,-0.30183750800545994
ACH-000319,-0.1615576358067643
ACH-000320,-0.05759625948801745
ACH-000322,-0.004507600822962277
ACH-000323,-0.09299608260418996
ACH-000324,-0.1311082452398322
ACH-000329,-0.05306149856200349
ACH-000330,-0.21636310002360695
ACH-000331,-0.009216970557693984
ACH-000332,-0.1018428431723524
ACH-000334,-0.4375860527436069
ACH-000335,-0.06057129251911441
ACH-000336,-0.33182330958847495
ACH-000337,-0.13663770734610906
ACH-000338,-0.015002094886022657
ACH-000339,-0.020131857270829275
ACH-000341,-0.11336643256095966
ACH-000348,-0.11657899246320642
ACH-000350,-0.1565583062514023
ACH-000352,-0.21427203083359694
ACH-000356,-0.1868955662139004
ACH-000361,-0.2938676923155795
ACH-000362,-0.13556067338259095
ACH-000363,-0.0737287554347759
ACH-000364,-0.055632049398396805
ACH-000365,-0.2525354550031277
ACH-000366,-0.08787565959242953
ACH-000368,-0.24514238087213766
ACH-000374,0.004568823744604204
ACH-000375,0.08004411421747915
ACH-000376,-0.1861331060213952
ACH-000381,-0.047318773033793414
ACH-000383,-0.18993156487906265
ACH-000387,-0.014866339597204056
ACH-000389,-0.015174179011545937
ACH-000390,-0.20015255790179146
ACH-000393,-0.2742177597379901
ACH-000395,0.07352896970318787
ACH-000396,-0.038192448293987394
ACH-000397,-0.12319121476792652
ACH-000401,-0.0976820376770849
ACH-000402,-0.1704726253755471
ACH-000403,-0.11615009451054395
ACH-000404,-0.329495959198427
ACH-000406,-0.1361167134850458
ACH-000407,-0.14652401963916836
ACH-000408,-0.03985860408189015
ACH-000410,0.02481698974537722
