,HIST2H3D (653604)
ACH-000004,-0.5623644546037775
ACH-000005,-0.6355502701532348
ACH-000007,-0.3358561846869477
ACH-000009,-0.7138085360598768
ACH-000011,-0.673214653649343
ACH-000012,-0.7283795230662987
ACH-000013,-0.6297350732878553
ACH-000014,-0.5955415027284388
ACH-000015,-0.6456587701359054
ACH-000017,-0.3806552727195167
ACH-000018,-0.31858074057820285
ACH-000019,-0.6864120989895592
ACH-000021,-0.5617612472932958
ACH-000022,-0.6842283542032519
ACH-000025,-1.0133796605320384
ACH-000028,-0.6415146458031461
ACH-000030,-0.5748988515981532
ACH-000035,-0.4891504480507163
ACH-000036,-0.6172140520560877
ACH-000037,-0.5338767342252054
ACH-000039,-0.703306582350202
ACH-000040,-0.7164752674094672
ACH-000041,-0.7765939660589822
ACH-000042,-0.7077687674588071
ACH-000045,-0.5557079986347658
ACH-000047,-0.6355984756399556
ACH-000052,-0.7193870954362827
ACH-000053,-0.6344851707431001
ACH-000054,-0.6205397849571213
ACH-000055,-0.8791485751983168
ACH-000060,-0.6995846927284814
ACH-000067,-0.6116387553573224
ACH-000070,-0.8659272911121497
ACH-000075,-0.86046198401982
ACH-000078,-0.6785830716782908
ACH-000082,-0.6237961450380467
ACH-000085,-0.7706410491414922
ACH-000086,-0.6487015290961153
ACH-000087,-0.4159682479679748
ACH-000092,-0.6512297361880112
ACH-000095,-0.5371340870096951
ACH-000097,-0.7161446141677401
ACH-000098,-0.6756872194289498
ACH-000099,-0.5443967392661943
ACH-000108,-0.6913954987964103
ACH-000113,-0.8678533291077742
ACH-000116,-0.6510431605936123
ACH-000118,-0.5219279441653206
ACH-000120,-0.7711736289726551
ACH-000123,-0.770167650379582
ACH-000127,-0.6596511504446689
ACH-000128,-0.5864862141396501
ACH-000132,-0.5924821285086631
ACH-000133,-0.8367167774029125
ACH-000137,-0.616814004745654
ACH-000138,-0.8194974979657321
ACH-000142,-0.5759839346005967
ACH-000143,-0.5893270476498581
ACH-000146,-0.5194573876139184
ACH-000148,-0.8061736322101017
ACH-000150,-0.429773400943645
ACH-000152,-0.7205888073600568
ACH-000153,-0.5593058540601703
ACH-000159,-0.646863291292725
ACH-000160,-0.5796569762699503
ACH-000163,-0.638231182138837
ACH-000167,-1.1738181642336647
ACH-000168,-0.41679880484332826
ACH-000169,-0.5632956445942392
ACH-000178,-0.5484994002605166
ACH-000183,-0.5160245983301877
