,SAFB2 (9667)
ACH-000004,-0.1819942338534265
ACH-000005,-0.3361226183429817
ACH-000007,-0.2013216169911365
ACH-000009,-0.18471247432029486
ACH-000011,-0.20639937469776007
ACH-000012,-0.075798752486189
ACH-000013,-0.11240309736084034
ACH-000014,-0.07720802414767018
ACH-000015,-0.1859667419905195
ACH-000017,-0.16294733734115552
ACH-000018,-0.3069415045855058
ACH-000019,-0.19735786044134884
ACH-000021,-0.15237667346838696
ACH-000022,-0.21320186829951365
ACH-000025,-0.16609873594442975
ACH-000028,-0.3594031635198851
ACH-000030,-0.11943720350332725
ACH-000035,-0.007985391694166958
ACH-000036,-0.13561334182682808
ACH-000037,-0.13475501529752726
ACH-000039,-0.23683148010863544
ACH-000040,-0.2333294920289753
ACH-000041,-0.09605427928670293
ACH-000042,0.0008626464842103157
ACH-000045,0.04111471457963509
ACH-000047,-0.13089265482320106
ACH-000052,-0.12618243957462388
ACH-000053,-0.10797275009207606
ACH-000054,-0.16328595496103815
ACH-000055,-0.013557411508876335
ACH-000060,-0.05698482442728362
ACH-000067,-0.1532551426298938
ACH-000070,-0.07009711246159843
ACH-000075,-0.2054772320750506
ACH-000078,-0.09419466077528207
ACH-000082,-0.13668481717738093
ACH-000085,-0.3554743313957629
ACH-000086,-0.2436923071620005
ACH-000087,-0.3030607936027769
ACH-000092,-0.15397859832448335
ACH-000095,-0.29673970580029585
ACH-000097,-0.13375609381269782
ACH-000098,-0.27320613101272856
ACH-000099,-0.21520968411479585
ACH-000108,-0.1461807679196625
ACH-000113,-0.16622069910012266
ACH-000116,-0.12761334168464294
ACH-000118,-0.20042274847195385
ACH-000120,-0.3521366757884273
ACH-000123,-0.2740573007647281
ACH-000127,-0.2344322677011333
ACH-000128,-0.19876949078705072
ACH-000132,-0.134660219608729
ACH-000133,-0.12206960544502955
ACH-000137,-0.3060629080215924
ACH-000138,-0.0950701041327524
ACH-000142,-0.14503733531914648
ACH-000143,-0.14871523165915576
ACH-000146,-0.10236368887686964
ACH-000148,-0.060475933207259774
ACH-000150,-0.10082825253322096
ACH-000152,0.0192284733139952
ACH-000153,-0.12717428663158736
ACH-000159,-0.07828565589502533
ACH-000160,0.03482416964414038
ACH-000163,-0.19269056099553936
ACH-000167,-0.28242326289673625
ACH-000168,-0.19215707978027444
ACH-000169,-0.16008169921609938
ACH-000178,-0.15884668367170302
ACH-000183,-0.2453684295423249
ACH-000188,-0.3074365139492047
ACH-000189,-0.16303177749091116
ACH-000190,-0.1817244585540491
ACH-000198,0.050221807134185004
ACH-000203,-0.03477292045618187
ACH-000204,-0.5157087006902045
ACH-000206,-0.23618654049950485
ACH-000207,-0.1367973590040699
ACH-000208,-0.39711574915327663
ACH-000210,-0.0450354187835668
ACH-000211,-0.24846556470142314
ACH-000215,-0.12016400153649635
ACH-000221,0.03086637867219668
ACH-000222,-0.3439659552933221
ACH-000223,-0.13727306587625787
ACH-000226,-0.30262614654062925
ACH-000227,-0.1625319126519681
ACH-000228,-0.07644491480663476
ACH-000231,-0.13410704636938314
ACH-000232,-0.06765901770576177
ACH-000233,-0.15807340053688487
ACH-000234,-0.3516834232743926
ACH-000235,-0.14258505153808945
ACH-000237,-0.05050190841680525
ACH-000238,-0.1391739103036855
ACH-000242,-0.5260049923046644
ACH-000243,-0.14703946753674207
ACH-000244,0.013434614567226428
ACH-000246,-0.22610992909290484
ACH-000248,-0.16744244685537624
ACH-000250,-0.17205026334517662
ACH-000251,-0.3503072908268686
ACH-000252,-0.22447306481585985
ACH-000253,-0.1876176621119072
ACH-000255,-0.09326493648754358
ACH-000256,-0.021357513029593097
ACH-000257,0.01995498559725082
ACH-000258,-0.11306406873163692
ACH-000259,-0.047233687879093766
ACH-000260,-0.4344073367928963
ACH-000261,-0.08237825147934102
ACH-000262,-0.09912190792155474
ACH-000263,-0.06430518528331884
ACH-000264,-0.18738523668900345
ACH-000265,0.03812320638913152
ACH-000266,-0.09853004579093168
ACH-000272,-0.14554251656021258
ACH-000274,-0.14375949838075824
ACH-000277,-0.11316386277798116
ACH-000278,-0.10647267856067708
ACH-000279,-0.08434948309812365
ACH-000280,-0.11172816245942364
ACH-000281,0.009153217168037013
ACH-000288,-0.02314673420870729
ACH-000291,-0.2456053490032399
ACH-000293,-0.16513793596685708
ACH-000294,-0.37030689056090427
ACH-000295,-0.04405641380576618
ACH-000296,-0.1960732216598195
ACH-000302,-0.24965347752532102
ACH-000304,-0.1804221281901471
ACH-000307,-0.14918486531771433
ACH-000308,-0.08598513221808148
ACH-000310,-0.07245539819463026
ACH-000311,-0.13597842426718054
ACH-000312,-0.17499547525353845
ACH-000315,-0.10208582162450536
ACH-000316,0.07415445054570252
ACH-000317,-0.006105165031430265
ACH-000318,-0.05512348349851175
ACH-000319,-0.3687702550155835
ACH-000320,0.07716640038919728
ACH-000322,-0.05180251885919871
ACH-000323,-0.23077167387750624
