,FDXR (2232)
ACH-000004,-0.4204821016845236
ACH-000005,-0.608764826665104
ACH-000007,-0.6911325960022685
ACH-000009,-0.5998957116876802
ACH-000011,-0.5344095529577597
ACH-000012,-0.6437645381709275
ACH-000013,-0.5807065810306455
ACH-000014,-0.8235887231201344
ACH-000015,-0.6324590286198498
ACH-000017,-0.3779415063856485
ACH-000018,-0.7524787318527567
ACH-000019,-0.6231952081454563
ACH-000021,-0.7032496210199058
ACH-000022,-0.5938907224846961
ACH-000025,-1.012421868301239
ACH-000028,-0.7170431211757067
ACH-000030,-0.912571466233126
ACH-000035,-0.9737895612546816
ACH-000036,-0.8083654258728615
ACH-000037,-0.6930357349126942
ACH-000039,-0.658018008920464
ACH-000040,-0.6930796021811266
ACH-000041,-0.6194512959057996
ACH-000042,-0.6199726783421371
ACH-000045,-0.5871763413845044
ACH-000047,-0.687724014202726
ACH-000052,-0.5580967528567587
ACH-000053,-0.4739395654000877
ACH-000054,-0.3555009708106758
ACH-000055,-0.8519707920758963
ACH-000060,-0.8168461416148819
ACH-000067,-0.8473697806486357
ACH-000070,-0.7348083321941512
ACH-000075,-0.5110815794666894
ACH-000078,-0.6231346067204421
ACH-000082,-0.6941326598566834
ACH-000085,-0.491395734552145
ACH-000086,-1.0215299304488965
ACH-000087,-0.8106754417182249
ACH-000092,-0.6191541359432097
ACH-000095,-0.11187816220531444
ACH-000097,-0.35891327756529545
ACH-000098,-0.7966995572330615
ACH-000099,-0.6762384532475121
ACH-000108,-0.6273881430014093
ACH-000113,-0.7162640950191047
ACH-000116,-0.4565105439327621
ACH-000118,-0.7961495604224305
ACH-000120,-0.8760333674787909
ACH-000123,-0.5430210867155273
ACH-000127,-0.7322265923025906
ACH-000128,-0.5692795630934873
ACH-000132,-0.9946337813557928
ACH-000133,-1.1546966663118052
ACH-000137,-0.7307344568178008
ACH-000138,-0.9292810801263768
ACH-000142,-0.9080765489845964
ACH-000143,-0.7684092436589279
ACH-000146,-0.4448640846613029
ACH-000148,-0.846235588540307
ACH-000150,-0.9249980278507458
ACH-000152,-0.7545126044265223
ACH-000153,-0.4388110503996505
ACH-000159,-0.4084650598706099
ACH-000160,-0.4416747993121313
ACH-000163,-0.9332261454038684
ACH-000167,-0.3984208793482598
ACH-000168,-0.3608740154850376
ACH-000169,-0.7429777728767573
ACH-000178,-0.7836683671588994
ACH-000183,-0.5192734522613692
ACH-000188,-0.9088374012940518
ACH-000189,-1.1196445919625522
ACH-000190,-1.2704896072153615
ACH-000198,-0.6067910771858663
ACH-000203,-0.8988426103285679
ACH-000204,-0.7576112920279738
ACH-000206,-0.4965511888836506
ACH-000207,-0.9228907262324608
ACH-000208,-0.8591869186127528
ACH-000210,-0.5374974140224005
ACH-000211,-0.7457756212608521
ACH-000215,-0.8827148411839222
ACH-000221,-1.081380641943653
ACH-000222,-0.8118028516888932
ACH-000223,-0.6525913008467371
ACH-000226,-0.6919223877931907
ACH-000227,-0.6388591427683162
ACH-000228,-0.8532277604893986
ACH-000231,-0.9654356949185792
ACH-000232,-0.7105416153891508
ACH-000233,-0.3871306930134966
ACH-000234,-0.4163038466201948
ACH-000235,-0.4591614084882117
ACH-000237,-1.0620056246840583
ACH-000238,-1.185471453054021
ACH-000242,-0.4506387792818792
ACH-000243,-0.9573707977896228
ACH-000244,-0.7683002715909265
ACH-000246,-0.5310397117094949
ACH-000248,-0.7858272972890675
ACH-000250,-0.9023931535791124
ACH-000251,-1.0706227166612907
ACH-000252,-0.7184073476307592
ACH-000253,-0.4203469250812546
ACH-000255,-1.0763708418882816
ACH-000256,-0.7310481474006825
ACH-000257,-0.6272662091593626
ACH-000258,-0.7040012835875995
ACH-000259,-0.7572990792456408
ACH-000260,-0.8201362187923574
ACH-000261,-0.7668359928832723
ACH-000262,-0.5908218210766671
ACH-000263,-0.7169085484378631
ACH-000264,-0.4496231811705344
