,ARL8A (127829)
ACH-000004,-0.014623686049260247
ACH-000005,0.18076179328516406
ACH-000007,-0.01925407115514258
ACH-000009,-0.08358801902747684
ACH-000011,-0.03604573152819808
ACH-000012,-0.08171511715776446
ACH-000013,-0.012697794755391288
ACH-000014,0.008667259185610569
ACH-000015,-0.09976109051689527
ACH-000017,-0.1087821761667592
ACH-000018,0.0180920667315775
ACH-000019,0.041854858314298096
ACH-000021,-0.08487139545562428
ACH-000022,-0.11554593906398727
ACH-000025,-0.06529702046884105
ACH-000028,-0.11318750030145185
ACH-000030,0.05950866025761543
ACH-000035,-0.035935646321556734
ACH-000036,-0.08958096647401767
ACH-000037,-0.09704371284981074
ACH-000039,-0.0942649767369051
ACH-000040,-0.06591079107285708
ACH-000041,0.1969813494627606
ACH-000042,0.0216261822934462
ACH-000045,0.07826907772179284
ACH-000047,-0.05274369001304399
ACH-000052,-0.14082996562660238
ACH-000053,-0.05266340702191512
ACH-000054,-0.07762765934292025
ACH-000055,-0.10874190415609143
ACH-000060,0.13243703935947934
ACH-000067,-0.03840587804877449
ACH-000070,-0.10871318479520503
ACH-000075,-0.025932011141224072
ACH-000078,-0.02895290394016124
ACH-000082,-0.0946538890329914
ACH-000085,0.0007546047889542948
ACH-000086,-0.2497165793759213
ACH-000087,0.30836903275417216
ACH-000092,-0.22929032455110504
ACH-000095,-0.036743612754171824
ACH-000097,-0.002694461914164234
ACH-000098,0.07679950543843897
ACH-000099,-0.1370554016791227
ACH-000108,0.03294580556219383
ACH-000113,0.025583289308065364
ACH-000116,0.08558835783025896
ACH-000118,0.08838836683958715
ACH-000120,-0.20260065851053446
ACH-000123,0.08141153898610129
ACH-000127,-0.014082320139843625
ACH-000128,-0.05698385237001575
ACH-000132,0.04324183691255561
ACH-000133,-0.016249539500802195
ACH-000137,0.0779217101949488
ACH-000138,0.10165587974432956
ACH-000142,-0.11852911266797332
ACH-000143,-0.3676858446587872
ACH-000146,0.04485442645041605
ACH-000148,-0.06459857934609263
ACH-000150,0.18464625931566372
ACH-000152,0.0534867339836213
ACH-000153,-0.09807816660382243
ACH-000159,-0.06255230075728622
ACH-000160,-0.1250042238675079
ACH-000163,-0.2054260870904215
ACH-000167,-0.4107344956457425
ACH-000168,0.13094257988775052
ACH-000169,0.04265127658623583
ACH-000178,-0.16981180133792367
ACH-000183,-0.10163914405544486
ACH-000188,-0.10495648837051556
ACH-000189,0.016450765277623396
ACH-000190,-0.04887582776035794
ACH-000198,0.009653843689956112
ACH-000203,0.05599711640768167
ACH-000204,0.1745583256854782
ACH-000206,-0.019305315239293803
ACH-000207,0.06707493820477005
ACH-000208,-0.12630545724044842
ACH-000210,0.3012346682524772
ACH-000211,0.05542834606974685
ACH-000215,-0.04559912660997517
ACH-000221,0.04544085755102428
ACH-000222,-0.11472642540763595
ACH-000223,-0.03156981386161325
ACH-000226,-0.07526524431744508
ACH-000227,-0.06958191678446078
ACH-000228,-0.11378138600656007
ACH-000231,0.001813212376454466
ACH-000232,0.0372648396479957
ACH-000233,-0.09421023481684336
ACH-000234,-0.04303181253114872
ACH-000235,0.02344155749921404
ACH-000237,-0.031551335305404264
ACH-000238,-0.001559771175230483
ACH-000242,-0.1075969873165198
ACH-000243,0.0158109340281218
ACH-000244,-0.07943349739362239
ACH-000246,0.0928980018033012
ACH-000248,-0.008459435078737806
