,EIF3I (8668)
ACH-000004,-0.9479781644345572
ACH-000005,-0.9680568057175504
ACH-000007,-1.1222822509013106
ACH-000009,-1.3494037614379752
ACH-000011,-1.0464719687966069
ACH-000012,-0.863318238736636
ACH-000013,-1.020626720364689
ACH-000014,-0.952490941042242
ACH-000015,-1.0034497703395044
ACH-000017,-0.9882662467953348
ACH-000018,-1.1833729915471058
ACH-000019,-0.9547192162911476
ACH-000021,-1.0514878732521833
ACH-000022,-1.0292598662685102
ACH-000025,-1.1737334283428904
ACH-000028,-1.048028646725799
ACH-000030,-1.0286250056443114
ACH-000035,-1.0250090431151262
ACH-000036,-0.9708485491003516
ACH-000037,-0.9252844329148404
ACH-000039,-0.9257708898126048
ACH-000040,-1.0150441542737074
ACH-000041,-0.9654461528049646
ACH-000042,-1.0028358385294978
ACH-000045,-0.9177380097470595
ACH-000047,-0.8993505138865014
ACH-000052,-1.2069660045267645
ACH-000053,-1.1829731408463968
ACH-000054,-1.0301275468283393
ACH-000055,-0.8909262252352972
ACH-000060,-1.1347767227043932
ACH-000067,-1.0399512022638904
ACH-000070,-1.1150543137797921
ACH-000075,-0.9958873029718176
ACH-000078,-1.2239232101219992
ACH-000082,-1.0037972469662853
ACH-000085,-0.8422273370009028
ACH-000086,-0.9782015209057746
ACH-000087,-0.8544104156824829
ACH-000092,-0.9290316387505844
ACH-000095,-1.0399489534562782
ACH-000097,-1.1476098110861561
ACH-000098,-1.0100351164398789
ACH-000099,-1.097352019325348
ACH-000108,-1.1273207654705228
ACH-000113,-0.8427700553407985
ACH-000116,-0.8095285486761546
ACH-000118,-0.915596579949868
ACH-000120,-1.4008003390940404
ACH-000123,-0.9157473395646724
ACH-000127,-1.1038240838216065
ACH-000128,-1.0836184259363786
ACH-000132,-0.9689219608328914
ACH-000133,-0.9739975727837312
ACH-000137,-0.9957677254326084
ACH-000138,-0.9122193338362392
ACH-000142,-0.9798199631637352
ACH-000143,-1.0441516397024588
ACH-000146,-1.174967974288417
ACH-000148,-0.9643061548569064
ACH-000150,-1.086712779589832
ACH-000152,-0.786715175379895
ACH-000153,-1.0296255648203425
ACH-000159,-1.067451399157345
ACH-000160,-1.189740336937984
ACH-000163,-1.0233459038310304
ACH-000167,-1.516643983433221
ACH-000168,-0.9620185523945068
ACH-000169,-0.9574289177695252
ACH-000178,-0.8202433769784894
ACH-000183,-1.101703159785013
ACH-000188,-0.8132712189625159
ACH-000189,-0.7912617627290238
ACH-000190,-1.1425587350486963
ACH-000198,-0.9257658829031182
ACH-000203,-0.7371127623249244
ACH-000204,-1.1812523596163909
ACH-000206,-0.7868391536608632
ACH-000207,-0.9722710485486984
ACH-000208,-1.11884315305644
ACH-000210,-1.1383841045533698
ACH-000211,-0.9590343069739924
ACH-000215,-0.9627641862957688
ACH-000221,-1.0564288359956509
ACH-000222,-1.0170491027291455
ACH-000223,-1.0004044724546088
ACH-000226,-1.07023900879405
ACH-000227,-1.1318435402633804
ACH-000228,-0.9398012030472735
ACH-000231,-0.9816345087339152
ACH-000232,-0.9805855684722596
ACH-000233,-0.7894156926810106
ACH-000234,-1.189715103589064
ACH-000235,-1.0566639498384156
ACH-000237,-1.1217344861386989
ACH-000238,-0.9716073577363684
ACH-000242,-0.8173420089999273
ACH-000243,-0.9976945258290404
ACH-000244,-0.8636947304629875
ACH-000246,-1.1633744155164585
ACH-000248,-1.0715103744380112
ACH-000250,-1.127666349925209
ACH-000251,-1.1138087001680141
ACH-000252,-1.1307007415322028
ACH-000253,-1.0313941840255445
ACH-000255,-1.0538750726381585
ACH-000256,-1.1188711183777469
ACH-000257,-0.9711032500422301
ACH-000258,-0.969997801934088
ACH-000259,-0.9444183453984452
ACH-000260,-1.0461980958468948
ACH-000261,-1.1211412135984011
ACH-000262,-1.2582939439935912
ACH-000263,-1.3031848419233651
ACH-000264,-1.2028377215497092
ACH-000265,-0.7925175422731374
ACH-000266,-1.0378962288698046
ACH-000272,-1.1787068236737563
ACH-000274,-1.0946831655473863
ACH-000277,-1.1299209878571608
ACH-000278,-1.0628520471756322
ACH-000279,-1.032721851543503
ACH-000280,-1.0979371385593268
ACH-000281,-1.070188939410053
ACH-000288,-0.979855583493864
ACH-000291,-0.9318254231883552
ACH-000293,-0.7448299940223471
ACH-000294,-1.2933634494918105
ACH-000295,-0.9270731171652604
ACH-000296,-1.0581746804170975
ACH-000302,-1.0146258012359493
ACH-000304,-0.8383833940577011
ACH-000307,-1.1216991313702491
ACH-000308,-0.9712590906717278
ACH-000310,-1.2346089400319344
ACH-000311,-0.7273203448317389
ACH-000312,-1.0829234548109037
ACH-000315,-0.8623787683647884
ACH-000316,-0.8674730506976791
ACH-000317,-1.0086303237540108
