,SLCO1B1 (10599)
ACH-000588,0.15837485296094855
ACH-000589,0.11174215633111903
ACH-000591,0.12018420314132718
ACH-000593,0.2935676785338843
ACH-000600,0.30771404335837105
ACH-000601,0.1818416048803509
ACH-000605,-0.01298838260378752
ACH-000606,0.174604819742642
ACH-000608,0.11027823540878892
ACH-000614,0.2197247935744053
ACH-000616,0.2636699642029333
ACH-000618,0.07964487267759385
ACH-000619,0.21909040604031574
ACH-000620,0.2367231353935627
ACH-000621,0.0185698253102433
ACH-000622,0.2120343969032136
ACH-000623,0.1009786706997025
ACH-000624,0.18891726005722387
ACH-000627,0.1838580913873052
ACH-000630,0.10619537073485928
ACH-000631,0.14114662136189454
ACH-000632,0.22324179421519266
ACH-000633,0.13558146842883434
ACH-000637,0.1097134555078251
ACH-000638,0.09964323720101192
ACH-000646,0.3070243885840907
ACH-000647,0.12169371134355104
ACH-000648,0.2828718352085668
ACH-000649,0.1877630936084712
ACH-000651,0.11541627653047327
ACH-000652,0.33039951766515024
ACH-000653,0.11256578848732272
ACH-000657,0.1555270266413861
ACH-000658,0.2788668706405802
ACH-000661,0.06939770523967986
ACH-000662,-0.07505846546167302
ACH-000663,0.09683698123713702
ACH-000665,0.1509456439952337
ACH-000671,0.2777756880727274
ACH-000672,0.013650230454869398
ACH-000673,0.1188820706943148
ACH-000676,0.1315081515970039
ACH-000677,0.2228353163840831
ACH-000681,0.24414741448703944
ACH-000683,0.17131000105619024
ACH-000684,0.08889835475600953
ACH-000688,0.11597878176329557
ACH-000693,0.09844537257818198
ACH-000694,0.14229761594865778
ACH-000695,0.15720278050425446
ACH-000696,0.1881200063593399
ACH-000697,0.2302799413299312
ACH-000699,0.14957357404132235
ACH-000701,0.09367281869825972
ACH-000706,0.1532129582147374
ACH-000711,0.17203654487558268
ACH-000713,0.3129860184315543
ACH-000714,0.13264780920266636
ACH-000718,0.11347868504133655
ACH-000720,0.14119194562505966
ACH-000721,0.15794916828768646
ACH-000724,0.14328687924853645
ACH-000725,0.12232369626619387
ACH-000732,0.058666713029554236
ACH-000734,0.17479658042171095
ACH-000735,0.06201054611452494
ACH-000736,0.1655483714175686
ACH-000738,0.15706772744739325
ACH-000746,0.2682587706501101
ACH-000747,0.21921370842189586
ACH-000748,0.2046497422500714
ACH-000753,0.19811381142992848
ACH-000756,0.14265088303104
ACH-000757,0.2907593000875329
ACH-000758,0.14992871767617771
ACH-000760,0.1305466288734243
ACH-000762,0.24690201997646435
ACH-000763,0.11397521790102212
ACH-000764,0.14318994044843447
ACH-000765,0.13012147057570114
ACH-000766,0.15836508824879825
ACH-000767,0.2108792740181184
ACH-000768,0.1247868087404898
ACH-000769,0.2369639682786178
ACH-000770,0.2330408714086636
